Date,Home,Result,Away
2010-04-03,Tallinna FC Levadia,2:1,Tallinna FC Flora
2010-04-03,FC Kuressaare,0:4,JK Sillamäe Kalev
2010-04-03,Nõmme JK Kalju,1:1,Paide Linnameeskond
2010-04-03,Tartu JK Tammeka,1:0,Kohtla-Järve FC Lootus
2010-04-03,JK Narva Trans,2:0,Viljandi JK Tulevik
2010-03-09,Nõmme JK Kalju,1:0,Viljandi JK Tulevik
2010-03-09,Paide Linnameeskond,1:0,Kohtla-Järve FC Lootus
2010-03-09,JK Sillamäe Kalev,1:2,Tallinna FC Flora
2010-03-09,Tallinna FC Levadia,3:0,JK Narva Trans
2010-03-09,FC Kuressaare,2:3,Tartu JK Tammeka
2010-04-10,Viljandi JK Tulevik,0:3,Tartu JK Tammeka
2010-04-10,Paide Linnameeskond,0:4,JK Narva Trans
2010-04-10,JK Sillamäe Kalev,2:2,Nõmme JK Kalju
2010-04-10,Tallinna FC Flora,4:0,FC Kuressaare
2010-04-10,Kohtla-Järve FC Lootus,0:3,Tallinna FC Levadia
2010-03-13,Tallinna FC Levadia,1:1,FC Kuressaare
2010-03-13,Kohtla-Järve FC Lootus,0:1,JK Sillamäe Kalev
2010-03-13,Viljandi JK Tulevik,1:0,Paide Linnameeskond
2010-03-13,Tartu JK Tammeka,2:3,Nõmme JK Kalju
2010-03-13,JK Narva Trans,1:0,Tallinna FC Flora
2010-04-17,Tallinna FC Levadia,2:0,Viljandi JK Tulevik
2010-04-17,FC Kuressaare,1:2,Kohtla-Järve FC Lootus
2010-04-17,Nõmme JK Kalju,1:2,Tallinna FC Flora
2010-04-17,Paide Linnameeskond,0:1,JK Sillamäe Kalev
2010-04-17,JK Narva Trans,0:0,Tartu JK Tammeka
2010-03-20,FC Kuressaare,0:1,JK Narva Trans
2010-03-20,Nõmme JK Kalju,0:3,Tallinna FC Levadia
2010-03-20,Paide Linnameeskond,1:3,Tartu JK Tammeka
2010-03-20,JK Sillamäe Kalev,2:1,Viljandi JK Tulevik
2010-03-20,Tallinna FC Flora,2:1,Kohtla-Järve FC Lootus
2010-03-23,Tartu JK Tammeka,1:4,JK Sillamäe Kalev
2010-03-23,JK Narva Trans,0:1,Kohtla-Järve FC Lootus
2010-03-23,Tallinna FC Levadia,6:0,Paide Linnameeskond
2010-03-23,FC Kuressaare,1:2,Nõmme JK Kalju
2010-03-23,Viljandi JK Tulevik,0:1,Tallinna FC Flora
2010-04-24,JK Sillamäe Kalev,1:2,JK Narva Trans
2010-04-24,Tallinna FC Flora,2:1,Paide Linnameeskond
2010-04-24,Kohtla-Järve FC Lootus,0:5,Nõmme JK Kalju
2010-04-24,Viljandi JK Tulevik,0:0,FC Kuressaare
2010-04-24,Tartu JK Tammeka,0:0,Tallinna FC Levadia
2010-03-27,Nõmme JK Kalju,0:1,JK Narva Trans
2010-03-27,Paide Linnameeskond,1:2,FC Kuressaare
2010-03-27,JK Sillamäe Kalev,1:1,Tallinna FC Levadia
2010-03-27,Tallinna FC Flora,3:2,Tartu JK Tammeka
2010-03-27,Kohtla-Järve FC Lootus,0:1,Viljandi JK Tulevik
2010-05-01,Tallinna FC Levadia,2:0,Tartu JK Tammeka
2010-05-01,FC Kuressaare,3:2,Viljandi JK Tulevik
2010-05-01,Nõmme JK Kalju,1:0,Kohtla-Järve FC Lootus
2010-05-01,Paide Linnameeskond,0:2,Tallinna FC Flora
2010-05-01,JK Narva Trans,2:2,JK Sillamäe Kalev
2010-06-01,FC Kuressaare,1:0,Paide Linnameeskond
2010-06-01,Viljandi JK Tulevik,1:0,Kohtla-Järve FC Lootus
2010-06-01,Tartu JK Tammeka,0:1,Tallinna FC Flora
2010-06-01,JK Narva Trans,2:2,Nõmme JK Kalju
2010-06-01,Tallinna FC Levadia,3:1,JK Sillamäe Kalev
2010-06-05,Nõmme JK Kalju,2:1,FC Kuressaare
2010-06-05,Paide Linnameeskond,0:4,Tallinna FC Levadia
2010-06-05,JK Sillamäe Kalev,4:0,Tartu JK Tammeka
2010-06-05,Tallinna FC Flora,1:1,Viljandi JK Tulevik
2010-06-05,Kohtla-Järve FC Lootus,0:5,JK Narva Trans
2010-05-08,JK Sillamäe Kalev,4:0,Paide Linnameeskond
2010-05-08,Tallinna FC Flora,1:0,Nõmme JK Kalju
2010-05-08,Kohtla-Järve FC Lootus,5:2,FC Kuressaare
2010-05-08,Viljandi JK Tulevik,0:1,Tallinna FC Levadia
2010-05-08,Tartu JK Tammeka,1:2,JK Narva Trans
2010-06-08,JK Narva Trans,1:2,Tallinna FC Levadia
2010-06-12,Tallinna FC Levadia,0:0,Nõmme JK Kalju
2010-06-12,Kohtla-Järve FC Lootus,0:4,Tallinna FC Flora
2010-06-12,Viljandi JK Tulevik,1:2,JK Sillamäe Kalev
2010-06-12,Tartu JK Tammeka,0:0,Paide Linnameeskond
2010-06-12,JK Narva Trans,3:0,FC Kuressaare
2010-05-15,Tallinna FC Levadia,5:1,Kohtla-Järve FC Lootus
2010-05-15,FC Kuressaare,1:2,Tallinna FC Flora
2010-05-15,Nõmme JK Kalju,2:1,JK Sillamäe Kalev
2010-05-15,Tartu JK Tammeka,2:0,Viljandi JK Tulevik
2010-05-15,JK Narva Trans,4:1,Paide Linnameeskond
2010-06-15,Paide Linnameeskond,2:0,Viljandi JK Tulevik
2010-06-15,JK Sillamäe Kalev,3:1,Kohtla-Järve FC Lootus
2010-06-15,Tallinna FC Flora,1:1,JK Narva Trans
2010-06-15,FC Kuressaare,0:7,Tallinna FC Levadia
2010-06-15,Nõmme JK Kalju,1:1,Tartu JK Tammeka
2010-08-17,Tallinna FC Flora,4:2,JK Sillamäe Kalev
