Date,Home,Result,Away
2009-05-03,Tallinna JK Legion,0:6,Tallinna FC Levadia II
2009-05-03,Kohtla-Järve FC Lootus,4:1,Viljandi JK Tulevik U21
2009-05-03,Valga FC Warrior,1:3,Pärnu JK Vaprus
2009-05-03,Lasnamäe FC Ajax,7:3,Kiviõli Tamme Auto
2009-04-05,Tallinna JK Legion,3:3,Kiviõli Tamme Auto
2009-04-05,Kohtla-Järve FC Lootus,3:2,Lasnamäe FC Ajax
2009-04-05,Rakvere FC Flora,1:0,Valga FC Warrior
2009-04-05,Tallinna FC Flora II,0:0,Tallinna FC Levadia II
2009-04-05,Viljandi JK Tulevik U21,1:4,Pärnu JK Vaprus
2009-03-08,Kiviõli Tamme Auto,1:1,Tallinna FC Levadia II
2009-03-08,Pärnu JK Vaprus,1:1,Lasnamäe FC Ajax
2009-03-08,Viljandi JK Tulevik U21,4:3,Rakvere FC Flora
2009-03-08,Tallinna JK Legion,0:1,Kohtla-Järve FC Lootus
2009-04-12,Kiviõli Tamme Auto,1:3,Kohtla-Järve FC Lootus
2009-04-12,Pärnu JK Vaprus,2:1,Tallinna JK Legion
2009-04-12,Tallinna FC Flora II,1:2,Viljandi JK Tulevik U21
2009-04-12,Tallinna FC Levadia II,2:1,Valga FC Warrior
2009-05-13,Rakvere FC Flora,0:2,Tallinna FC Flora II
2009-05-13,Kiviõli Tamme Auto,0:1,Valga FC Warrior
2009-03-15,Rakvere FC Flora,3:4,Tallinna JK Legion
2009-03-15,Valga FC Warrior,3:2,Viljandi JK Tulevik U21
2009-03-15,Lasnamäe FC Ajax,1:1,Tallinna FC Flora II
2009-03-15,Tallinna FC Levadia II,0:0,Kohtla-Järve FC Lootus
2009-03-15,Kiviõli Tamme Auto,4:3,Pärnu JK Vaprus
2009-03-18,Pärnu JK Vaprus,1:1,Tallinna FC Levadia II
2009-03-18,Tallinna FC Flora II,0:2,Kiviõli Tamme Auto
2009-03-18,Viljandi JK Tulevik U21,4:0,Lasnamäe FC Ajax
2009-03-18,Tallinna JK Legion,6:2,Valga FC Warrior
2009-03-18,Kohtla-Järve FC Lootus,2:1,Rakvere FC Flora
2009-04-19,Viljandi JK Tulevik U21,2:2,Tallinna FC Levadia II
2009-04-19,Tallinna JK Legion,4:2,Tallinna FC Flora II
2009-04-19,Kohtla-Järve FC Lootus,2:0,Pärnu JK Vaprus
2009-04-19,Rakvere FC Flora,2:1,Kiviõli Tamme Auto
2009-04-19,Valga FC Warrior,2:0,Lasnamäe FC Ajax
2009-03-22,Kiviõli Tamme Auto,4:0,Viljandi JK Tulevik U21
2009-03-22,Pärnu JK Vaprus,0:2,Tallinna FC Flora II
2009-03-22,Valga FC Warrior,1:0,Kohtla-Järve FC Lootus
2009-03-22,Lasnamäe FC Ajax,1:1,Tallinna JK Legion
2009-03-22,Tallinna FC Levadia II,5:0,Rakvere FC Flora
2009-04-26,Viljandi JK Tulevik U21,3:1,Tallinna JK Legion
2009-04-26,Tallinna FC Levadia II,7:0,Lasnamäe FC Ajax
2009-04-26,Pärnu JK Vaprus,2:1,Rakvere FC Flora
2009-04-26,Tallinna FC Flora II,0:0,Kohtla-Järve FC Lootus
2009-07-05,Rakvere FC Flora,1:3,Viljandi JK Tulevik U21
2009-07-05,Valga FC Warrior,3:0,Tallinna FC Flora II
2009-07-05,Lasnamäe FC Ajax,4:0,Pärnu JK Vaprus
2009-07-05,Tallinna FC Levadia II,2:4,Kiviõli Tamme Auto
2009-05-10,Kiviõli Tamme Auto,4:1,Lasnamäe FC Ajax
2009-05-10,Pärnu JK Vaprus,0:2,Valga FC Warrior
2009-05-10,Tallinna FC Flora II,0:2,Rakvere FC Flora
2009-05-10,Viljandi JK Tulevik U21,1:2,Kohtla-Järve FC Lootus
2009-05-10,Tallinna FC Levadia II,1:1,Tallinna JK Legion
2009-06-14,Tallinna FC Flora II,0:3,Pärnu JK Vaprus
2009-06-14,Viljandi JK Tulevik U21,0:1,Kiviõli Tamme Auto
2009-06-14,Tallinna JK Legion,1:1,Lasnamäe FC Ajax
2009-06-14,Kohtla-Järve FC Lootus,3:1,Valga FC Warrior
2009-06-14,Rakvere FC Flora,0:2,Tallinna FC Levadia II
2009-05-17,Lasnamäe FC Ajax,0:4,Tallinna FC Levadia II
2009-05-17,Tallinna JK Legion,3:1,Viljandi JK Tulevik U21
2009-05-17,Kohtla-Järve FC Lootus,5:1,Tallinna FC Flora II
2009-05-17,Rakvere FC Flora,1:5,Pärnu JK Vaprus
2009-05-17,Valga FC Warrior,5:0,Kiviõli Tamme Auto
2009-06-17,Kiviõli Tamme Auto,1:0,Tallinna FC Flora II
2009-06-17,Rakvere FC Flora,2:4,Kohtla-Järve FC Lootus
2009-06-17,Valga FC Warrior,2:1,Tallinna JK Legion
2009-06-17,Lasnamäe FC Ajax,3:0,Viljandi JK Tulevik U21
2009-06-17,Tallinna FC Levadia II,2:0,Pärnu JK Vaprus
2009-06-21,Pärnu JK Vaprus,3:2,Kiviõli Tamme Auto
2009-06-21,Tallinna FC Flora II,0:1,Lasnamäe FC Ajax
2009-06-21,Viljandi JK Tulevik U21,0:0,Valga FC Warrior
2009-06-21,Tallinna JK Legion,3:1,Rakvere FC Flora
2009-06-21,Kohtla-Järve FC Lootus,0:2,Tallinna FC Levadia II
2009-05-24,Kiviõli Tamme Auto,5:0,Rakvere FC Flora
2009-05-24,Pärnu JK Vaprus,1:0,Kohtla-Järve FC Lootus
2009-05-24,Tallinna FC Flora II,4:2,Tallinna JK Legion
2009-05-24,Lasnamäe FC Ajax,2:1,Valga FC Warrior
2009-05-24,Tallinna FC Levadia II,4:0,Viljandi JK Tulevik U21
2009-05-27,Viljandi JK Tulevik U21,2:1,Tallinna FC Flora II
2009-05-27,Tallinna JK Legion,5:1,Pärnu JK Vaprus
2009-05-27,Kohtla-Järve FC Lootus,2:4,Kiviõli Tamme Auto
2009-05-27,Rakvere FC Flora,1:3,Lasnamäe FC Ajax
2009-05-27,Valga FC Warrior,0:12,Tallinna FC Levadia II
2009-05-31,Kiviõli Tamme Auto,3:0,Tallinna JK Legion
2009-05-31,Pärnu JK Vaprus,1:1,Viljandi JK Tulevik U21
2009-05-31,Valga FC Warrior,2:4,Rakvere FC Flora
2009-05-31,Lasnamäe FC Ajax,1:2,Kohtla-Järve FC Lootus
2009-05-31,Tallinna FC Levadia II,4:0,Tallinna FC Flora II
2009-08-02,Kiviõli Tamme Auto,1:6,Kohtla-Järve FC Lootus
2009-08-02,Pärnu JK Vaprus,3:4,Tallinna JK Legion
2009-08-02,Tallinna FC Flora II,0:1,Viljandi JK Tulevik U21
2009-08-02,Lasnamäe FC Ajax,3:1,Rakvere FC Flora
2009-08-02,Tallinna FC Levadia II,2:1,Valga FC Warrior
2009-08-09,Tallinna FC Flora II,1:1,Tallinna FC Levadia II
2009-08-09,Viljandi JK Tulevik U21,2:8,Pärnu JK Vaprus
2009-08-09,Tallinna JK Legion,2:3,Kiviõli Tamme Auto
2009-08-09,Kohtla-Järve FC Lootus,2:1,Lasnamäe FC Ajax
2009-08-09,Rakvere FC Flora,1:3,Valga FC Warrior
2009-07-12,Tallinna JK Legion,0:1,Tallinna FC Levadia II
2009-07-12,Kohtla-Järve FC Lootus,4:1,Viljandi JK Tulevik U21
2009-07-12,Rakvere FC Flora,1:0,Tallinna FC Flora II
2009-07-12,Valga FC Warrior,1:1,Pärnu JK Vaprus
2009-07-12,Lasnamäe FC Ajax,4:1,Kiviõli Tamme Auto
2009-09-13,Tallinna JK Legion,1:2,Kohtla-Järve FC Lootus
2009-09-13,Kiviõli Tamme Auto,0:2,Tallinna FC Levadia II
2009-09-13,Pärnu JK Vaprus,1:2,Lasnamäe FC Ajax
2009-09-13,Tallinna FC Flora II,0:1,Valga FC Warrior
2009-09-13,Viljandi JK Tulevik U21,2:2,Rakvere FC Flora
2009-08-16,Lasnamäe FC Ajax,4:1,Tallinna JK Legion
2009-08-16,Tallinna FC Levadia II,5:0,Rakvere FC Flora
2009-08-16,Kiviõli Tamme Auto,3:1,Viljandi JK Tulevik U21
2009-08-16,Pärnu JK Vaprus,0:1,Tallinna FC Flora II
2009-08-16,Valga FC Warrior,0:3,Kohtla-Järve FC Lootus
2009-07-19,Kiviõli Tamme Auto,0:1,Valga FC Warrior
2009-07-19,Pärnu JK Vaprus,3:3,Rakvere FC Flora
2009-07-19,Tallinna FC Flora II,0:3,Kohtla-Järve FC Lootus
2009-07-19,Viljandi JK Tulevik U21,0:1,Tallinna JK Legion
2009-07-19,Tallinna FC Levadia II,1:0,Lasnamäe FC Ajax
2009-08-23,Tallinna FC Flora II,3:0,Kiviõli Tamme Auto
2009-08-23,Viljandi JK Tulevik U21,0:3,Lasnamäe FC Ajax
2009-08-23,Tallinna JK Legion,2:4,Valga FC Warrior
2009-08-23,Kohtla-Järve FC Lootus,7:2,Rakvere FC Flora
2009-08-24,Pärnu JK Vaprus,1:2,Tallinna FC Levadia II
2009-07-26,Kohtla-Järve FC Lootus,4:2,Pärnu JK Vaprus
2009-07-26,Rakvere FC Flora,0:6,Kiviõli Tamme Auto
2009-07-26,Valga FC Warrior,1:2,Lasnamäe FC Ajax
2009-07-26,Viljandi JK Tulevik U21,0:3,Tallinna FC Levadia II
2009-07-26,Tallinna JK Legion,0:1,Tallinna FC Flora II
2009-08-30,Kiviõli Tamme Auto,1:2,Pärnu JK Vaprus
2009-08-30,Rakvere FC Flora,3:1,Tallinna JK Legion
2009-08-30,Valga FC Warrior,2:5,Viljandi JK Tulevik U21
2009-08-30,Lasnamäe FC Ajax,5:0,Tallinna FC Flora II
2009-08-30,Tallinna FC Levadia II,1:0,Kohtla-Järve FC Lootus
2009-11-01,Viljandi JK Tulevik U21,1:0,Tallinna FC Flora II
2009-11-01,Tallinna JK Legion,2:1,Pärnu JK Vaprus
2009-11-01,Kohtla-Järve FC Lootus,4:1,Kiviõli Tamme Auto
2009-11-01,Rakvere FC Flora,2:3,Lasnamäe FC Ajax
2009-11-01,Valga FC Warrior,0:2,Tallinna FC Levadia II
2009-10-04,Kiviõli Tamme Auto,4:0,Tallinna FC Flora II
2009-10-04,Rakvere FC Flora,0:5,Kohtla-Järve FC Lootus
2009-10-04,Valga FC Warrior,7:2,Tallinna JK Legion
2009-10-04,Lasnamäe FC Ajax,3:0,Viljandi JK Tulevik U21
2009-10-04,Tallinna FC Levadia II,4:0,Pärnu JK Vaprus
2009-11-04,Pärnu JK Vaprus,4:1,Kohtla-Järve FC Lootus
2009-11-04,Tallinna FC Flora II,0:1,Tallinna JK Legion
2009-11-04,Lasnamäe FC Ajax,0:2,Valga FC Warrior
2009-11-04,Tallinna FC Levadia II,1:0,Viljandi JK Tulevik U21
2009-11-04,Kiviõli Tamme Auto,4:1,Rakvere FC Flora
2009-11-08,Tallinna JK Legion,1:1,Viljandi JK Tulevik U21
2009-11-08,Kohtla-Järve FC Lootus,3:4,Tallinna FC Flora II
2009-11-08,Valga FC Warrior,4:3,Kiviõli Tamme Auto
2009-11-08,Lasnamäe FC Ajax,1:2,Tallinna FC Levadia II
2009-11-11,Kiviõli Tamme Auto,1:4,Lasnamäe FC Ajax
2009-11-11,Pärnu JK Vaprus,0:2,Valga FC Warrior
2009-11-11,Tallinna FC Flora II,4:2,Rakvere FC Flora
2009-11-11,Viljandi JK Tulevik U21,2:3,Kohtla-Järve FC Lootus
2009-11-11,Tallinna FC Levadia II,3:1,Tallinna JK Legion
2009-10-18,Tallinna FC Flora II,4:2,Pärnu JK Vaprus
2009-10-18,Viljandi JK Tulevik U21,1:2,Kiviõli Tamme Auto
2009-10-18,Tallinna JK Legion,0:3,Lasnamäe FC Ajax
2009-10-18,Kohtla-Järve FC Lootus,2:3,Valga FC Warrior
2009-10-18,Rakvere FC Flora,2:3,Tallinna FC Levadia II
2009-09-20,Kohtla-Järve FC Lootus,3:1,Tallinna JK Legion
2009-09-20,Rakvere FC Flora,0:2,Viljandi JK Tulevik U21
2009-09-20,Valga FC Warrior,2:1,Tallinna FC Flora II
2009-09-20,Lasnamäe FC Ajax,4:0,Pärnu JK Vaprus
2009-09-20,Tallinna FC Levadia II,4:0,Kiviõli Tamme Auto
2009-10-25,Kiviõli Tamme Auto,0:2,Tallinna JK Legion
2009-10-25,Pärnu JK Vaprus,3:3,Viljandi JK Tulevik U21
2009-10-25,Valga FC Warrior,4:1,Rakvere FC Flora
2009-10-25,Lasnamäe FC Ajax,2:0,Kohtla-Järve FC Lootus
2009-10-25,Tallinna FC Levadia II,1:1,Tallinna FC Flora II
2009-09-27,Pärnu JK Vaprus,3:4,Kiviõli Tamme Auto
