Date,Home,Result,Away
2024-03-02,Harju JK Laagri,2:2,Viimsi JK
2024-03-02,FC Elva,1:0,Tartu JK Welco
2024-03-02,Tallinna FC Flora U21,2:0,Paide Linnameeskond U21
2024-03-03,JK Tabasalu,1:1,Tallinna FCI Levadia U21
2024-03-04,JK Tallinna Kalev U21,1:3,FC Tallinn
2024-03-09,Tartu JK Welco,2:0,JK Tabasalu
2024-03-09,FC Tallinn,1:1,Harju JK Laagri
2024-03-09,Paide Linnameeskond U21,0:1,JK Tallinna Kalev U21
2024-03-09,Tallinna FC Flora U21,2:0,FC Elva
2024-03-10,Tallinna FCI Levadia U21,2:0,Viimsi JK
2024-03-16,Tartu JK Welco,3:0,FC Tallinn
2024-03-17,Tallinna FCI Levadia U21,3:0,FC Elva
2024-03-17,JK Tabasalu,0:1,Paide Linnameeskond U21
2024-03-17,JK Tallinna Kalev U21,2:2,Viimsi JK
2024-03-17,Harju JK Laagri,2:0,Tallinna FC Flora U21
2024-03-30,Tallinna FC Flora U21,3:1,Tallinna FCI Levadia U21
2024-03-30,Viimsi JK,2:2,FC Tallinn
2024-03-30,JK Tabasalu,1:4,Harju JK Laagri
2024-03-30,Paide Linnameeskond U21,1:6,Tartu JK Welco
2024-03-30,FC Elva,2:2,JK Tallinna Kalev U21
2024-04-07,Tartu JK Welco,0:1,Viimsi JK
2024-04-07,Tallinna FCI Levadia U21,1:2,Harju JK Laagri
2024-04-07,FC Tallinn,4:0,JK Tabasalu
2024-04-07,FC Elva,2:2,Paide Linnameeskond U21
2024-04-08,JK Tallinna Kalev U21,1:3,Tallinna FC Flora U21
2024-04-13,FC Tallinn,2:4,Tallinna FC Flora U21
2024-04-13,Harju JK Laagri,0:0,Tartu JK Welco
2024-04-14,JK Tabasalu,3:3,JK Tallinna Kalev U21
2024-04-14,Viimsi JK,1:1,FC Elva
2024-04-15,Tallinna FCI Levadia U21,3:0,Paide Linnameeskond U21
2024-04-19,Tallinna FC Flora U21,1:3,Viimsi JK
2024-04-21,FC Elva,3:1,JK Tabasalu
2024-04-21,Paide Linnameeskond U21,0:1,FC Tallinn
2024-04-21,Tartu JK Welco,3:2,Tallinna FCI Levadia U21
2024-04-21,JK Tallinna Kalev U21,1:4,Harju JK Laagri
2024-04-27,Harju JK Laagri,5:0,FC Elva
2024-04-27,Viimsi JK,5:0,Paide Linnameeskond U21
2024-04-27,FC Tallinn,3:4,Tallinna FCI Levadia U21
2024-04-28,JK Tabasalu,2:0,Tallinna FC Flora U21
2024-04-28,JK Tallinna Kalev U21,0:3,Tartu JK Welco
2024-05-04,Tallinna FC Flora U21,1:1,Tartu JK Welco
2024-05-04,Viimsi JK,1:0,JK Tabasalu
2024-05-04,FC Elva,2:3,FC Tallinn
2024-05-05,Paide Linnameeskond U21,2:8,Harju JK Laagri
2024-05-06,Tallinna FCI Levadia U21,3:0,JK Tallinna Kalev U21
2024-07-10,Tallinna FCI Levadia U21,1:2,Viimsi JK
2024-05-11,Paide Linnameeskond U21,3:0,JK Tabasalu
2024-05-11,Tartu JK Welco,0:2,Harju JK Laagri
2024-05-11,FC Tallinn,3:2,JK Tallinna Kalev U21
2024-05-12,FC Elva,2:2,Tallinna FC Flora U21
2024-05-17,Harju JK Laagri,4:2,Tallinna FCI Levadia U21
2024-05-18,JK Tallinna Kalev U21,4:0,FC Elva
2024-05-19,JK Tabasalu,1:2,FC Tallinn
2024-05-19,Viimsi JK,2:4,Tallinna FC Flora U21
2024-05-19,Tartu JK Welco,2:1,Paide Linnameeskond U21
2024-07-23,Tallinna FC Flora U21,1:3,JK Tallinna Kalev U21
2024-05-26,Harju JK Laagri,4:3,JK Tabasalu
2024-05-26,FC Elva,0:2,Viimsi JK
2024-05-26,Tallinna FCI Levadia U21,2:2,Tartu JK Welco
2024-05-26,FC Tallinn,8:1,Paide Linnameeskond U21
2024-05-30,Paide Linnameeskond U21,0:5,Viimsi JK
2024-05-30,JK Tabasalu,1:3,Tartu JK Welco
2024-05-30,Tallinna FC Flora U21,1:1,Harju JK Laagri
2024-05-30,JK Tallinna Kalev U21,1:3,Tallinna FCI Levadia U21
2024-05-30,FC Tallinn,4:0,FC Elva
2024-06-02,Viimsi JK,2:2,Harju JK Laagri
2024-06-02,Tallinna FCI Levadia U21,0:1,FC Tallinn
2024-06-02,Paide Linnameeskond U21,1:11,Tallinna FC Flora U21
2024-06-02,Tartu JK Welco,0:0,FC Elva
2024-06-03,JK Tallinna Kalev U21,0:1,JK Tabasalu
2024-06-14,FC Tallinn,1:1,Tartu JK Welco
2024-06-15,FC Elva,2:3,Tallinna FCI Levadia U21
2024-06-16,Harju JK Laagri,6:0,Paide Linnameeskond U21
2024-06-16,Viimsi JK,3:1,JK Tallinna Kalev U21
2024-06-16,Tallinna FC Flora U21,4:0,JK Tabasalu
2024-06-29,Harju JK Laagri,1:1,FC Tallinn
2024-06-29,JK Tabasalu,0:3,Viimsi JK
2024-06-29,Paide Linnameeskond U21,1:2,FC Elva
2024-06-29,Tartu JK Welco,5:2,JK Tallinna Kalev U21
2024-06-30,Tallinna FCI Levadia U21,1:3,Tallinna FC Flora U21
2024-07-06,FC Elva,0:0,Harju JK Laagri
2024-07-06,Tallinna FCI Levadia U21,5:1,JK Tabasalu
2024-07-06,Tartu JK Welco,2:2,Tallinna FC Flora U21
2024-07-06,FC Tallinn,0:2,Viimsi JK
2024-07-07,JK Tallinna Kalev U21,3:5,Paide Linnameeskond U21
2024-07-13,Viimsi JK,2:4,Tartu JK Welco
2024-07-13,JK Tabasalu,2:2,FC Elva
2024-07-13,Tallinna FC Flora U21,0:4,FC Tallinn
2024-07-13,Harju JK Laagri,3:3,JK Tallinna Kalev U21
2024-07-13,Paide Linnameeskond U21,3:1,Tallinna FCI Levadia U21
2024-07-20,Tartu JK Welco,1:1,Tallinna FCI Levadia U21
2024-07-20,JK Tallinna Kalev U21,2:2,FC Elva
2024-07-20,Viimsi JK,4:4,Harju JK Laagri
2024-07-20,Tallinna FC Flora U21,5:0,JK Tabasalu
2024-07-20,FC Tallinn,3:0,Paide Linnameeskond U21
2024-07-27,Harju JK Laagri,5:1,JK Tabasalu
2024-07-27,Viimsi JK,1:1,Tallinna FCI Levadia U21
2024-07-27,FC Tallinn,2:2,JK Tallinna Kalev U21
2024-07-27,Paide Linnameeskond U21,1:2,Tartu JK Welco
2024-07-27,FC Elva,1:3,Tallinna FC Flora U21
2024-08-03,Harju JK Laagri,2:1,FC Tallinn
2024-08-03,FC Elva,2:0,Tallinna FCI Levadia U21
2024-08-05,Viimsi JK,6:0,JK Tallinna Kalev U21
2024-08-05,Tartu JK Welco,3:5,Tallinna FC Flora U21
2024-08-05,JK Tabasalu,1:3,Paide Linnameeskond U21
2024-08-10,Tallinna FC Flora U21,1:3,Harju JK Laagri
2024-08-10,FC Tallinn,3:4,FC Elva
2024-08-10,Tartu JK Welco,1:3,Viimsi JK
2024-08-11,JK Tallinna Kalev U21,3:0,Paide Linnameeskond U21
2024-08-11,Tallinna FCI Levadia U21,2:1,JK Tabasalu
2024-08-17,Viimsi JK,2:1,FC Elva
2024-08-17,Harju JK Laagri,1:1,Tartu JK Welco
2024-08-17,JK Tabasalu,1:0,FC Tallinn
2024-08-17,Paide Linnameeskond U21,2:4,Tallinna FC Flora U21
2024-08-18,Tallinna FCI Levadia U21,0:3,JK Tallinna Kalev U21
2024-08-20,FC Elva,3:1,Paide Linnameeskond U21
2024-08-20,Viimsi JK,1:0,JK Tabasalu
2024-08-20,FC Tallinn,1:3,Tartu JK Welco
2024-08-21,Tallinna FC Flora U21,4:1,Tallinna FCI Levadia U21
2024-08-21,JK Tallinna Kalev U21,2:6,Harju JK Laagri
2024-08-24,Tartu JK Welco,0:0,FC Elva
2024-08-24,Harju JK Laagri,4:0,Tallinna FCI Levadia U21
2024-08-24,Tallinna FC Flora U21,4:0,FC Tallinn
2024-08-24,JK Tabasalu,1:3,JK Tallinna Kalev U21
2024-08-25,Paide Linnameeskond U21,0:3,Viimsi JK
2024-08-31,JK Tabasalu,0:4,Tartu JK Welco
2024-08-31,Viimsi JK,1:0,FC Tallinn
2024-08-31,Tallinna FCI Levadia U21,2:1,Paide Linnameeskond U21
2024-08-31,FC Elva,2:1,Harju JK Laagri
2024-08-31,JK Tallinna Kalev U21,1:1,Tallinna FC Flora U21
2024-09-14,Tartu JK Welco,3:0,JK Tallinna Kalev U21
2024-09-15,FC Elva,3:1,JK Tabasalu
2024-09-15,Paide Linnameeskond U21,0:6,Harju JK Laagri
2024-09-15,Tallinna FC Flora U21,4:1,Viimsi JK
2024-09-15,FC Tallinn,1:2,Tallinna FCI Levadia U21
2024-10-09,JK Tallinna Kalev U21,0:2,FC Tallinn
2024-09-19,Paide Linnameeskond U21,3:4,FC Elva
2024-09-19,Tallinna FCI Levadia U21,1:0,Tartu JK Welco
2024-09-19,Harju JK Laagri,0:0,Viimsi JK
2024-09-19,JK Tabasalu,1:4,Tallinna FC Flora U21
2024-09-22,Tallinna FC Flora U21,2:0,FC Elva
2024-09-22,Tartu JK Welco,2:2,Paide Linnameeskond U21
2024-09-23,Viimsi JK,1:0,Tallinna FCI Levadia U21
2024-09-23,Harju JK Laagri,3:3,JK Tallinna Kalev U21
2024-09-24,FC Tallinn,3:1,JK Tabasalu
