Date,Home,Result,Away
2022-03-01,Tallinna FCI Levadia,5:1,JK Tallinna Kalev
2022-03-01,Pärnu JK Vaprus,1:3,Paide Linnameeskond
2022-03-02,Nõmme Kalju FC,2:0,FC Kuressaare
2022-03-02,Tallinna JK Legion,0:2,JK Narva Trans
2022-03-02,Tartu JK Tammeka,0:4,Tallinna FC Flora
2022-03-05,FC Kuressaare,1:2,JK Narva Trans
2022-03-05,Pärnu JK Vaprus,0:8,Tallinna FCI Levadia
2022-03-05,Tallinna JK Legion,1:1,Tartu JK Tammeka
2022-03-06,Tallinna FC Flora,7:1,JK Tallinna Kalev
2022-03-06,Paide Linnameeskond,2:3,Nõmme Kalju FC
2022-03-12,JK Tallinna Kalev,0:3,FC Kuressaare
2022-03-12,JK Narva Trans,0:2,Tartu JK Tammeka
2022-03-12,Tallinna FCI Levadia,2:0,Tallinna JK Legion
2022-03-13,Nõmme Kalju FC,2:0,Pärnu JK Vaprus
2022-03-13,Paide Linnameeskond,1:2,Tallinna FC Flora
2022-03-19,Tallinna JK Legion,2:2,FC Kuressaare
2022-03-19,Nõmme Kalju FC,1:2,Tallinna FC Flora
2022-03-20,Tartu JK Tammeka,1:3,Paide Linnameeskond
2022-03-20,Pärnu JK Vaprus,3:1,JK Tallinna Kalev
2022-04-20,JK Narva Trans,0:1,Tallinna FCI Levadia
2022-04-01,JK Tallinna Kalev,0:3,Paide Linnameeskond
2022-04-02,Tallinna JK Legion,2:4,Nõmme Kalju FC
2022-04-02,Tallinna FCI Levadia,4:0,Tartu JK Tammeka
2022-04-03,FC Kuressaare,3:2,Pärnu JK Vaprus
2022-04-03,Tallinna FC Flora,1:0,JK Narva Trans
2022-04-09,Tallinna FC Flora,2:0,Tallinna JK Legion
2022-04-09,JK Narva Trans,3:1,Pärnu JK Vaprus
2022-04-09,Tartu JK Tammeka,1:0,FC Kuressaare
2022-04-10,Nõmme Kalju FC,2:1,JK Tallinna Kalev
2022-04-10,Paide Linnameeskond,0:1,Tallinna FCI Levadia
2022-04-12,FC Kuressaare,0:3,Tallinna FC Flora
2022-04-12,Pärnu JK Vaprus,1:2,Tartu JK Tammeka
2022-04-13,Paide Linnameeskond,5:0,Tallinna JK Legion
2022-04-13,JK Narva Trans,5:0,JK Tallinna Kalev
2022-04-13,Tallinna FCI Levadia,1:1,Nõmme Kalju FC
2022-04-16,Pärnu JK Vaprus,0:2,Tallinna FC Flora
2022-04-16,Tallinna JK Legion,1:1,JK Tallinna Kalev
2022-04-16,JK Narva Trans,1:2,Paide Linnameeskond
2022-04-17,Tartu JK Tammeka,1:1,Nõmme Kalju FC
2022-04-17,Tallinna FCI Levadia,1:0,FC Kuressaare
2022-04-22,JK Tallinna Kalev,1:0,Tartu JK Tammeka
2022-04-23,Tallinna JK Legion,3:0,Pärnu JK Vaprus
2022-04-23,FC Kuressaare,2:1,Paide Linnameeskond
2022-04-23,Nõmme Kalju FC,3:0,JK Narva Trans
2022-04-24,Tallinna FC Flora,2:0,Tallinna FCI Levadia
2022-04-26,JK Narva Trans,0:1,FC Kuressaare
2022-04-26,Nõmme Kalju FC,3:0,Tallinna JK Legion
2022-04-27,JK Tallinna Kalev,2:4,Tallinna FC Flora
2022-04-27,Tartu JK Tammeka,0:1,Tallinna FCI Levadia
2022-04-27,Paide Linnameeskond,6:2,Pärnu JK Vaprus
2022-05-01,Paide Linnameeskond,7:0,JK Tallinna Kalev
2022-05-01,Tallinna FC Flora,3:2,Tartu JK Tammeka
2022-04-29,FC Kuressaare,1:0,Tallinna JK Legion
2022-04-30,Pärnu JK Vaprus,0:1,Nõmme Kalju FC
2022-04-30,Tallinna FCI Levadia,6:0,JK Narva Trans
2022-05-06,Pärnu JK Vaprus,3:1,FC Kuressaare
2022-05-07,JK Tallinna Kalev,0:1,Tallinna FCI Levadia
2022-05-07,Tallinna JK Legion,1:0,JK Narva Trans
2022-05-08,Nõmme Kalju FC,3:1,Tartu JK Tammeka
2022-05-08,Tallinna FC Flora,0:0,Paide Linnameeskond
2022-05-13,Tartu JK Tammeka,3:1,Pärnu JK Vaprus
2022-05-14,FC Kuressaare,1:0,JK Tallinna Kalev
2022-05-15,Tallinna FCI Levadia,1:0,Paide Linnameeskond
2022-07-22,Tallinna JK Legion,0:7,Tallinna FC Flora
2022-07-23,JK Narva Trans,2:1,Nõmme Kalju FC
2022-05-17,Tartu JK Tammeka,1:3,JK Tallinna Kalev
2022-05-17,Tallinna FC Flora,4:0,FC Kuressaare
2022-05-18,Paide Linnameeskond,4:2,JK Narva Trans
2022-05-18,Pärnu JK Vaprus,1:1,Tallinna JK Legion
2022-05-18,Nõmme Kalju FC,0:1,Tallinna FCI Levadia
2022-05-24,Paide Linnameeskond,3:0,Tartu JK Tammeka
2022-05-24,FC Kuressaare,1:1,Nõmme Kalju FC
2022-05-24,Tallinna JK Legion,1:3,Tallinna FCI Levadia
2022-05-25,JK Narva Trans,0:3,Tallinna FC Flora
2022-05-25,JK Tallinna Kalev,1:0,Pärnu JK Vaprus
2022-07-09,Pärnu JK Vaprus,3:5,JK Narva Trans
2022-05-28,JK Tallinna Kalev,2:2,Tallinna JK Legion
2022-05-29,FC Kuressaare,3:0,Tartu JK Tammeka
2022-05-29,Nõmme Kalju FC,1:0,Paide Linnameeskond
2022-05-29,Tallinna FCI Levadia,1:1,Tallinna FC Flora
2022-06-16,Tallinna FCI Levadia,4:1,Pärnu JK Vaprus
2022-06-18,JK Narva Trans,1:1,JK Tallinna Kalev
2022-06-18,Paide Linnameeskond,1:1,FC Kuressaare
2022-06-19,Tartu JK Tammeka,1:4,Tallinna JK Legion
2022-06-19,Tallinna FC Flora,2:0,Nõmme Kalju FC
2022-06-28,FC Kuressaare,1:1,Tallinna FCI Levadia
2022-06-28,JK Tallinna Kalev,0:3,Nõmme Kalju FC
2022-06-29,Tallinna FC Flora,6:1,Pärnu JK Vaprus
2022-06-29,Tallinna JK Legion,1:2,Paide Linnameeskond
2022-06-29,Tartu JK Tammeka,1:0,JK Narva Trans
2022-07-01,Tallinna FCI Levadia,3:1,JK Tallinna Kalev
2022-07-02,Pärnu JK Vaprus,1:1,Tartu JK Tammeka
2022-07-02,JK Narva Trans,1:1,Paide Linnameeskond
2022-07-02,Tallinna JK Legion,0:1,Tallinna FC Flora
2022-07-03,Nõmme Kalju FC,3:1,FC Kuressaare
2022-07-15,Tartu JK Tammeka,0:3,Tallinna FCI Levadia
2022-07-16,FC Kuressaare,1:0,Tallinna JK Legion
2022-07-16,Nõmme Kalju FC,1:1,JK Narva Trans
2022-07-17,Tallinna FC Flora,2:0,JK Tallinna Kalev
2022-08-17,Paide Linnameeskond,4:2,Pärnu JK Vaprus
2022-07-29,Pärnu JK Vaprus,0:3,Nõmme Kalju FC
2022-07-30,JK Tallinna Kalev,5:2,JK Narva Trans
2022-07-31,FC Kuressaare,2:3,Tallinna FC Flora
2022-07-31,Paide Linnameeskond,3:0,Tartu JK Tammeka
2022-07-31,Tallinna FCI Levadia,3:0,Tallinna JK Legion
2022-08-05,Tartu JK Tammeka,0:1,Tallinna FC Flora
2022-08-06,Pärnu JK Vaprus,0:1,FC Kuressaare
2022-08-06,Nõmme Kalju FC,6:0,JK Tallinna Kalev
2022-08-07,JK Narva Trans,0:1,Tallinna FCI Levadia
2022-09-14,Tallinna JK Legion,1:1,Paide Linnameeskond
2022-08-12,Tallinna FCI Levadia,3:0,Pärnu JK Vaprus
2022-08-13,Tallinna JK Legion,1:2,Nõmme Kalju FC
2022-08-13,JK Tallinna Kalev,2:5,Tartu JK Tammeka
2022-08-13,Tallinna FC Flora,1:1,JK Narva Trans
2022-08-14,Paide Linnameeskond,0:0,FC Kuressaare
2022-08-20,Tallinna FC Flora,3:1,Pärnu JK Vaprus
2022-08-20,JK Narva Trans,2:1,Tallinna JK Legion
2022-08-20,JK Tallinna Kalev,2:7,Paide Linnameeskond
2022-08-21,Nõmme Kalju FC,1:1,Tartu JK Tammeka
2022-08-21,FC Kuressaare,2:3,Tallinna FCI Levadia
2022-08-26,Pärnu JK Vaprus,2:3,JK Tallinna Kalev
2022-08-27,FC Kuressaare,3:1,JK Narva Trans
2022-08-27,Tartu JK Tammeka,2:0,Tallinna JK Legion
2022-08-28,Paide Linnameeskond,1:2,Tallinna FC Flora
2022-08-28,Tallinna FCI Levadia,1:1,Nõmme Kalju FC
2022-08-30,Tallinna JK Legion,2:3,JK Tallinna Kalev
2022-08-30,Tartu JK Tammeka,1:1,FC Kuressaare
2022-08-30,JK Narva Trans,1:0,Pärnu JK Vaprus
2022-08-31,Paide Linnameeskond,0:0,Tallinna FCI Levadia
2022-08-31,Tallinna FC Flora,2:0,Nõmme Kalju FC
2022-09-03,JK Narva Trans,0:0,Tartu JK Tammeka
2022-09-03,Nõmme Kalju FC,1:2,Paide Linnameeskond
2022-09-04,Pärnu JK Vaprus,0:1,Tallinna JK Legion
2022-09-04,JK Tallinna Kalev,1:2,FC Kuressaare
2022-09-04,Tallinna FCI Levadia,1:2,Tallinna FC Flora
2022-09-09,Tallinna FC Flora,1:0,Tartu JK Tammeka
2022-09-10,FC Kuressaare,0:0,Nõmme Kalju FC
2022-09-10,Pärnu JK Vaprus,1:2,Paide Linnameeskond
2022-09-11,JK Tallinna Kalev,0:3,Tallinna FCI Levadia
2022-09-11,JK Narva Trans,6:1,Tallinna JK Legion
2022-09-16,Nõmme Kalju FC,4:0,Pärnu JK Vaprus
2022-09-17,Tartu JK Tammeka,1:3,JK Tallinna Kalev
2022-09-17,JK Narva Trans,0:4,Tallinna FC Flora
2022-09-18,Paide Linnameeskond,10:0,Tallinna JK Legion
2022-09-18,Tallinna FCI Levadia,2:3,FC Kuressaare
2022-10-01,JK Tallinna Kalev,1:0,Pärnu JK Vaprus
