Date,Home,Result,Away
2007-04-01,Tartu JK Tammeka  II,2:0,Valga FC Warrior
2007-04-01,Tallinna FC TVMK II,5:0,Nõmme JK Kalju
2007-04-01,Tartu Välk 494,0:1,Tallinna FC Levadia II
2007-04-01,Tallinna FC Flora II,0:2,JK Sillamäe Kalev
2007-04-01,FC Elva,0:0,Viljandi JK Tulevik U21
2007-07-01,Tartu Välk 494,1:1,Nõmme JK Kalju
2007-07-01,Tartu JK Tammeka  II,0:1,JK Sillamäe Kalev
2007-09-02,Nõmme JK Kalju,3:2,Tartu Välk 494
2007-09-02,Viljandi JK Tulevik U21,1:3,Tallinna FC TVMK II
2007-09-02,Valga FC Warrior,7:0,FC Elva
2007-09-02,JK Sillamäe Kalev,3:0,Tartu JK Tammeka  II
2007-09-02,Tallinna FC Levadia II,1:1,Tallinna FC Flora II
2007-10-03,Tallinna FC Flora II,4:0,Valga FC Warrior
2007-10-03,FC Elva,1:6,Tallinna FC TVMK II
2007-10-03,Tallinna FC Levadia II,2:0,Nõmme JK Kalju
2007-10-03,Tartu Välk 494,0:2,JK Sillamäe Kalev
2007-10-03,Tartu JK Tammeka  II,4:1,Viljandi JK Tulevik U21
2007-04-04,Viljandi JK Tulevik U21,1:2,Tartu JK Tammeka  II
2007-04-04,Valga FC Warrior,0:5,Tallinna FC Flora II
2007-04-04,Tallinna FC TVMK II,2:0,FC Elva
2007-04-04,JK Sillamäe Kalev,2:1,Tartu Välk 494
2007-04-04,Nõmme JK Kalju,0:6,Tallinna FC Levadia II
2007-11-04,Tallinna FC Flora II,1:1,Tartu JK Tammeka  II
2007-11-04,Tallinna FC Levadia II,1:1,Tallinna FC TVMK II
2007-11-04,Valga FC Warrior,3:2,Nõmme JK Kalju
2007-11-04,Tartu Välk 494,10:1,FC Elva
2007-11-04,JK Sillamäe Kalev,5:0,Viljandi JK Tulevik U21
2007-08-05,FC Elva,1:4,Tartu JK Tammeka  II
2007-08-05,Tallinna FC TVMK II,2:4,Tallinna FC Flora II
2007-08-05,Viljandi JK Tulevik U21,4:1,Tartu Välk 494
2007-08-05,Valga FC Warrior,0:3,Tallinna FC Levadia II
2007-08-05,Nõmme JK Kalju,0:1,JK Sillamäe Kalev
2007-05-06,Tallinna FC TVMK II,1:2,JK Sillamäe Kalev
2007-05-06,FC Elva,0:4,Tallinna FC Levadia II
2007-05-06,Nõmme JK Kalju,1:2,Tallinna FC Flora II
2007-05-06,Tartu JK Tammeka  II,1:2,Tartu Välk 494
2007-05-06,Viljandi JK Tulevik U21,0:2,Valga FC Warrior
2007-10-07,Viljandi JK Tulevik U21,1:6,Tallinna FC Flora II
2007-10-07,Nõmme JK Kalju,3:0,FC Elva
2007-10-07,Valga FC Warrior,10:2,Tartu Välk 494
2007-10-07,JK Sillamäe Kalev,0:1,Tallinna FC Levadia II
2007-10-07,Tallinna FC TVMK II,1:1,Tartu JK Tammeka  II
2007-04-08,Tallinna FC Levadia II,1:2,JK Sillamäe Kalev
2007-04-08,Tartu JK Tammeka  II,2:1,Tallinna FC TVMK II
2007-04-08,FC Elva,0:2,Nõmme JK Kalju
2007-04-08,Tallinna FC Flora II,0:1,Viljandi JK Tulevik U21
2007-04-08,Tartu Välk 494,2:6,Valga FC Warrior
2007-07-08,Tallinna FC Levadia II,4:0,Tartu JK Tammeka  II
2007-07-08,Nõmme JK Kalju,3:0,Viljandi JK Tulevik U21
2007-07-08,JK Sillamäe Kalev,6:0,FC Elva
2007-07-08,Valga FC Warrior,0:3,Tallinna FC TVMK II
2007-07-08,Tartu Välk 494,0:2,Tallinna FC Flora II
2007-06-10,Valga FC Warrior,3:2,Tartu Välk 494
2007-06-10,Tallinna FC TVMK II,2:2,Tartu JK Tammeka  II
2007-06-10,Nõmme JK Kalju,5:0,FC Elva
2007-06-10,JK Sillamäe Kalev,0:2,Tallinna FC Levadia II
2007-06-10,Viljandi JK Tulevik U21,1:5,Tallinna FC Flora II
2007-03-11,Tallinna FC Flora II,2:0,Tartu Välk 494
2007-03-11,Viljandi JK Tulevik U21,4:0,Nõmme JK Kalju
2007-03-11,Tallinna FC TVMK II,4:2,Valga FC Warrior
2007-03-11,FC Elva,1:2,JK Sillamäe Kalev
2007-03-11,Tartu JK Tammeka  II,0:1,Tallinna FC Levadia II
2007-07-11,Tallinna FC Flora II,1:2,Tallinna FC Levadia II
2007-11-11,Tallinna FC TVMK II,2:2,JK Sillamäe Kalev
2007-11-11,Nõmme JK Kalju,1:1,Tallinna FC Flora II
2007-11-11,FC Elva,0:1,Tallinna FC Levadia II
2007-11-11,Viljandi JK Tulevik U21,1:3,Valga FC Warrior
2007-11-11,Tartu JK Tammeka  II,1:2,Tartu Välk 494
2007-08-12,Tallinna FC Levadia II,1:1,JK Sillamäe Kalev
2007-08-12,Tartu Välk 494,3:2,Valga FC Warrior
2007-08-12,Tallinna FC Flora II,11:0,Viljandi JK Tulevik U21
2007-08-12,FC Elva,1:3,Nõmme JK Kalju
2007-08-12,Tartu JK Tammeka  II,4:0,Tallinna FC TVMK II
2007-05-13,Tallinna FC Levadia II,0:1,Tallinna FC TVMK II
2007-05-13,Tallinna FC Flora II,2:2,Tartu JK Tammeka  II
2007-05-13,JK Sillamäe Kalev,1:0,Viljandi JK Tulevik U21
2007-05-13,Tartu Välk 494,3:2,FC Elva
2007-05-13,Valga FC Warrior,3:1,Nõmme JK Kalju
2007-04-15,FC Elva,0:2,Tartu JK Tammeka  II
2007-04-15,Tallinna FC TVMK II,0:1,Tallinna FC Flora II
2007-04-15,Viljandi JK Tulevik U21,3:1,Tartu Välk 494
2007-04-15,Valga FC Warrior,0:2,Tallinna FC Levadia II
2007-04-15,Nõmme JK Kalju,1:1,JK Sillamäe Kalev
2007-07-15,Valga FC Warrior,1:2,Viljandi JK Tulevik U21
2007-07-15,JK Sillamäe Kalev,2:3,Tallinna FC TVMK II
2007-07-15,Tartu Välk 494,0:0,Tartu JK Tammeka  II
2007-07-15,Tallinna FC Flora II,1:0,Nõmme JK Kalju
2007-07-15,Tallinna FC Levadia II,7:0,FC Elva
2007-08-15,Tallinna FC TVMK II,1:2,Nõmme JK Kalju
2007-09-16,Tallinna FC Flora II,2:1,Tartu Välk 494
2007-09-16,FC Elva,0:5,JK Sillamäe Kalev
2007-09-16,Tallinna FC TVMK II,1:1,Valga FC Warrior
2007-09-16,Tartu JK Tammeka  II,1:0,Tallinna FC Levadia II
2007-09-16,Viljandi JK Tulevik U21,0:6,Nõmme JK Kalju
2007-06-17,FC Elva,1:5,Tallinna FC TVMK II
2007-06-17,Tartu JK Tammeka  II,1:1,Viljandi JK Tulevik U21
2007-06-17,Tallinna FC Flora II,1:0,Valga FC Warrior
2007-06-17,Tallinna FC Levadia II,7:0,Nõmme JK Kalju
2007-06-17,Tartu Välk 494,1:1,JK Sillamäe Kalev
2007-03-18,Viljandi JK Tulevik U21,0:2,Tallinna FC TVMK II
2007-03-18,Valga FC Warrior,0:0,FC Elva
2007-03-18,Nõmme JK Kalju,7:1,Tartu Välk 494
2007-03-18,Tallinna FC Levadia II,5:2,Tallinna FC Flora II
2007-03-18,JK Sillamäe Kalev,1:1,Tartu JK Tammeka  II
2007-08-19,Tallinna FC TVMK II,4:0,FC Elva
2007-08-19,Valga FC Warrior,2:2,Tallinna FC Flora II
2007-08-19,Viljandi JK Tulevik U21,1:2,Tartu JK Tammeka  II
2007-08-19,Nõmme JK Kalju,2:6,Tallinna FC Levadia II
2007-08-19,JK Sillamäe Kalev,0:0,Tartu Välk 494
2007-09-19,Tallinna FC Levadia II,2:0,Tartu JK Tammeka  II
2007-09-19,JK Sillamäe Kalev,3:0,FC Elva
2007-09-19,Nõmme JK Kalju,4:0,Viljandi JK Tulevik U21
2007-09-19,Tartu Välk 494,0:4,Tallinna FC Flora II
2007-09-19,Valga FC Warrior,6:3,Tallinna FC TVMK II
2007-05-20,FC Elva,0:5,Tallinna FC Flora II
2007-05-20,Nõmme JK Kalju,1:1,Tartu JK Tammeka  II
2007-05-20,Viljandi JK Tulevik U21,1:1,Tallinna FC Levadia II
2007-05-20,Valga FC Warrior,2:4,JK Sillamäe Kalev
2007-05-20,Tallinna FC TVMK II,2:2,Tartu Välk 494
2007-06-20,Tallinna FC Levadia II,3:2,Tartu Välk 494
2007-06-20,Valga FC Warrior,2:0,Tartu JK Tammeka  II
2007-06-20,JK Sillamäe Kalev,0:1,Tallinna FC Flora II
2007-06-20,Nõmme JK Kalju,6:2,Tallinna FC TVMK II
2007-06-20,Viljandi JK Tulevik U21,1:0,FC Elva
2007-10-21,Tartu Välk 494,2:2,Viljandi JK Tulevik U21
2007-10-21,Tartu JK Tammeka  II,2:1,FC Elva
2007-10-21,JK Sillamäe Kalev,3:3,Nõmme JK Kalju
2007-10-21,Tallinna FC Flora II,3:2,Tallinna FC TVMK II
2007-10-21,Tallinna FC Levadia II,2:1,Valga FC Warrior
2007-04-22,Tallinna FC Flora II,2:0,FC Elva
2007-04-22,JK Sillamäe Kalev,1:0,Valga FC Warrior
2007-04-22,Tallinna FC Levadia II,5:0,Viljandi JK Tulevik U21
2007-04-22,Tartu JK Tammeka  II,2:1,Nõmme JK Kalju
2007-04-22,Tartu Välk 494,0:3,Tallinna FC TVMK II
2007-07-22,Viljandi JK Tulevik U21,0:2,JK Sillamäe Kalev
2007-07-22,FC Elva,0:1,Tartu Välk 494
2007-07-22,Tartu JK Tammeka  II,1:0,Tallinna FC Flora II
2007-09-23,Tartu Välk 494,1:1,Nõmme JK Kalju
2007-09-23,FC Elva,0:3,Valga FC Warrior
2007-09-23,Tartu JK Tammeka  II,1:1,JK Sillamäe Kalev
2007-10-24,Tallinna FC Levadia II,5:0,Tartu Välk 494
2007-10-24,Tallinna FC TVMK II,1:1,Viljandi JK Tulevik U21
2007-04-25,Nõmme JK Kalju,3:2,Valga FC Warrior
2007-04-25,Viljandi JK Tulevik U21,3:0,JK Sillamäe Kalev
2007-04-25,Tartu JK Tammeka  II,0:1,Tallinna FC Flora II
2007-04-25,Tallinna FC TVMK II,0:4,Tallinna FC Levadia II
2007-04-25,FC Elva,2:0,Tartu Välk 494
2007-07-25,Tallinna FC TVMK II,2:3,Viljandi JK Tulevik U21
2007-07-25,FC Elva,1:2,Valga FC Warrior
2007-08-26,Tartu Välk 494,0:6,Tallinna FC Levadia II
2007-08-26,Tartu JK Tammeka  II,0:1,Valga FC Warrior
2007-08-26,Tallinna FC Flora II,6:0,JK Sillamäe Kalev
2007-08-26,FC Elva,2:0,Viljandi JK Tulevik U21
2007-05-27,Tartu Välk 494,2:0,Viljandi JK Tulevik U21
2007-05-27,JK Sillamäe Kalev,1:0,Nõmme JK Kalju
2007-05-27,Tallinna FC Levadia II,3:2,Valga FC Warrior
2007-05-27,Tartu JK Tammeka  II,7:0,FC Elva
2007-05-27,Tallinna FC Flora II,4:1,Tallinna FC TVMK II
2007-10-28,Tallinna FC TVMK II,4:2,Tartu Välk 494
2007-10-28,Nõmme JK Kalju,1:1,Tartu JK Tammeka  II
2007-10-28,Viljandi JK Tulevik U21,0:0,Tallinna FC Levadia II
2007-10-28,Valga FC Warrior,3:3,JK Sillamäe Kalev
2007-10-28,FC Elva,1:2,Tallinna FC Flora II
2007-04-29,Tallinna FC Levadia II,2:0,FC Elva
2007-04-29,Tartu Välk 494,1:1,Tartu JK Tammeka  II
2007-04-29,JK Sillamäe Kalev,2:1,Tallinna FC TVMK II
2007-04-29,Valga FC Warrior,1:1,Viljandi JK Tulevik U21
2007-04-29,Tallinna FC Flora II,1:1,Nõmme JK Kalju
2007-07-29,Tartu Välk 494,1:4,Tallinna FC TVMK II
2007-07-29,Tallinna FC Levadia II,2:0,Viljandi JK Tulevik U21
2007-07-29,Tallinna FC Flora II,7:1,FC Elva
2007-07-29,Tartu JK Tammeka  II,0:1,Nõmme JK Kalju
2007-07-29,JK Sillamäe Kalev,4:0,Valga FC Warrior
2007-08-29,Nõmme JK Kalju,4:2,Valga FC Warrior
2007-08-29,Tallinna FC TVMK II,1:0,Tallinna FC Levadia II
2007-09-30,Nõmme JK Kalju,5:5,Tallinna FC TVMK II
2007-09-30,Valga FC Warrior,0:2,Tartu JK Tammeka  II
2007-09-30,JK Sillamäe Kalev,1:4,Tallinna FC Flora II
2007-09-30,Viljandi JK Tulevik U21,3:1,FC Elva
2007-10-31,Tallinna FC Flora II,1:2,Tallinna FC Levadia II
