Date,Home,Result,Away
2003-08-01,FC M.C. Tallinn,4:0,Tallinna JK Legion
2003-08-01,JK Tervis Pärnu,4:1,JK Tammeka Tartu
2003-08-01,JK Merkuur Tartu,0:2,FC Lootus Alutaguse
2003-08-01,Lasnamäe FC Ajax,3:0,Pärnu JK Vaprus
2003-11-01,JK Tammeka Tartu,1:2,JK Merkuur Tartu
2003-11-01,Pärnu JK Vaprus,1:1,Tallinna JK Legion
2003-11-01,FC Lootus Alutaguse,2:1,JK Tervis Pärnu
2003-05-02,JK Tammeka Tartu,1:6,Lasnamäe FC Ajax
2003-11-02,Lasnamäe FC Ajax,4:1,FC M.C. Tallinn
2003-05-03,FC M.C. Tallinn,2:5,JK Tervis Pärnu
2003-05-03,Pärnu JK Vaprus,1:1,JK Merkuur Tartu
2003-05-03,Tallinna JK Legion,1:1,FC Lootus Alutaguse
2003-10-03,Pärnu JK Vaprus,10:0,JK Tammeka Tartu
2003-10-03,JK Merkuur Tartu,0:3,JK Tervis Pärnu
2003-04-04,Tallinna JK Legion,2:1,Pärnu JK Vaprus
2003-10-04,FC M.C. Tallinn,1:1,FC Lootus Alutaguse
2003-04-05,JK Merkuur Tartu,3:1,JK Tammeka Tartu
2003-10-05,Tallinna JK Legion,0:5,Lasnamäe FC Ajax
2003-08-08,FC Lootus Alutaguse,0:2,FC M.C. Tallinn
2003-08-08,JK Tammeka Tartu,3:3,Pärnu JK Vaprus
2003-08-08,JK Tervis Pärnu,1:0,JK Merkuur Tartu
2003-08-08,Lasnamäe FC Ajax,5:1,Tallinna JK Legion
2003-07-09,JK Tervis Pärnu,1:1,Pärnu JK Vaprus
2003-07-09,FC M.C. Tallinn,4:1,JK Tammeka Tartu
2003-07-09,JK Merkuur Tartu,2:2,Tallinna JK Legion
2003-07-09,Lasnamäe FC Ajax,1:2,FC Lootus Alutaguse
2003-05-10,FC Lootus Alutaguse,2:1,JK Tammeka Tartu
2003-05-10,JK Merkuur Tartu,0:3,Lasnamäe FC Ajax
2003-05-10,JK Tervis Pärnu,0:0,Tallinna JK Legion
2003-05-11,Pärnu JK Vaprus,1:1,FC M.C. Tallinn
2003-04-12,Tallinna JK Legion,0:0,JK Merkuur Tartu
2003-04-12,Pärnu JK Vaprus,0:5,JK Tervis Pärnu
2003-04-12,JK Tammeka Tartu,1:6,FC M.C. Tallinn
2003-06-13,Lasnamäe FC Ajax,2:2,JK Tammeka Tartu
2003-07-13,Pärnu JK Vaprus,2:1,Tallinna JK Legion
2003-07-13,JK Tammeka Tartu,3:2,JK Merkuur Tartu
2003-07-13,Lasnamäe FC Ajax,2:2,FC M.C. Tallinn
2003-07-13,FC Lootus Alutaguse,6:1,JK Tervis Pärnu
2003-09-13,JK Tammeka Tartu,5:3,Tallinna JK Legion
2003-09-13,JK Tervis Pärnu,0:0,Lasnamäe FC Ajax
2003-09-14,Pärnu JK Vaprus,0:1,FC Lootus Alutaguse
2003-09-14,JK Merkuur Tartu,0:1,FC M.C. Tallinn
2003-06-15,JK Merkuur Tartu,2:1,Pärnu JK Vaprus
2003-06-15,JK Tervis Pärnu,2:1,FC M.C. Tallinn
2003-06-15,FC Lootus Alutaguse,0:1,Tallinna JK Legion
2003-08-15,Pärnu JK Vaprus,2:3,JK Merkuur Tartu
2003-08-15,JK Tammeka Tartu,1:3,Lasnamäe FC Ajax
2003-08-15,Tallinna JK Legion,0:3,FC Lootus Alutaguse
2003-08-15,FC M.C. Tallinn,1:1,JK Tervis Pärnu
2003-10-15,JK Tammeka Tartu,2:0,JK Tervis Pärnu
2003-05-16,Lasnamäe FC Ajax,1:2,JK Tervis Pärnu
2003-05-16,FC Lootus Alutaguse,5:1,Pärnu JK Vaprus
2003-05-16,Tallinna JK Legion,1:1,JK Tammeka Tartu
2003-05-16,FC M.C. Tallinn,4:3,JK Merkuur Tartu
2003-04-17,JK Merkuur Tartu,1:1,FC Lootus Alutaguse
2003-07-18,JK Merkuur Tartu,5:4,JK Tammeka Tartu
2003-07-18,FC M.C. Tallinn,3:0,Lasnamäe FC Ajax
2003-07-18,Tallinna JK Legion,1:2,Pärnu JK Vaprus
2003-04-19,FC M.C. Tallinn,4:1,Tallinna JK Legion
2003-04-19,Lasnamäe FC Ajax,1:0,Pärnu JK Vaprus
2003-04-19,JK Tervis Pärnu,5:0,JK Tammeka Tartu
2003-06-19,Tallinna JK Legion,4:1,Lasnamäe FC Ajax
2003-06-19,Pärnu JK Vaprus,2:1,JK Tammeka Tartu
2003-06-19,JK Merkuur Tartu,0:6,JK Tervis Pärnu
2003-06-19,FC M.C. Tallinn,0:5,FC Lootus Alutaguse
2003-10-19,Pärnu JK Vaprus,2:2,Lasnamäe FC Ajax
2003-10-19,FC Lootus Alutaguse,3:3,JK Merkuur Tartu
2003-10-19,JK Tammeka Tartu,1:5,JK Tervis Pärnu
2003-10-19,Tallinna JK Legion,1:1,FC M.C. Tallinn
2003-09-21,JK Tammeka Tartu,0:1,FC Lootus Alutaguse
2003-09-21,Tallinna JK Legion,3:1,JK Tervis Pärnu
2003-09-21,FC M.C. Tallinn,2:4,Pärnu JK Vaprus
2003-09-21,Lasnamäe FC Ajax,7:1,JK Merkuur Tartu
2003-08-22,FC Lootus Alutaguse,3:1,JK Tammeka Tartu
2003-08-22,JK Tervis Pärnu,2:0,Tallinna JK Legion
2003-08-22,JK Merkuur Tartu,0:5,Lasnamäe FC Ajax
2003-04-23,JK Tervis Pärnu,2:1,FC Lootus Alutaguse
2003-04-23,FC M.C. Tallinn,3:2,Lasnamäe FC Ajax
2003-05-23,Pärnu JK Vaprus,1:4,FC Lootus Alutaguse
2003-05-23,JK Merkuur Tartu,0:0,FC M.C. Tallinn
2003-08-23,FC M.C. Tallinn,3:0,JK Merkuur Tartu
2003-05-24,JK Tammeka Tartu,3:2,Tallinna JK Legion
2003-05-24,JK Tervis Pärnu,2:1,Lasnamäe FC Ajax
2003-07-25,FC Lootus Alutaguse,6:0,Lasnamäe FC Ajax
2003-07-25,JK Tammeka Tartu,3:3,FC M.C. Tallinn
2003-07-25,Tallinna JK Legion,2:2,JK Merkuur Tartu
2003-07-25,Pärnu JK Vaprus,0:3,JK Tervis Pärnu
2003-08-25,Pärnu JK Vaprus,2:0,FC M.C. Tallinn
2003-10-25,JK Tervis Pärnu,9:2,Pärnu JK Vaprus
2003-10-25,Lasnamäe FC Ajax,2:4,FC Lootus Alutaguse
2003-10-25,FC M.C. Tallinn,5:3,JK Tammeka Tartu
2003-09-26,Lasnamäe FC Ajax,4:2,JK Tammeka Tartu
