Date,Home,Result,Away
2016-04-01,Viljandi JK Tulevik II,2:0,FC Elva
2016-04-02,JK Sillamäe Kalev II,1:2,Tartu JK Tammeka U21
2016-04-03,Viimsi JK,0:0,Tartu JK Welco
2016-03-04,Raasiku FC Joker,1:2,Viimsi JK
2016-03-05,Tallinna FC Flora U19,0:5,Tartu JK Tammeka U21
2016-03-05,Tartu JK Welco,0:1,JK Tallinna Kalev II
2016-04-05,JK Tallinna Kalev II,1:1,JK Sillamäe Kalev II
2016-03-06,Viljandi JK Tulevik II,0:0,JK Sillamäe Kalev II
2016-04-06,Tartu JK Tammeka U21,1:3,FC Kuressaare
2016-04-06,Raasiku FC Joker,3:2,Viljandi JK Tulevik II
2016-04-06,Tallinna FC Flora U19,0:1,Viimsi JK
2016-03-09,JK Tallinna Kalev II,4:0,Tallinna FC Flora U19
2016-04-09,Viljandi JK Tulevik II,1:5,Tartu JK Welco
2016-04-09,Tallinna FC Flora U19,0:4,FC Elva
2016-04-09,JK Sillamäe Kalev II,2:1,Raasiku FC Joker
2016-04-10,FC Kuressaare,0:0,JK Tallinna Kalev II
2016-04-10,Viimsi JK,2:1,Tartu JK Tammeka U21
2016-03-12,Viljandi JK Tulevik II,2:5,FC Kuressaare
2016-03-13,Tartu JK Tammeka U21,2:1,Raasiku FC Joker
2016-03-13,JK Sillamäe Kalev II,0:2,Tartu JK Welco
2016-03-13,Viimsi JK,0:2,FC Elva
2016-04-16,Viljandi JK Tulevik II,1:1,Tallinna FC Flora U19
2016-04-16,JK Tallinna Kalev II,0:0,Viimsi JK
2016-04-17,FC Elva,5:0,Tartu JK Tammeka U21
2016-04-17,JK Sillamäe Kalev II,3:0,FC Kuressaare
2016-04-17,Raasiku FC Joker,2:0,Tartu JK Welco
2016-03-18,Tartu JK Tammeka U21,4:2,JK Tallinna Kalev II
2016-03-19,Viljandi JK Tulevik II,1:0,Viimsi JK
2016-03-20,Raasiku FC Joker,1:1,FC Elva
2016-03-20,Tartu JK Welco,4:1,FC Kuressaare
2016-03-20,Tallinna FC Flora U19,1:2,JK Sillamäe Kalev II
2016-04-22,Tartu JK Welco,5:1,Tallinna FC Flora U19
2016-04-23,Tartu JK Tammeka U21,6:1,Viljandi JK Tulevik II
2016-04-24,FC Elva,0:1,JK Tallinna Kalev II
2016-04-24,FC Kuressaare,4:1,Raasiku FC Joker
2016-04-24,Viimsi JK,1:4,JK Sillamäe Kalev II
2016-03-27,Tartu JK Welco,1:0,FC Elva
2016-02-28,Tartu JK Tammeka U21,1:1,Tartu JK Welco
2016-02-28,JK Tallinna Kalev II,8:0,Viljandi JK Tulevik II
2016-02-28,JK Sillamäe Kalev II,1:0,FC Elva
2016-02-28,Viimsi JK,0:1,FC Kuressaare
2016-02-28,Tallinna FC Flora U19,0:2,Raasiku FC Joker
2016-03-30,JK Tallinna Kalev II,1:1,Raasiku FC Joker
2016-03-31,Tallinna FC Flora U19,0:2,FC Kuressaare
2016-05-31,FC Elva,0:2,FC Kuressaare
2016-05-01,Tallinna FC Flora U19,1:3,Tartu JK Welco
2016-05-01,JK Sillamäe Kalev II,2:1,Viimsi JK
2016-07-02,FC Kuressaare,2:2,FC Elva
2016-07-03,Tartu JK Tammeka U21,0:0,Tallinna FC Flora U19
2016-07-03,JK Sillamäe Kalev II,5:0,Viljandi JK Tulevik II
2016-07-03,Viimsi JK,1:0,Raasiku FC Joker
2016-05-07,Viimsi JK,3:2,JK Tallinna Kalev II
2016-05-07,Tallinna FC Flora U19,5:0,Viljandi JK Tulevik II
2016-06-07,JK Sillamäe Kalev II,0:0,Tallinna FC Flora U19
2016-06-07,JK Tallinna Kalev II,1:2,Tartu JK Tammeka U21
2016-07-07,Raasiku FC Joker,1:1,Tallinna FC Flora U19
2016-05-08,FC Kuressaare,6:0,JK Sillamäe Kalev II
2016-05-08,Tartu JK Welco,3:1,Raasiku FC Joker
2016-05-08,Tartu JK Tammeka U21,0:1,FC Elva
2016-06-08,Viimsi JK,4:1,Viljandi JK Tulevik II
2016-06-08,FC Kuressaare,4:0,Tartu JK Welco
2016-06-08,FC Elva,2:4,Raasiku FC Joker
2016-07-08,FC Kuressaare,6:0,Viimsi JK
2016-07-08,Tartu JK Welco,3:2,Tartu JK Tammeka U21
2016-07-10,Viljandi JK Tulevik II,0:6,JK Tallinna Kalev II
2016-07-10,FC Elva,3:2,JK Sillamäe Kalev II
2016-06-11,Tallinna FC Flora U19,2:1,JK Tallinna Kalev II
2016-06-11,Raasiku FC Joker,1:1,Tartu JK Tammeka U21
2016-06-12,FC Kuressaare,12:0,Viljandi JK Tulevik II
2016-06-12,Tartu JK Welco,0:2,JK Sillamäe Kalev II
2016-06-12,FC Elva,5:1,Viimsi JK
2016-05-13,JK Tallinna Kalev II,1:2,FC Kuressaare
2016-05-14,Tartu JK Tammeka U21,4:1,Viimsi JK
2016-05-14,Tartu JK Welco,2:1,Viljandi JK Tulevik II
2016-05-15,FC Elva,5:2,Tallinna FC Flora U19
2016-05-15,Raasiku FC Joker,4:2,JK Sillamäe Kalev II
2016-05-18,FC Kuressaare,5:0,Tallinna FC Flora U19
2016-05-22,JK Sillamäe Kalev II,0:1,JK Tallinna Kalev II
2016-05-22,Viimsi JK,3:1,Tallinna FC Flora U19
2016-05-22,FC Elva,0:3,Tartu JK Welco
2016-05-22,FC Kuressaare,4:2,Tartu JK Tammeka U21
2016-05-22,Viljandi JK Tulevik II,0:3,Raasiku FC Joker
