Date,Home,Result,Away
2024-03-02,Läänemaa JK,3:0,Pärnu Jalgpalliklubi
2024-03-02,Jõhvi FC Phoenix,5:0,Viljandi JK Tulevik
2024-03-03,FA Tartu Kalev,2:1,JK Narva Trans U21
2024-03-03,FC Kuressaare U21,2:1,Tallinna JK Legion
2024-03-04,Nõmme Kalju FC U21,0:1,Tartu JK Tammeka U21
2024-03-10,Pärnu Jalgpalliklubi,2:5,Nõmme Kalju FC U21
2024-03-10,Tartu JK Tammeka U21,3:0,Jõhvi FC Phoenix
2024-03-10,Viljandi JK Tulevik,0:3,Tallinna JK Legion
2024-03-10,JK Narva Trans U21,5:0,Läänemaa JK
2024-03-10,FA Tartu Kalev,1:2,FC Kuressaare U21
2024-03-16,Läänemaa JK,0:1,FC Kuressaare U21
2024-03-16,Jõhvi FC Phoenix,2:4,FA Tartu Kalev
2024-03-17,Pärnu Jalgpalliklubi,1:3,JK Narva Trans U21
2024-03-21,Viljandi JK Tulevik,0:1,Tartu JK Tammeka U21
2024-03-22,Tallinna JK Legion,0:4,Nõmme Kalju FC U21
2024-03-30,FC Kuressaare U21,1:0,Viljandi JK Tulevik
2024-03-30,FA Tartu Kalev,0:0,Pärnu Jalgpalliklubi
2024-03-30,Tallinna JK Legion,1:1,Tartu JK Tammeka U21
2024-03-31,JK Narva Trans U21,1:1,Jõhvi FC Phoenix
2024-03-31,Nõmme Kalju FC U21,6:3,Läänemaa JK
2024-04-06,Viljandi JK Tulevik,3:3,FA Tartu Kalev
2024-04-06,Läänemaa JK,4:1,Jõhvi FC Phoenix
2024-04-06,Pärnu Jalgpalliklubi,2:1,Tallinna JK Legion
2024-04-07,Tartu JK Tammeka U21,4:1,FC Kuressaare U21
2024-04-07,JK Narva Trans U21,1:0,Nõmme Kalju FC U21
2024-04-13,Läänemaa JK,4:1,Viljandi JK Tulevik
2024-04-13,Nõmme Kalju FC U21,1:3,FA Tartu Kalev
2024-04-14,Jõhvi FC Phoenix,0:4,Tallinna JK Legion
2024-04-14,FC Kuressaare U21,2:3,Pärnu Jalgpalliklubi
2024-04-14,Tartu JK Tammeka U21,2:3,JK Narva Trans U21
2024-04-18,Tallinna JK Legion,3:1,JK Narva Trans U21
2024-04-20,FA Tartu Kalev,7:3,Läänemaa JK
2024-04-20,Viljandi JK Tulevik,5:2,Nõmme Kalju FC U21
2024-04-20,Jõhvi FC Phoenix,2:5,FC Kuressaare U21
2024-04-21,Pärnu Jalgpalliklubi,2:4,Tartu JK Tammeka U21
