Date,Home,Result,Away
2021-04-04,Tallinna JK Legion,1:1,Paide Linnameeskond
2021-06-13,Tallinna FC Flora,2:0,Pärnu JK Vaprus
2021-07-13,Tartu JK Tammeka,3:2,JK Narva Trans
2021-06-26,Tallinna FCI Levadia,3:0,FC Kuressaare
2021-06-30,Nõmme Kalju FC,5:1,Viljandi JK Tulevik
2021-03-20,Tallinna FCI Levadia,4:3,Tallinna JK Legion
2021-03-20,FC Kuressaare,1:3,Tartu JK Tammeka
2021-03-20,JK Narva Trans,1:1,Pärnu JK Vaprus
2021-03-21,Viljandi JK Tulevik,0:1,Paide Linnameeskond
2021-06-25,Tallinna FC Flora,1:0,Nõmme Kalju FC
2021-03-13,FC Kuressaare,2:3,Viljandi JK Tulevik
2021-03-13,Tallinna FCI Levadia,5:0,Pärnu JK Vaprus
2021-03-14,Paide Linnameeskond,5:1,JK Narva Trans
2021-06-21,Tartu JK Tammeka,0:3,Tallinna FC Flora
2021-03-28,Tallinna JK Legion,0:1,Nõmme Kalju FC
2021-07-01,Pärnu JK Vaprus,1:4,Tallinna JK Legion
2021-04-03,Nõmme Kalju FC,0:1,JK Narva Trans
2021-04-04,Viljandi JK Tulevik,0:4,Tallinna FCI Levadia
2021-10-24,Tallinna FC Flora,2:2,FC Kuressaare
2021-06-25,Tartu JK Tammeka,0:2,Paide Linnameeskond
2021-07-01,Tallinna FCI Levadia,2:1,Tartu JK Tammeka
2021-04-07,JK Narva Trans,0:0,Tallinna JK Legion
2021-04-07,FC Kuressaare,0:2,Nõmme Kalju FC
2021-06-25,Viljandi JK Tulevik,3:1,Pärnu JK Vaprus
2021-07-31,Paide Linnameeskond,0:0,Tallinna FC Flora
2021-04-10,Paide Linnameeskond,1:0,FC Kuressaare
2021-04-11,Pärnu JK Vaprus,1:2,Tartu JK Tammeka
2021-04-11,JK Narva Trans,6:2,Viljandi JK Tulevik
2021-04-11,Nõmme Kalju FC,0:1,Tallinna FCI Levadia
2021-04-11,Tallinna JK Legion,1:2,Tallinna FC Flora
2021-04-16,Tartu JK Tammeka,1:1,Viljandi JK Tulevik
2021-04-16,Tallinna JK Legion,1:0,FC Kuressaare
2021-04-17,Tallinna FC Flora,5:0,JK Narva Trans
2021-04-18,Nõmme Kalju FC,0:1,Pärnu JK Vaprus
2021-04-18,Tallinna FCI Levadia,0:4,Paide Linnameeskond
2021-04-20,Tartu JK Tammeka,0:1,Tallinna JK Legion
2021-04-20,Viljandi JK Tulevik,3:3,Tallinna FC Flora
