Date,Home,Result,Away
2019-03-07,Tartu JK Welco,2:2,FC Elva
2019-03-07,JK Tallinna Kalev U21,2:1,Tartu JK Tammeka U21
2019-03-09,Tallinna JK Legion,2:0,Pärnu JK Vaprus
2019-03-09,Kohtla-Järve JK Järve,4:3,Tallinna FC Flora U21
2019-03-10,Rakvere JK Tarvas,1:0,Tallinna FCI Levadia U21
2019-03-14,Tallinna FC Flora U21,3:0,Tallinna FCI Levadia U21
2019-03-16,Pärnu JK Vaprus,1:0,Kohtla-Järve JK Järve
2019-03-16,Tartu JK Welco,2:4,Tallinna JK Legion
2019-03-17,Tartu JK Tammeka U21,2:0,Rakvere JK Tarvas
2019-03-17,FC Elva,1:3,JK Tallinna Kalev U21
2019-04-01,Tallinna FCI Levadia U21,4:1,Tartu JK Welco
2019-03-27,JK Tallinna Kalev U21,0:3,Tallinna FC Flora U21
2019-03-28,Rakvere JK Tarvas,1:2,Pärnu JK Vaprus
2019-03-30,Kohtla-Järve JK Järve,2:1,FC Elva
2019-03-31,Tallinna JK Legion,3:0,Tartu JK Tammeka U21
2019-04-04,Tartu JK Welco,0:2,Pärnu JK Vaprus
2019-04-04,Tallinna FC Flora U21,5:1,FC Elva
2019-04-04,Tartu JK Tammeka U21,0:1,Kohtla-Järve JK Järve
2019-04-04,Tallinna FCI Levadia U21,1:4,Tallinna JK Legion
2019-04-04,Rakvere JK Tarvas,0:1,JK Tallinna Kalev U21
2019-04-07,FC Elva,6:0,Rakvere JK Tarvas
2019-04-07,Kohtla-Järve JK Järve,2:1,Tartu JK Welco
2019-04-08,Tartu JK Tammeka U21,1:2,Tallinna FC Flora U21
2019-04-08,Pärnu JK Vaprus,3:0,Tallinna FCI Levadia U21
2019-04-08,JK Tallinna Kalev U21,2:5,Tallinna JK Legion
2019-04-11,Tallinna FC Flora U21,8:0,Rakvere JK Tarvas
2019-04-13,Pärnu JK Vaprus,4:1,Tartu JK Tammeka U21
2019-04-13,Tallinna JK Legion,4:1,FC Elva
2019-04-14,Tartu JK Welco,3:2,JK Tallinna Kalev U21
2019-04-14,Kohtla-Järve JK Järve,4:1,Tallinna FCI Levadia U21
2019-04-18,Rakvere JK Tarvas,0:3,Tallinna JK Legion
2019-04-18,Tallinna FCI Levadia U21,2:1,Tartu JK Tammeka U21
2019-04-20,FC Elva,3:2,Pärnu JK Vaprus
2019-04-20,Tallinna FC Flora U21,3:1,Tartu JK Welco
2019-04-21,JK Tallinna Kalev U21,3:4,Kohtla-Järve JK Järve
2019-04-25,Tartu JK Tammeka U21,3:0,Tartu JK Welco
2019-04-27,FC Elva,4:0,Tallinna FCI Levadia U21
2019-04-27,Tallinna JK Legion,3:0,Tallinna FC Flora U21
2019-04-27,Rakvere JK Tarvas,3:2,Kohtla-Järve JK Järve
2019-04-28,Pärnu JK Vaprus,3:1,JK Tallinna Kalev U21
2019-05-02,Kohtla-Järve JK Järve,2:3,Tallinna JK Legion
2019-05-04,Tallinna FCI Levadia U21,1:1,JK Tallinna Kalev U21
2019-05-04,Tartu JK Tammeka U21,1:0,FC Elva
2019-05-04,Tallinna FC Flora U21,0:0,Pärnu JK Vaprus
2019-05-04,Tartu JK Welco,1:1,Rakvere JK Tarvas
2019-05-09,Pärnu JK Vaprus,5:1,Tartu JK Welco
2019-05-11,JK Tallinna Kalev U21,0:4,FC Elva
2019-05-11,Rakvere JK Tarvas,0:2,Tallinna FC Flora U21
2019-05-12,Tallinna JK Legion,3:0,Tallinna FCI Levadia U21
2019-05-12,Kohtla-Järve JK Järve,0:2,Tartu JK Tammeka U21
2019-05-16,Tallinna FCI Levadia U21,1:1,Tallinna FC Flora U21
2019-05-16,Tartu JK Tammeka U21,1:0,JK Tallinna Kalev U21
2019-05-18,Tartu JK Welco,0:2,Kohtla-Järve JK Järve
2019-05-19,FC Elva,1:2,Tallinna JK Legion
2019-05-19,Pärnu JK Vaprus,5:0,Rakvere JK Tarvas
2019-05-23,FC Elva,1:0,Kohtla-Järve JK Järve
2019-05-23,Tallinna FC Flora U21,0:0,Tartu JK Tammeka U21
2019-05-23,Tallinna FCI Levadia U21,0:3,Pärnu JK Vaprus
2019-05-25,JK Tallinna Kalev U21,1:6,Rakvere JK Tarvas
2019-05-25,Tallinna JK Legion,2:1,Tartu JK Welco
2019-05-30,Kohtla-Järve JK Järve,1:1,Pärnu JK Vaprus
2019-05-30,Tartu JK Welco,1:5,Tallinna FC Flora U21
2019-05-30,Rakvere JK Tarvas,2:0,FC Elva
2019-05-30,Tartu JK Tammeka U21,1:2,Tallinna FCI Levadia U21
2019-06-02,Pärnu JK Vaprus,1:2,Tallinna JK Legion
2019-06-02,Kohtla-Järve JK Järve,2:0,Rakvere JK Tarvas
2019-06-03,FC Elva,3:2,Tartu JK Tammeka U21
2019-06-03,Tallinna FC Flora U21,4:1,JK Tallinna Kalev U21
2019-06-03,Tartu JK Welco,2:5,Tallinna FCI Levadia U21
2019-06-13,Rakvere JK Tarvas,3:1,Tartu JK Welco
2019-06-13,Tallinna FC Flora U21,0:1,Kohtla-Järve JK Järve
2019-06-13,Tartu JK Tammeka U21,3:3,Tallinna JK Legion
2019-06-15,Tallinna FCI Levadia U21,1:2,FC Elva
2019-06-15,JK Tallinna Kalev U21,4:2,Pärnu JK Vaprus
2019-06-20,FC Elva,3:0,Tartu JK Welco
2019-06-20,Tallinna JK Legion,3:0,Kohtla-Järve JK Järve
2019-06-20,Pärnu JK Vaprus,0:0,Tallinna FC Flora U21
2019-06-20,Rakvere JK Tarvas,0:3,Tartu JK Tammeka U21
2019-06-20,JK Tallinna Kalev U21,1:5,Tallinna FCI Levadia U21
2019-06-27,Tartu JK Welco,1:1,Tartu JK Tammeka U21
2019-06-27,Pärnu JK Vaprus,2:1,FC Elva
2019-06-28,Kohtla-Järve JK Järve,3:1,JK Tallinna Kalev U21
2019-06-28,Tallinna FC Flora U21,1:2,Tallinna JK Legion
2019-06-28,Tallinna FCI Levadia U21,3:3,Rakvere JK Tarvas
2019-07-01,JK Tallinna Kalev U21,3:0,Tartu JK Welco
2019-07-01,Tallinna FCI Levadia U21,2:2,Kohtla-Järve JK Järve
2019-07-01,Tallinna JK Legion,9:0,Rakvere JK Tarvas
2019-07-01,FC Elva,1:3,Tallinna FC Flora U21
2019-07-01,Tartu JK Tammeka U21,1:0,Pärnu JK Vaprus
2019-07-04,Tartu JK Welco,1:2,Pärnu JK Vaprus
2019-07-04,Tartu JK Tammeka U21,1:1,Tallinna JK Legion
2019-07-06,Kohtla-Järve JK Järve,0:1,FC Elva
2019-07-06,Rakvere JK Tarvas,1:2,JK Tallinna Kalev U21
2019-07-07,Tallinna FC Flora U21,2:0,Tallinna FCI Levadia U21
2019-07-18,Pärnu JK Vaprus,5:2,Kohtla-Järve JK Järve
2019-07-20,FC Elva,3:1,Tartu JK Welco
2019-07-20,Tallinna FC Flora U21,2:0,Rakvere JK Tarvas
2019-07-20,Tallinna FCI Levadia U21,3:3,Tallinna JK Legion
2019-07-21,JK Tallinna Kalev U21,0:2,Tartu JK Tammeka U21
2019-07-25,Rakvere JK Tarvas,2:2,Kohtla-Järve JK Järve
2019-07-26,Tartu JK Welco,0:2,Tallinna FC Flora U21
2019-07-26,Tallinna JK Legion,4:0,JK Tallinna Kalev U21
2019-07-27,Tartu JK Tammeka U21,4:2,Tallinna FCI Levadia U21
2019-07-27,FC Elva,2:0,Pärnu JK Vaprus
2019-08-01,Pärnu JK Vaprus,1:0,Rakvere JK Tarvas
2019-08-01,JK Tallinna Kalev U21,1:2,FC Elva
2019-08-03,Tallinna FC Flora U21,5:3,Tallinna JK Legion
2019-08-03,Kohtla-Järve JK Järve,2:3,Tartu JK Tammeka U21
2019-08-04,Tartu JK Welco,0:2,Tallinna FCI Levadia U21
2019-09-07,Tallinna JK Legion,5:3,FC Elva
2019-08-08,Kohtla-Järve JK Järve,0:1,JK Tallinna Kalev U21
2019-08-08,Rakvere JK Tarvas,1:1,Tartu JK Welco
2019-08-09,Tallinna FCI Levadia U21,1:2,Pärnu JK Vaprus
2019-08-10,Tartu JK Tammeka U21,1:0,Tallinna FC Flora U21
2019-08-15,FC Elva,3:2,Tallinna FC Flora U21
2019-08-15,Tartu JK Tammeka U21,4:1,Rakvere JK Tarvas
2019-08-15,Tallinna JK Legion,6:2,Tartu JK Welco
2019-08-16,Tallinna FCI Levadia U21,3:2,Kohtla-Järve JK Järve
2019-08-17,Pärnu JK Vaprus,1:0,JK Tallinna Kalev U21
2019-08-22,Tartu JK Welco,1:4,Tartu JK Tammeka U21
2019-08-22,JK Tallinna Kalev U21,0:4,Tallinna FCI Levadia U21
2019-08-23,Tallinna FC Flora U21,0:3,Pärnu JK Vaprus
2019-08-23,Rakvere JK Tarvas,1:4,FC Elva
2019-08-23,Kohtla-Järve JK Järve,0:2,Tallinna JK Legion
2019-08-29,FC Elva,4:1,Tartu JK Tammeka U21
2019-08-29,Rakvere JK Tarvas,4:2,Tallinna FCI Levadia U21
2019-08-29,Pärnu JK Vaprus,0:2,Tallinna JK Legion
2019-08-29,Tartu JK Welco,1:0,JK Tallinna Kalev U21
2019-08-29,Tallinna FC Flora U21,5:2,Kohtla-Järve JK Järve
2019-09-01,Tartu JK Tammeka U21,3:1,Pärnu JK Vaprus
2019-09-01,Tallinna JK Legion,2:0,Rakvere JK Tarvas
2019-09-01,Kohtla-Järve JK Järve,2:1,Tartu JK Welco
2019-09-02,Tallinna FCI Levadia U21,5:1,FC Elva
2019-09-02,JK Tallinna Kalev U21,0:0,Tallinna FC Flora U21
2019-09-12,Pärnu JK Vaprus,1:6,Tallinna FCI Levadia U21
2019-09-14,JK Tallinna Kalev U21,0:1,Tallinna JK Legion
2019-09-14,Rakvere JK Tarvas,1:4,Tartu JK Tammeka U21
2019-09-14,Tallinna FC Flora U21,1:1,Tartu JK Welco
2019-09-15,FC Elva,2:0,Kohtla-Järve JK Järve
2019-09-19,Tartu JK Tammeka U21,2:0,Kohtla-Järve JK Järve
2019-09-19,Tallinna FCI Levadia U21,6:1,JK Tallinna Kalev U21
2019-09-19,Tartu JK Welco,4:0,Rakvere JK Tarvas
2019-09-19,Tallinna JK Legion,1:2,Tallinna FC Flora U21
2019-09-19,Pärnu JK Vaprus,0:1,FC Elva
2019-10-14,JK Tallinna Kalev U21,0:1,Rakvere JK Tarvas
2019-09-22,Tallinna JK Legion,2:0,Tallinna FCI Levadia U21
2019-09-22,Kohtla-Järve JK Järve,1:3,Pärnu JK Vaprus
2019-09-23,Tallinna FC Flora U21,5:1,FC Elva
2019-09-23,Tartu JK Tammeka U21,0:1,Tartu JK Welco
2019-09-26,Tartu JK Welco,2:2,Tallinna JK Legion
2019-09-27,Tallinna FCI Levadia U21,7:1,Tartu JK Tammeka U21
2019-09-28,Rakvere JK Tarvas,0:5,Pärnu JK Vaprus
2019-09-28,Kohtla-Järve JK Järve,1:2,Tallinna FC Flora U21
2019-09-29,FC Elva,2:2,JK Tallinna Kalev U21
2019-10-03,Pärnu JK Vaprus,3:3,Tallinna FC Flora U21
2019-10-05,Tallinna JK Legion,4:0,Tartu JK Tammeka U21
2019-10-05,Tallinna FCI Levadia U21,4:0,Tartu JK Welco
2019-10-05,FC Elva,2:0,Rakvere JK Tarvas
2019-10-06,JK Tallinna Kalev U21,1:1,Kohtla-Järve JK Järve
2019-10-17,Tartu JK Tammeka U21,1:0,FC Elva
2019-10-18,Tallinna FC Flora U21,2:0,JK Tallinna Kalev U21
2019-10-19,Pärnu JK Vaprus,3:0,Tartu JK Welco
2019-10-19,Rakvere JK Tarvas,0:4,Tallinna JK Legion
2019-10-20,Kohtla-Järve JK Järve,0:2,Tallinna FCI Levadia U21
2019-10-24,Tallinna FCI Levadia U21,4:0,Rakvere JK Tarvas
2019-10-25,Tallinna FC Flora U21,5:1,Tartu JK Tammeka U21
2019-10-26,Tartu JK Welco,2:1,FC Elva
2019-10-26,Tallinna JK Legion,18:0,Kohtla-Järve JK Järve
2019-10-27,JK Tallinna Kalev U21,2:3,Pärnu JK Vaprus
2019-11-01,Tartu JK Tammeka U21,2:0,JK Tallinna Kalev U21
2019-11-02,Tallinna JK Legion,5:2,Pärnu JK Vaprus
