Date,Home,Result,Away
2001-04-01,FC Levadia Tallinn,0:5,Viljandi JK Tulevik
2001-04-01,Tallinna FC Flora,4:0,Kohtla-Järve FC Lootus
2001-09-01,JK Narva Trans,3:0,FC Kuressaare
2001-10-01,Tallinna FC Flora,2:0,Tallinna FC Levadia
2001-08-03,Viljandi JK Tulevik,3:1,JK Narva Trans
2001-08-03,FC Kuressaare,2:4,FC Levadia Tallinn
2001-08-03,Tallinna FC TVMK,1:0,Tallinna FC Flora
2001-11-04,Viljandi JK Tulevik,4:1,FC Levadia Tallinn
2001-11-04,Kohtla-Järve FC Lootus,0:3,Tallinna FC Flora
2001-11-04,JK Narva Trans,1:2,Tallinna FC Levadia
2001-11-04,Tallinna FC TVMK,12:0,FC Kuressaare
2001-05-05,Kohtla-Järve FC Lootus,2:0,FC Levadia Tallinn
2001-05-05,Tallinna FC Levadia,1:2,Tallinna FC Flora
2001-05-05,JK Narva Trans,1:3,Tallinna FC TVMK
2001-05-05,FC Kuressaare,0:1,Viljandi JK Tulevik
2001-08-05,Tallinna FC Levadia,5:0,Kohtla-Järve FC Lootus
2001-04-07,Tallinna FC TVMK,1:1,Tallinna FC Flora
2001-04-07,FC Kuressaare,1:2,FC Levadia Tallinn
2001-04-07,Viljandi JK Tulevik,3:2,JK Narva Trans
2001-07-07,Tallinna FC Levadia,6:2,FC Levadia Tallinn
2001-04-08,Tallinna FC Levadia,3:3,Kohtla-Järve FC Lootus
2001-07-08,Tallinna FC TVMK,2:1,Kohtla-Järve FC Lootus
2001-07-08,FC Kuressaare,1:5,JK Narva Trans
2001-06-09,FC Levadia Tallinn,0:1,Tallinna FC TVMK
2001-06-09,FC Kuressaare,3:1,Kohtla-Järve FC Lootus
2001-06-09,Tallinna FC Levadia,4:1,Viljandi JK Tulevik
2001-07-09,Viljandi JK Tulevik,0:2,Tallinna FC Flora
2001-09-09,Tallinna FC Flora,2:1,JK Narva Trans
2001-09-09,Viljandi JK Tulevik,1:2,Tallinna FC Levadia
2001-09-09,Kohtla-Järve FC Lootus,5:0,FC Kuressaare
2001-09-09,Tallinna FC TVMK,4:0,FC Levadia Tallinn
2001-06-10,JK Narva Trans,3:1,Tallinna FC Flora
2001-08-11,FC Levadia Tallinn,2:0,Tallinna FC Levadia
2001-05-13,Tallinna FC Flora,3:2,JK Narva Trans
2001-05-13,Tallinna FC TVMK,7:2,FC Levadia Tallinn
2001-05-13,Viljandi JK Tulevik,0:0,Tallinna FC Levadia
2001-05-13,Kohtla-Järve FC Lootus,1:0,FC Kuressaare
2001-06-13,Viljandi JK Tulevik,1:2,FC Kuressaare
2001-06-13,Tallinna FC TVMK,1:3,JK Narva Trans
2001-07-13,Tallinna FC Flora,1:1,Tallinna FC TVMK
2001-08-13,Kohtla-Järve FC Lootus,0:2,Tallinna FC TVMK
2001-10-13,Tallinna FC Levadia,1:1,Tallinna FC TVMK
2001-10-13,JK Narva Trans,5:2,FC Levadia Tallinn
2001-10-13,Kohtla-Järve FC Lootus,0:1,Viljandi JK Tulevik
2001-10-13,Tallinna FC Flora,4:0,FC Kuressaare
2001-07-14,JK Narva Trans,4:0,Viljandi JK Tulevik
2001-04-15,Kohtla-Järve FC Lootus,0:2,Tallinna FC TVMK
2001-04-15,JK Narva Trans,5:0,FC Kuressaare
2001-06-15,Tallinna FC Flora,3:2,Tallinna FC Levadia
2001-09-15,Viljandi JK Tulevik,1:0,Tallinna FC TVMK
2001-09-15,FC Kuressaare,0:7,Tallinna FC Levadia
2001-09-15,JK Narva Trans,1:0,Kohtla-Järve FC Lootus
2001-09-15,FC Levadia Tallinn,0:5,Tallinna FC Flora
2001-04-16,Tallinna FC Flora,2:1,Viljandi JK Tulevik
2001-06-16,FC Levadia Tallinn,1:0,Kohtla-Järve FC Lootus
2001-04-17,FC Levadia Tallinn,1:4,Tallinna FC Levadia
2001-07-17,FC Levadia Tallinn,2:1,FC Kuressaare
2001-10-17,Kohtla-Järve FC Lootus,1:1,Tallinna FC Levadia
2001-10-17,Tallinna FC Flora,2:0,Viljandi JK Tulevik
2001-07-19,Kohtla-Järve FC Lootus,1:1,Tallinna FC Flora
2001-08-19,Viljandi JK Tulevik,4:0,Kohtla-Järve FC Lootus
2001-08-19,FC Levadia Tallinn,0:5,JK Narva Trans
2001-08-19,FC Kuressaare,0:2,Tallinna FC Flora
2001-08-19,Tallinna FC TVMK,2:2,Tallinna FC Levadia
2001-09-19,Tallinna FC Levadia,4:1,FC Kuressaare
2001-09-19,Tallinna FC Flora,4:0,FC Levadia Tallinn
2001-09-19,Kohtla-Järve FC Lootus,0:1,JK Narva Trans
