Date,Home,Result,Away
2019-03-09,Võru FC Helios,4:8,JK Tabasalu
2019-03-09,Vändra JK Vaprus,1:3,Nõmme Kalju FC U21
2019-03-09,Viimsi JK,0:1,Paide Linnameeskond U21
2019-03-10,Keila JK,3:1,FC Nõmme United
2019-03-10,Pärnu Jalgpalliklubi,2:1,Põhja-Tallinna JK Volta
2019-03-16,Paide Linnameeskond U21,0:6,FC Nõmme United
2019-03-16,Nõmme Kalju FC U21,0:1,Võru FC Helios
2019-03-17,Põhja-Tallinna JK Volta,2:3,Vändra JK Vaprus
2019-03-17,Viimsi JK,2:1,Keila JK
2019-03-17,JK Tabasalu,1:2,Pärnu Jalgpalliklubi
2019-04-01,FC Nõmme United,4:0,Põhja-Tallinna JK Volta
2019-03-30,Võru FC Helios,1:0,Viimsi JK
2019-03-31,Keila JK,1:2,Nõmme Kalju FC U21
2019-03-31,Pärnu Jalgpalliklubi,0:2,Paide Linnameeskond U21
2019-03-31,Vändra JK Vaprus,4:1,JK Tabasalu
2019-04-04,FC Nõmme United,4:0,Võru FC Helios
2019-04-04,Paide Linnameeskond U21,5:3,Vändra JK Vaprus
2019-04-04,Nõmme Kalju FC U21,0:1,Pärnu Jalgpalliklubi
2019-04-04,Põhja-Tallinna JK Volta,3:4,Keila JK
2019-04-04,JK Tabasalu,1:2,Viimsi JK
2019-04-07,Keila JK,2:2,Paide Linnameeskond U21
2019-04-07,Pärnu Jalgpalliklubi,1:2,FC Nõmme United
2019-04-07,Võru FC Helios,0:1,Vändra JK Vaprus
2019-04-08,Viimsi JK,3:3,Nõmme Kalju FC U21
2019-04-08,JK Tabasalu,5:0,Põhja-Tallinna JK Volta
2019-04-13,FC Nõmme United,3:1,JK Tabasalu
2019-04-13,Paide Linnameeskond U21,0:5,Nõmme Kalju FC U21
2019-04-14,Põhja-Tallinna JK Volta,0:1,Võru FC Helios
2019-04-14,Vändra JK Vaprus,3:3,Viimsi JK
2019-04-14,Keila JK,1:4,Pärnu Jalgpalliklubi
2019-04-20,JK Tabasalu,2:1,Paide Linnameeskond U21
2019-04-20,Võru FC Helios,2:2,Keila JK
2019-04-21,Nõmme Kalju FC U21,3:2,Põhja-Tallinna JK Volta
2019-04-21,Viimsi JK,3:1,Pärnu Jalgpalliklubi
2019-04-21,Vändra JK Vaprus,2:3,FC Nõmme United
2019-04-27,FC Nõmme United,3:4,Viimsi JK
2019-04-27,Pärnu Jalgpalliklubi,0:1,Võru FC Helios
2019-04-27,Keila JK,2:4,Vändra JK Vaprus
2019-04-27,Paide Linnameeskond U21,0:3,Põhja-Tallinna JK Volta
2019-04-28,Nõmme Kalju FC U21,3:1,JK Tabasalu
2019-05-04,FC Nõmme United,1:3,Nõmme Kalju FC U21
2019-05-04,Pärnu Jalgpalliklubi,1:2,Vändra JK Vaprus
2019-05-04,Põhja-Tallinna JK Volta,3:1,Viimsi JK
2019-05-04,JK Tabasalu,1:4,Keila JK
2019-05-05,Võru FC Helios,1:0,Paide Linnameeskond U21
2019-05-11,Vändra JK Vaprus,2:1,Põhja-Tallinna JK Volta
2019-05-11,Nõmme Kalju FC U21,0:0,Keila JK
2019-05-12,Viimsi JK,1:0,Võru FC Helios
2019-05-12,Paide Linnameeskond U21,1:1,Pärnu Jalgpalliklubi
2019-05-13,JK Tabasalu,2:3,FC Nõmme United
2019-05-18,FC Nõmme United,1:1,Pärnu Jalgpalliklubi
2019-05-18,Põhja-Tallinna JK Volta,2:1,Nõmme Kalju FC U21
2019-05-18,Keila JK,0:2,Võru FC Helios
2019-05-19,Viimsi JK,2:1,JK Tabasalu
2019-05-19,Vändra JK Vaprus,3:3,Paide Linnameeskond U21
2019-05-23,Nõmme Kalju FC U21,1:0,Vändra JK Vaprus
2019-05-24,Pärnu Jalgpalliklubi,2:2,JK Tabasalu
2019-05-24,Võru FC Helios,1:3,FC Nõmme United
2019-05-24,Keila JK,2:1,Põhja-Tallinna JK Volta
2019-05-25,Paide Linnameeskond U21,2:2,Viimsi JK
2019-05-30,Põhja-Tallinna JK Volta,0:1,Paide Linnameeskond U21
