Date,Home,Result,Away
2020-03-08,JK Tallinna Kalev U21,1:5,Paide Linnameeskond U21
2020-03-08,Tartu JK Welco,5:3,Viimsi JK
2020-03-08,Nõmme Kalju FC U21,2:0,JK Tabasalu
2020-03-08,Keila JK,2:1,Läänemaa JK
2020-06-10,Võru FC Helios,2:1,Rakvere JK Tarvas
2020-05-30,Viimsi JK,5:0,Rakvere JK Tarvas
2020-05-30,Nõmme Kalju FC U21,1:0,Võru FC Helios
2020-05-30,Paide Linnameeskond U21,0:1,Tartu JK Welco
2020-05-31,Läänemaa JK,1:4,JK Tabasalu
2020-05-31,Keila JK,0:4,JK Tallinna Kalev U21
2020-06-04,Tartu JK Welco,1:1,Läänemaa JK
2020-06-04,JK Tallinna Kalev U21,1:1,Võru FC Helios
2020-06-04,Viimsi JK,2:0,Paide Linnameeskond U21
2020-06-04,Rakvere JK Tarvas,0:4,Nõmme Kalju FC U21
2020-06-04,JK Tabasalu,0:3,Keila JK
2020-06-07,JK Tabasalu,2:0,Rakvere JK Tarvas
2020-06-07,Võru FC Helios,2:3,Keila JK
2020-06-08,Läänemaa JK,2:3,Paide Linnameeskond U21
2020-06-08,Nõmme Kalju FC U21,1:0,Viimsi JK
2020-06-08,JK Tallinna Kalev U21,2:1,Tartu JK Welco
2020-06-13,Tartu JK Welco,3:1,Nõmme Kalju FC U21
2020-06-13,Rakvere JK Tarvas,0:2,JK Tallinna Kalev U21
2020-06-13,Paide Linnameeskond U21,2:0,JK Tabasalu
2020-06-14,Keila JK,1:2,Viimsi JK
2020-06-14,Võru FC Helios,3:3,Läänemaa JK
2020-06-18,JK Tabasalu,1:2,Võru FC Helios
2020-06-18,Tartu JK Welco,6:1,Keila JK
2020-06-18,Viimsi JK,4:0,JK Tallinna Kalev U21
2020-06-18,Nõmme Kalju FC U21,2:4,Läänemaa JK
2020-06-18,Paide Linnameeskond U21,8:1,Rakvere JK Tarvas
2020-06-21,Võru FC Helios,5:1,Paide Linnameeskond U21
2020-06-21,Rakvere JK Tarvas,0:4,Tartu JK Welco
2020-06-21,Keila JK,0:3,Nõmme Kalju FC U21
2020-06-21,Läänemaa JK,2:1,Viimsi JK
2020-06-21,JK Tallinna Kalev U21,4:3,JK Tabasalu
2020-06-28,JK Tabasalu,1:2,Tartu JK Welco
2020-06-28,Keila JK,4:1,Rakvere JK Tarvas
2020-06-28,Viimsi JK,1:1,Võru FC Helios
2020-06-28,Nõmme Kalju FC U21,0:3,Paide Linnameeskond U21
