Date,Home,Result,Away
2008-10-01,Tallinna FC Levadia II,1:0,Paide Linnameeskond
2008-10-01,FC Kuressaare,8:0,Tallinna FC TVMK II
2008-10-01,Lasnamäe FC Ajax,4:3,Rakvere FC Flora
2008-10-01,Tartu JK Tammeka  II,1:3,Valga FC Warrior
2008-10-01,Kiviõli Tamme Auto,0:3,Tallinna FC Flora II
2008-07-02,Paide Linnameeskond,3:0,Valga FC Warrior
2008-07-02,Lasnamäe FC Ajax,1:4,Tartu JK Tammeka  II
2008-11-02,Tallinna FC Flora II,2:3,Paide Linnameeskond
2008-11-02,Tartu JK Tammeka  II,1:1,Tallinna FC Levadia II
2008-11-02,Tallinna FC TVMK II,1:8,Rakvere FC Flora
2008-11-02,FC Kuressaare,3:2,Valga FC Warrior
2008-11-02,Kiviõli Tamme Auto,1:4,Lasnamäe FC Ajax
2008-08-03,Tallinna FC Levadia II,1:1,Tartu JK Tammeka  II
2008-08-03,Rakvere FC Flora,1:1,Tallinna FC TVMK II
2008-08-03,Paide Linnameeskond,1:3,Tallinna FC Flora II
2008-08-03,Valga FC Warrior,1:1,FC Kuressaare
2008-08-03,Lasnamäe FC Ajax,1:1,Kiviõli Tamme Auto
2008-05-04,Tallinna FC Levadia II,2:1,Tallinna FC TVMK II
2008-05-04,Rakvere FC Flora,0:3,Valga FC Warrior
2008-05-04,Lasnamäe FC Ajax,1:4,Tallinna FC Flora II
2008-05-04,Tartu JK Tammeka  II,1:1,Kiviõli Tamme Auto
2008-05-04,Paide Linnameeskond,1:1,FC Kuressaare
2008-10-05,Valga FC Warrior,1:1,Kiviõli Tamme Auto
2008-10-05,Lasnamäe FC Ajax,0:0,FC Kuressaare
2008-04-06,Tallinna FC Flora II,0:1,FC Kuressaare
2008-04-06,Paide Linnameeskond,0:0,Kiviõli Tamme Auto
2008-04-06,Lasnamäe FC Ajax,1:5,Tallinna FC Levadia II
2008-04-06,Valga FC Warrior,0:1,Tallinna FC TVMK II
2008-04-06,Rakvere FC Flora,2:4,Tartu JK Tammeka  II
2008-07-06,Valga FC Warrior,0:4,Tallinna FC Levadia II
2008-07-06,Paide Linnameeskond,1:1,Lasnamäe FC Ajax
2008-07-06,Tallinna FC Flora II,6:1,Tartu JK Tammeka  II
2008-07-06,Tallinna FC TVMK II,2:4,Kiviõli Tamme Auto
2008-07-06,Rakvere FC Flora,0:2,FC Kuressaare
2008-06-08,Paide Linnameeskond,2:0,Tallinna FC TVMK II
2008-06-08,Tallinna FC Levadia II,2:3,FC Kuressaare
2008-06-08,Valga FC Warrior,0:1,Tallinna FC Flora II
