Date,Home,Result,Away
2025-07-19,FA Tartu Kalev,1:0,Paide Linnameeskond U21
2025-07-19,JK Narva Trans U21,0:2,FC Nõmme United U21
2025-07-19,Jõhvi FC Phoenix,0:2,Maardu Linnameeskond
2025-07-21,JK Tabasalu,4:0,Läänemaa JK
2025-07-02,Paide Linnameeskond U21,0:2,JK Tabasalu
2025-07-26,FC Kuressaare U21,2:3,Jõhvi FC Phoenix
2025-07-26,Läänemaa JK,0:4,Tallinna JK Legion
2025-07-26,FC Nõmme United U21,0:2,FA Tartu Kalev
2025-07-27,Maardu Linnameeskond,11:1,JK Narva Trans U21
2025-08-01,JK Tabasalu,1:0,JK Narva Trans U21
2025-08-02,Tallinna JK Legion,0:1,FA Tartu Kalev
2025-08-02,Maardu Linnameeskond,6:2,FC Kuressaare U21
2025-08-04,Paide Linnameeskond U21,6:1,Läänemaa JK
2025-08-04,Jõhvi FC Phoenix,3:2,FC Nõmme United U21
2025-08-09,FA Tartu Kalev,1:1,JK Tabasalu
2025-08-09,Läänemaa JK,0:3,Maardu Linnameeskond
2025-08-10,FC Nõmme United U21,0:3,FC Kuressaare U21
2025-08-10,Tallinna JK Legion,3:2,Paide Linnameeskond U21
2025-08-10,JK Narva Trans U21,4:2,Jõhvi FC Phoenix
2025-08-16,JK Narva Trans U21,5:1,Tallinna JK Legion
2025-08-16,Jõhvi FC Phoenix,3:1,JK Tabasalu
2025-08-17,FC Kuressaare U21,0:4,FA Tartu Kalev
2025-08-17,Maardu Linnameeskond,2:1,Paide Linnameeskond U21
2025-08-18,FC Nõmme United U21,4:2,Läänemaa JK
2025-08-21,JK Tabasalu,0:2,FC Kuressaare U21
2025-08-23,Tallinna JK Legion,2:3,Jõhvi FC Phoenix
2025-08-23,FA Tartu Kalev,0:3,Maardu Linnameeskond
2025-08-24,Läänemaa JK,1:5,JK Narva Trans U21
2025-08-24,Paide Linnameeskond U21,1:1,FC Nõmme United U21
2025-08-30,FC Kuressaare U21,1:0,Läänemaa JK
2025-08-30,Maardu Linnameeskond,6:0,Tallinna JK Legion
2025-08-30,FC Nõmme United U21,6:0,JK Tabasalu
2025-08-30,FA Tartu Kalev,0:1,Jõhvi FC Phoenix
2025-08-31,JK Narva Trans U21,1:2,Paide Linnameeskond U21
2025-09-12,JK Tabasalu,3:3,Maardu Linnameeskond
2025-09-13,FA Tartu Kalev,1:1,JK Narva Trans U21
2025-09-13,Läänemaa JK,0:3,Jõhvi FC Phoenix
2025-09-13,Paide Linnameeskond U21,1:1,FC Kuressaare U21
2025-09-14,Tallinna JK Legion,1:3,FC Nõmme United U21
2025-10-12,FC Nõmme United U21,3:1,JK Narva Trans U21
2025-09-18,Paide Linnameeskond U21,1:1,FA Tartu Kalev
2025-09-18,FC Kuressaare U21,1:6,Tallinna JK Legion
2025-09-18,Maardu Linnameeskond,7:0,Läänemaa JK
2025-09-18,JK Tabasalu,2:2,Jõhvi FC Phoenix
2025-09-21,Jõhvi FC Phoenix,6:1,Tallinna JK Legion
2025-09-21,Läänemaa JK,2:4,JK Tabasalu
2025-09-21,FA Tartu Kalev,3:1,FC Kuressaare U21
2025-09-23,FC Nõmme United U21,2:0,Paide Linnameeskond U21
2025-10-26,JK Narva Trans U21,1:2,Maardu Linnameeskond
2025-09-27,Jõhvi FC Phoenix,3:1,FA Tartu Kalev
2025-09-28,Paide Linnameeskond U21,2:2,Maardu Linnameeskond
2025-09-28,Tallinna JK Legion,0:4,JK Narva Trans U21
2025-09-28,FC Kuressaare U21,0:5,JK Tabasalu
2025-09-28,Läänemaa JK,1:5,FC Nõmme United U21
2025-10-04,Jõhvi FC Phoenix,8:1,Läänemaa JK
2025-10-04,FC Nõmme United U21,5:1,Tallinna JK Legion
2025-10-04,Maardu Linnameeskond,2:2,FA Tartu Kalev
2025-10-05,JK Tabasalu,0:0,Paide Linnameeskond U21
2025-10-05,JK Narva Trans U21,4:1,FC Kuressaare U21
2025-10-18,Tallinna JK Legion,0:3,JK Tabasalu
2025-10-18,FA Tartu Kalev,0:4,FC Nõmme United U21
2025-10-19,Paide Linnameeskond U21,1:1,JK Narva Trans U21
2025-10-19,Läänemaa JK,4:2,FC Kuressaare U21
2025-10-19,Maardu Linnameeskond,2:0,Jõhvi FC Phoenix
2025-09-07,Tallinna JK Legion,1:3,Maardu Linnameeskond
2025-10-22,FC Nõmme United U21,3:1,Jõhvi FC Phoenix
2025-10-23,JK Tabasalu,3:9,FA Tartu Kalev
2025-10-23,FC Kuressaare U21,0:3,Paide Linnameeskond U21
2025-10-23,JK Narva Trans U21,5:0,Läänemaa JK
2025-10-08,Jõhvi FC Phoenix,1:0,JK Narva Trans U21
2025-10-11,Maardu Linnameeskond,2:2,JK Tabasalu
2025-10-26,FA Tartu Kalev,10:0,Läänemaa JK
2025-10-27,Paide Linnameeskond U21,7:2,Tallinna JK Legion
2025-10-27,FC Kuressaare U21,1:4,FC Nõmme United U21
2025-11-01,JK Narva Trans U21,2:1,JK Tabasalu
2025-11-01,FA Tartu Kalev,4:3,Tallinna JK Legion
2025-11-01,Läänemaa JK,1:3,Paide Linnameeskond U21
2025-11-02,Jõhvi FC Phoenix,4:0,FC Kuressaare U21
2025-10-30,FC Nõmme United U21,3:3,Maardu Linnameeskond
2025-11-09,Paide Linnameeskond U21,2:0,Jõhvi FC Phoenix
2025-11-09,JK Tabasalu,0:1,FC Nõmme United U21
2025-11-09,Tallinna JK Legion,5:4,Läänemaa JK
2025-11-09,FC Kuressaare U21,1:2,Maardu Linnameeskond
2025-11-09,JK Narva Trans U21,6:1,FA Tartu Kalev
