Date,Home,Result,Away
2007-05-01,Pärnu JK Vaprus,0:0,FC Kuressaare
2007-09-01,Tallinna FC Flora,3:2,Tallinna FC Levadia
2007-09-01,Viljandi JK Tulevik,4:1,Pärnu JK Vaprus
2007-09-01,Lasnamäe FC Ajax,0:2,JK Maag Tammeka
2007-09-01,Tallinna FC TVMK,5:0,JK Tallinna Kalev
2007-09-01,JK Narva Trans,5:0,FC Kuressaare
2007-10-02,Lasnamäe FC Ajax,0:3,Viljandi JK Tulevik
2007-10-02,JK Tallinna Kalev,2:1,FC Kuressaare
2007-10-02,Pärnu JK Vaprus,0:1,Tallinna FC Flora
2007-10-02,Tallinna FC Levadia,1:2,JK Narva Trans
2007-10-02,JK Maag Tammeka,0:1,Tallinna FC TVMK
2007-03-03,Tallinna FC Levadia,4:0,JK Maag Tammeka
2007-04-03,Tallinna FC Flora,7:0,Pärnu JK Vaprus
2007-04-03,JK Narva Trans,0:0,Tallinna FC Levadia
2007-04-03,FC Kuressaare,1:3,JK Tallinna Kalev
2007-04-03,Viljandi JK Tulevik,2:0,Lasnamäe FC Ajax
2007-04-03,Tallinna FC TVMK,2:0,JK Maag Tammeka
2007-11-03,Tallinna FC TVMK,5:1,Viljandi JK Tulevik
2007-11-03,Pärnu JK Vaprus,1:2,JK Tallinna Kalev
2007-11-03,Tallinna FC Flora,0:0,JK Narva Trans
2007-11-03,Lasnamäe FC Ajax,1:2,FC Kuressaare
2007-11-03,JK Maag Tammeka,0:3,Tallinna FC Levadia
2007-08-04,FC Kuressaare,1:1,JK Maag Tammeka
2007-08-04,Tallinna FC TVMK,13:0,Lasnamäe FC Ajax
2007-05-05,FC Kuressaare,0:1,Tallinna FC Flora
2007-05-05,JK Narva Trans,3:1,Tallinna FC TVMK
2007-05-05,Viljandi JK Tulevik,0:1,JK Maag Tammeka
2007-05-05,Tallinna FC Levadia,4:1,Pärnu JK Vaprus
2007-05-05,JK Tallinna Kalev,5:0,Lasnamäe FC Ajax
2007-06-05,FC Kuressaare,0:1,Lasnamäe FC Ajax
2007-10-06,Viljandi JK Tulevik,1:2,JK Tallinna Kalev
2007-10-06,Tallinna FC TVMK,6:3,Pärnu JK Vaprus
2007-10-06,Tallinna FC Flora,10:0,Lasnamäe FC Ajax
2007-10-06,JK Narva Trans,2:3,JK Maag Tammeka
2007-10-06,FC Kuressaare,0:3,Tallinna FC Levadia
2007-04-07,JK Maag Tammeka,0:2,JK Narva Trans
2007-04-07,JK Tallinna Kalev,2:1,Viljandi JK Tulevik
2007-04-07,Pärnu JK Vaprus,0:2,Tallinna FC TVMK
2007-04-07,Lasnamäe FC Ajax,0:2,Tallinna FC Flora
2007-04-07,Tallinna FC Levadia,4:0,FC Kuressaare
2007-07-07,Lasnamäe FC Ajax,0:10,Tallinna FC Levadia
2007-07-07,Tallinna FC Flora,4:2,JK Tallinna Kalev
2007-07-07,Pärnu JK Vaprus,0:1,JK Maag Tammeka
2007-07-07,Viljandi JK Tulevik,0:2,JK Narva Trans
2007-08-07,Viljandi JK Tulevik,0:3,Tallinna FC Flora
2007-08-07,JK Narva Trans,2:1,Pärnu JK Vaprus
2007-06-09,FC Kuressaare,0:5,Tallinna FC Levadia
2007-06-09,Tallinna FC TVMK,9:0,Pärnu JK Vaprus
2007-06-09,JK Narva Trans,0:1,JK Maag Tammeka
2007-06-09,Viljandi JK Tulevik,2:1,JK Tallinna Kalev
2007-06-09,Tallinna FC Flora,11:0,Lasnamäe FC Ajax
2007-03-10,FC Kuressaare,0:2,Tallinna FC TVMK
2007-03-10,JK Tallinna Kalev,0:1,Tallinna FC Flora
2007-03-10,Tallinna FC Levadia,5:0,Lasnamäe FC Ajax
2007-03-10,JK Narva Trans,5:1,Viljandi JK Tulevik
2007-03-10,JK Maag Tammeka,2:0,Pärnu JK Vaprus
2007-11-10,Tallinna FC Levadia,5:0,Pärnu JK Vaprus
2007-11-10,Viljandi JK Tulevik,0:0,JK Maag Tammeka
2007-11-10,JK Tallinna Kalev,1:0,Lasnamäe FC Ajax
2007-08-11,Lasnamäe FC Ajax,0:4,Tallinna FC Flora
2007-08-11,Tallinna FC Levadia,4:0,FC Kuressaare
2007-08-11,JK Maag Tammeka,2:1,JK Narva Trans
2007-08-11,Pärnu JK Vaprus,0:5,Tallinna FC TVMK
2007-08-11,JK Tallinna Kalev,1:1,Viljandi JK Tulevik
2007-05-12,JK Maag Tammeka,1:3,Tallinna FC Levadia
2007-05-12,Tallinna FC TVMK,3:1,Viljandi JK Tulevik
2007-05-12,Lasnamäe FC Ajax,1:4,FC Kuressaare
2007-05-12,Tallinna FC Flora,0:2,JK Narva Trans
2007-05-12,Pärnu JK Vaprus,0:1,JK Tallinna Kalev
2007-11-13,JK Narva Trans,4:0,Tallinna FC TVMK
2007-11-13,FC Kuressaare,1:3,Tallinna FC Flora
2007-04-14,Viljandi JK Tulevik,1:2,Tallinna FC Flora
2007-04-14,JK Narva Trans,2:0,Pärnu JK Vaprus
2007-04-14,Tallinna FC TVMK,7:1,Lasnamäe FC Ajax
2007-04-14,FC Kuressaare,0:2,JK Maag Tammeka
2007-04-14,JK Tallinna Kalev,1:0,Tallinna FC Levadia
2007-07-14,Tallinna FC Flora,5:1,FC Kuressaare
2007-07-14,Pärnu JK Vaprus,0:2,Tallinna FC Levadia
2007-07-14,Tallinna FC TVMK,1:0,JK Narva Trans
2007-07-14,JK Maag Tammeka,3:1,Viljandi JK Tulevik
2007-07-14,Lasnamäe FC Ajax,1:1,JK Tallinna Kalev
2007-08-14,JK Tallinna Kalev,0:4,Tallinna FC Levadia
2007-09-15,FC Kuressaare,0:6,Tallinna FC TVMK
2007-09-15,Tallinna FC Levadia,7:1,Lasnamäe FC Ajax
2007-09-15,JK Narva Trans,7:0,Viljandi JK Tulevik
2007-09-15,JK Maag Tammeka,3:0,Pärnu JK Vaprus
2007-09-15,JK Tallinna Kalev,1:3,Tallinna FC Flora
2007-06-16,JK Maag Tammeka,1:3,Tallinna FC TVMK
2007-06-16,JK Tallinna Kalev,2:1,FC Kuressaare
2007-06-16,Lasnamäe FC Ajax,0:5,Viljandi JK Tulevik
2007-06-16,Tallinna FC Levadia,2:0,JK Narva Trans
2007-06-16,Pärnu JK Vaprus,0:3,Tallinna FC Flora
2007-03-17,Lasnamäe FC Ajax,0:2,JK Maag Tammeka
2007-03-17,Tallinna FC TVMK,5:0,JK Tallinna Kalev
2007-03-17,Viljandi JK Tulevik,0:1,Pärnu JK Vaprus
2007-03-17,Tallinna FC Flora,1:2,Tallinna FC Levadia
2007-03-17,JK Narva Trans,3:1,FC Kuressaare
2007-07-17,JK Tallinna Kalev,1:2,Tallinna FC TVMK
2007-08-18,Viljandi JK Tulevik,4:1,Lasnamäe FC Ajax
2007-08-18,FC Kuressaare,2:0,JK Tallinna Kalev
2007-08-18,JK Narva Trans,0:3,Tallinna FC Levadia
2007-08-18,Tallinna FC Flora,8:1,Pärnu JK Vaprus
2007-08-18,Tallinna FC TVMK,2:0,JK Maag Tammeka
2007-09-18,Tallinna FC TVMK,5:1,FC Kuressaare
2007-09-18,Pärnu JK Vaprus,0:4,JK Maag Tammeka
2007-09-18,Tallinna FC Flora,4:1,JK Tallinna Kalev
2007-09-18,Lasnamäe FC Ajax,1:2,Tallinna FC Levadia
2007-09-18,Viljandi JK Tulevik,1:4,JK Narva Trans
2007-05-19,Viljandi JK Tulevik,0:4,Tallinna FC Levadia
2007-05-19,Tallinna FC TVMK,6:0,Tallinna FC Flora
2007-05-19,JK Tallinna Kalev,0:2,JK Maag Tammeka
2007-05-19,FC Kuressaare,3:0,Pärnu JK Vaprus
2007-05-19,JK Narva Trans,2:0,Lasnamäe FC Ajax
2007-06-19,Viljandi JK Tulevik,0:1,FC Kuressaare
2007-06-19,JK Narva Trans,0:1,JK Tallinna Kalev
2007-06-19,Tallinna FC TVMK,1:1,Tallinna FC Levadia
2007-06-19,Tallinna FC Flora,3:0,JK Maag Tammeka
2007-06-19,Lasnamäe FC Ajax,0:5,Pärnu JK Vaprus
2007-10-20,Lasnamäe FC Ajax,0:2,Tallinna FC TVMK
2007-10-20,Tallinna FC Flora,5:0,Viljandi JK Tulevik
2007-10-20,JK Maag Tammeka,1:0,FC Kuressaare
2007-10-20,Pärnu JK Vaprus,1:3,JK Narva Trans
2007-10-20,Tallinna FC Levadia,8:0,JK Tallinna Kalev
2007-04-21,Lasnamäe FC Ajax,0:4,JK Narva Trans
2007-04-21,JK Maag Tammeka,1:1,JK Tallinna Kalev
2007-04-21,Tallinna FC Levadia,4:0,Viljandi JK Tulevik
2007-04-21,Tallinna FC Flora,2:2,Tallinna FC TVMK
