Date,Home,Result,Away
2005-03-06,JK Tammeka Tartu,9:0,Tallinna JK Dünamo
2005-03-06,Tallinna FC Flora,0:0,JK Merkuur Tartu
2005-03-06,Viljandi JK Tulevik,1:0,FC Kuressaare
2005-03-06,JK Narva Trans,3:1,Tallinna FC Levadia
2005-03-06,Tallinna FC TVMK,5:0,FC Valga
2005-03-13,Tallinna FC TVMK,4:2,Tallinna FC Flora
2005-03-13,FC Kuressaare,1:0,JK Tammeka Tartu
2005-03-13,Tallinna JK Dünamo,0:6,JK Narva Trans
2005-03-13,JK Merkuur Tartu,2:0,Viljandi JK Tulevik
2005-03-13,FC Valga,0:3,Tallinna FC Levadia
2005-03-16,Tallinna FC Flora,2:0,FC Valga
2005-03-16,Tallinna FC Levadia,5:0,Tallinna JK Dünamo
2005-03-16,JK Narva Trans,4:1,FC Kuressaare
2005-03-16,JK Tammeka Tartu,2:2,JK Merkuur Tartu
2005-03-16,Viljandi JK Tulevik,0:2,Tallinna FC TVMK
2005-03-20,FC Kuressaare,0:2,Tallinna FC Levadia
2005-03-20,Tallinna FC Flora,3:0,Viljandi JK Tulevik
2005-03-20,Tallinna FC TVMK,9:0,JK Tammeka Tartu
2005-03-20,FC Valga,2:1,Tallinna JK Dünamo
2005-03-20,JK Merkuur Tartu,2:3,JK Narva Trans
2005-04-03,Tallinna JK Dünamo,1:0,FC Kuressaare
2005-04-03,Viljandi JK Tulevik,0:2,FC Valga
2005-04-03,JK Tammeka Tartu,0:2,Tallinna FC Flora
2005-04-03,Tallinna FC Levadia,4:0,JK Merkuur Tartu
2005-04-03,JK Narva Trans,0:3,Tallinna FC TVMK
2005-04-10,Tallinna FC Flora,2:1,JK Narva Trans
2005-04-10,FC Valga,0:1,FC Kuressaare
2005-04-10,Tallinna FC TVMK,2:2,Tallinna FC Levadia
2005-04-10,JK Merkuur Tartu,3:1,Tallinna JK Dünamo
2005-04-10,Viljandi JK Tulevik,1:1,JK Tammeka Tartu
2005-04-17,Tallinna FC Levadia,0:2,Tallinna FC Flora
2005-04-17,Tallinna JK Dünamo,0:7,Tallinna FC TVMK
2005-04-17,JK Tammeka Tartu,3:4,FC Valga
2005-04-17,JK Narva Trans,1:2,Viljandi JK Tulevik
2005-04-17,FC Kuressaare,1:2,JK Merkuur Tartu
2005-04-24,JK Tammeka Tartu,0:3,JK Narva Trans
2005-04-24,FC Valga,1:1,JK Merkuur Tartu
2005-04-24,Viljandi JK Tulevik,2:2,Tallinna FC Levadia
2005-04-24,Tallinna FC TVMK,3:1,FC Kuressaare
2005-04-24,Tallinna FC Flora,3:1,Tallinna JK Dünamo
2005-05-01,JK Narva Trans,3:1,FC Valga
2005-05-01,Tallinna FC Levadia,5:2,JK Tammeka Tartu
2005-05-01,JK Merkuur Tartu,1:6,Tallinna FC TVMK
2005-05-01,Tallinna JK Dünamo,0:0,Viljandi JK Tulevik
2005-05-01,FC Kuressaare,1:3,Tallinna FC Flora
2005-05-08,Viljandi JK Tulevik,4:1,Tallinna JK Dünamo
2005-05-08,Tallinna FC TVMK,2:1,JK Merkuur Tartu
2005-05-08,Tallinna FC Flora,6:0,FC Kuressaare
2005-05-08,JK Tammeka Tartu,0:2,Tallinna FC Levadia
2005-05-08,FC Valga,1:2,JK Narva Trans
2005-05-15,JK Merkuur Tartu,2:1,FC Valga
2005-05-15,JK Narva Trans,5:1,JK Tammeka Tartu
2005-05-15,Tallinna JK Dünamo,0:3,Tallinna FC Flora
2005-05-15,Tallinna FC Levadia,2:0,Viljandi JK Tulevik
2005-05-15,FC Kuressaare,1:6,Tallinna FC TVMK
2005-05-22,Tallinna FC Flora,0:2,Tallinna FC Levadia
2005-05-22,Tallinna FC TVMK,5:1,Tallinna JK Dünamo
2005-05-22,Viljandi JK Tulevik,0:2,JK Narva Trans
2005-05-22,FC Valga,1:0,JK Tammeka Tartu
2005-05-22,JK Merkuur Tartu,5:0,FC Kuressaare
2005-05-29,FC Kuressaare,0:0,FC Valga
2005-05-29,Tallinna JK Dünamo,1:6,JK Merkuur Tartu
2005-05-29,Tallinna FC Levadia,2:1,Tallinna FC TVMK
2005-05-29,JK Tammeka Tartu,2:2,Viljandi JK Tulevik
2005-05-29,JK Narva Trans,2:2,Tallinna FC Flora
2005-06-12,Tallinna FC TVMK,0:0,JK Narva Trans
2005-06-12,FC Kuressaare,2:0,Tallinna JK Dünamo
2005-06-12,Tallinna FC Flora,3:0,JK Tammeka Tartu
2005-06-12,JK Merkuur Tartu,2:2,Tallinna FC Levadia
2005-06-12,FC Valga,1:2,Viljandi JK Tulevik
2005-06-01,JK Narva Trans,6:2,JK Merkuur Tartu
2005-06-19,Viljandi JK Tulevik,1:1,Tallinna FC Flora
2005-06-19,Tallinna JK Dünamo,3:6,FC Valga
2005-06-19,Tallinna FC Levadia,2:0,FC Kuressaare
2005-06-19,JK Tammeka Tartu,0:2,Tallinna FC TVMK
2005-06-22,Tallinna FC TVMK,1:1,Viljandi JK Tulevik
2005-06-22,JK Merkuur Tartu,3:0,JK Tammeka Tartu
2005-06-22,FC Kuressaare,2:5,JK Narva Trans
