Date,Home,Result,Away
2016-04-01,Tallinna FC Infonet,1:1,Tallinna FC Flora
2016-04-01,Tartu JK Tammeka,4:0,JK Sillamäe Kalev
2016-04-02,Paide Linnameeskond,4:0,Pärnu Linnameeskond
2016-04-02,JK Narva Trans,2:2,Rakvere JK Tarvas
2016-04-02,Tallinna FC Levadia,1:1,Nõmme Kalju FC
2016-03-04,Tartu JK Tammeka,2:2,JK Narva Trans
2016-04-04,JK Sillamäe Kalev,2:2,Tallinna FC Infonet
2016-04-04,Tallinna FC Flora,0:0,Tartu JK Tammeka
2016-03-05,Nõmme Kalju FC,2:0,JK Sillamäe Kalev
2016-03-05,Pärnu Linnameeskond,3:0,Rakvere JK Tarvas
2016-03-05,Paide Linnameeskond,0:2,Tallinna FC Infonet
2016-03-05,Tallinna FC Levadia,0:0,Tallinna FC Flora
2016-04-05,Pärnu Linnameeskond,0:1,Nõmme Kalju FC
2016-04-05,Tallinna FC Levadia,2:0,Rakvere JK Tarvas
2016-04-05,JK Narva Trans,2:3,Paide Linnameeskond
2016-03-08,Tallinna FC Levadia,1:0,Pärnu Linnameeskond
2016-03-08,Tartu JK Tammeka,2:0,Paide Linnameeskond
2016-03-08,Tallinna FC Flora,6:0,Rakvere JK Tarvas
2016-03-08,JK Narva Trans,3:3,JK Sillamäe Kalev
2016-04-08,Tallinna FC Flora,0:0,JK Sillamäe Kalev
2016-03-09,Tallinna FC Infonet,2:1,Nõmme Kalju FC
2016-04-09,Rakvere JK Tarvas,0:5,Paide Linnameeskond
2016-04-09,Pärnu Linnameeskond,0:1,Tartu JK Tammeka
2016-04-09,Nõmme Kalju FC,6:0,JK Narva Trans
2016-04-09,Tallinna FC Levadia,1:0,Tallinna FC Infonet
2016-03-12,Paide Linnameeskond,0:1,Tallinna FC Levadia
2016-03-12,JK Sillamäe Kalev,4:1,Pärnu Linnameeskond
2016-03-12,Nõmme Kalju FC,3:1,Rakvere JK Tarvas
2016-03-12,Tallinna FC Flora,3:0,JK Narva Trans
2016-03-12,Tallinna FC Infonet,4:0,Tartu JK Tammeka
2016-04-15,Tartu JK Tammeka,0:3,Nõmme Kalju FC
2016-04-16,JK Sillamäe Kalev,0:2,Tallinna FC Levadia
2016-04-16,JK Narva Trans,4:0,Pärnu Linnameeskond
2016-04-16,Paide Linnameeskond,1:1,Tallinna FC Flora
2016-04-16,Tallinna FC Infonet,4:1,Rakvere JK Tarvas
2016-03-18,JK Narva Trans,1:1,Tallinna FC Levadia
2016-03-19,Tartu JK Tammeka,3:1,Rakvere JK Tarvas
2016-03-19,JK Sillamäe Kalev,1:1,Paide Linnameeskond
2016-03-19,Pärnu Linnameeskond,0:2,Tallinna FC Infonet
2016-03-19,Nõmme Kalju FC,2:0,Tallinna FC Flora
2016-04-22,Pärnu Linnameeskond,0:3,Tallinna FC Flora
2016-04-22,Tallinna FC Levadia,1:1,Tartu JK Tammeka
2016-04-23,JK Narva Trans,0:3,Tallinna FC Infonet
2016-04-23,JK Sillamäe Kalev,1:0,Rakvere JK Tarvas
2016-04-23,Nõmme Kalju FC,1:0,Paide Linnameeskond
2016-07-01,Tartu JK Tammeka,0:0,JK Sillamäe Kalev
