Date,Home,Result,Away
2004-06-01,JK Tervis Pärnu,2:1,JK Tammeka Tartu
2004-04-02,Tallinna JK Legion,0:2,Tallinna FC TVMK II
2004-07-02,Lasnamäe FC Ajax,2:3,JK Tervis Pärnu
2004-07-02,Tallinna FC TVMK II,0:1,FC Levadia II Tallinn
2004-07-02,FC Kuressaare,3:1,Tallinna JK Dünamo
2004-07-02,JK Tammeka Tartu,2:2,Tallinna JK Legion
2004-10-02,FC Kuressaare,4:0,Tallinna FC TVMK II
2004-10-02,Lasnamäe FC Ajax,2:3,Tallinna JK Dünamo
2004-10-02,Tallinna JK Legion,2:2,FC Levadia II Tallinn
2004-10-02,JK Tervis Pärnu,1:3,JK Tammeka Tartu
2004-04-03,Lasnamäe FC Ajax,1:2,FC Kuressaare
2004-04-03,JK Tervis Pärnu,2:1,Tallinna JK Dünamo
2004-06-03,Tallinna JK Legion,2:0,FC Kuressaare
2004-05-04,JK Tervis Pärnu,2:0,FC Levadia II Tallinn
2004-04-05,FC Levadia II Tallinn,4:0,JK Tammeka Tartu
2004-06-05,FC Levadia II Tallinn,2:0,JK Tervis Pärnu
2004-06-05,JK Tammeka Tartu,2:0,Lasnamäe FC Ajax
2004-06-05,Tallinna JK Dünamo,4:3,Tallinna FC TVMK II
2004-08-05,Tallinna JK Dünamo,3:1,Lasnamäe FC Ajax
2004-07-06,Tallinna JK Dünamo,2:0,JK Tammeka Tartu
2004-07-06,Tallinna JK Legion,2:2,Lasnamäe FC Ajax
2004-08-06,Tallinna FC TVMK II,3:2,FC Kuressaare
2004-08-06,JK Tammeka Tartu,2:1,JK Tervis Pärnu
2004-07-07,JK Tervis Pärnu,2:1,Tallinna FC TVMK II
2004-07-07,FC Levadia II Tallinn,7:4,FC Kuressaare
2004-04-09,Tallinna FC TVMK II,6:0,JK Tervis Pärnu
2004-04-09,FC Kuressaare,1:3,FC Levadia II Tallinn
2004-05-09,Tallinna JK Legion,1:3,Tallinna JK Dünamo
2004-05-09,FC Levadia II Tallinn,3:0,Lasnamäe FC Ajax
2004-05-09,FC Kuressaare,4:0,JK Tervis Pärnu
2004-05-09,JK Tammeka Tartu,2:2,Tallinna FC TVMK II
2004-08-09,FC Levadia II Tallinn,6:0,Tallinna JK Legion
2004-04-10,Lasnamäe FC Ajax,6:0,Tallinna JK Legion
2004-09-10,Tallinna FC TVMK II,2:0,Lasnamäe FC Ajax
2004-04-11,JK Tammeka Tartu,1:1,Tallinna JK Dünamo
2004-07-11,Tallinna FC TVMK II,0:2,Tallinna JK Legion
2004-09-11,Tallinna JK Legion,2:0,JK Tervis Pärnu
2004-09-11,FC Kuressaare,1:1,JK Tammeka Tartu
2004-09-11,FC Levadia II Tallinn,2:1,Tallinna JK Dünamo
2004-06-12,FC Kuressaare,2:0,Tallinna FC TVMK II
2004-06-12,Tallinna JK Legion,1:1,FC Levadia II Tallinn
2004-06-12,Lasnamäe FC Ajax,9:1,Tallinna JK Dünamo
2004-07-12,Tallinna JK Dünamo,1:3,JK Tervis Pärnu
2004-07-12,FC Kuressaare,2:1,Lasnamäe FC Ajax
2004-07-12,JK Tammeka Tartu,1:0,FC Levadia II Tallinn
2004-05-13,Lasnamäe FC Ajax,4:1,Tallinna FC TVMK II
2004-08-13,Tallinna FC TVMK II,1:2,Tallinna JK Dünamo
2004-08-13,Lasnamäe FC Ajax,3:2,JK Tammeka Tartu
2004-08-13,FC Kuressaare,7:1,Tallinna JK Legion
2004-08-13,JK Tervis Pärnu,0:0,FC Levadia II Tallinn
2004-05-14,JK Tervis Pärnu,4:3,Tallinna JK Legion
2004-05-14,Tallinna JK Dünamo,0:2,FC Levadia II Tallinn
2004-05-15,JK Tammeka Tartu,4:0,FC Kuressaare
2004-10-15,Tallinna FC TVMK II,1:2,FC Levadia II Tallinn
2004-07-16,Lasnamäe FC Ajax,6:2,FC Kuressaare
2004-07-16,JK Tervis Pärnu,4:1,Tallinna JK Dünamo
2004-09-16,Tallinna JK Dünamo,6:0,Tallinna JK Legion
2004-10-16,JK Tammeka Tartu,7:1,Tallinna JK Legion
2004-10-16,Lasnamäe FC Ajax,4:0,JK Tervis Pärnu
2004-10-16,FC Kuressaare,2:4,Tallinna JK Dünamo
2004-07-17,FC Levadia II Tallinn,2:2,JK Tammeka Tartu
2004-09-17,JK Tervis Pärnu,10:2,FC Kuressaare
2004-09-17,Lasnamäe FC Ajax,2:3,FC Levadia II Tallinn
2004-09-17,Tallinna FC TVMK II,1:1,JK Tammeka Tartu
2004-04-18,JK Tervis Pärnu,4:0,Lasnamäe FC Ajax
2004-04-18,Tallinna JK Legion,1:3,JK Tammeka Tartu
2004-04-18,Tallinna JK Dünamo,2:1,FC Kuressaare
2004-08-20,Tallinna JK Legion,1:2,Tallinna JK Dünamo
2004-04-21,FC Levadia II Tallinn,2:1,Tallinna FC TVMK II
2004-05-21,FC Kuressaare,0:2,JK Tammeka Tartu
2004-05-21,Tallinna FC TVMK II,3:2,Lasnamäe FC Ajax
2004-08-21,FC Levadia II Tallinn,8:1,Lasnamäe FC Ajax
2004-05-22,FC Levadia II Tallinn,3:1,Tallinna JK Dünamo
2004-07-22,Lasnamäe FC Ajax,3:0,Tallinna JK Legion
2004-08-22,FC Kuressaare,1:2,JK Tervis Pärnu
2004-08-22,JK Tammeka Tartu,4:1,Tallinna FC TVMK II
2004-04-23,Tallinna JK Dünamo,2:4,Lasnamäe FC Ajax
2004-07-23,Tallinna FC TVMK II,1:3,JK Tervis Pärnu
2004-07-23,FC Kuressaare,2:6,FC Levadia II Tallinn
2004-07-23,JK Tammeka Tartu,4:0,Tallinna JK Dünamo
2004-09-23,Tallinna JK Dünamo,2:1,Tallinna FC TVMK II
2004-09-24,Tallinna JK Legion,1:4,FC Kuressaare
2004-10-24,Tallinna JK Legion,4:1,Lasnamäe FC Ajax
2004-10-24,JK Tervis Pärnu,4:1,Tallinna FC TVMK II
2004-10-24,Tallinna JK Dünamo,1:6,JK Tammeka Tartu
2004-10-24,FC Levadia II Tallinn,1:2,FC Kuressaare
2004-04-25,Tallinna FC TVMK II,1:3,FC Kuressaare
2004-04-25,JK Tammeka Tartu,5:0,JK Tervis Pärnu
2004-05-25,Tallinna FC TVMK II,1:1,JK Tammeka Tartu
2004-04-26,FC Levadia II Tallinn,4:0,Tallinna JK Legion
2004-07-26,Tallinna JK Legion,0:2,Tallinna FC TVMK II
2004-08-26,JK Tammeka Tartu,4:1,FC Kuressaare
2004-09-26,JK Tammeka Tartu,2:1,Lasnamäe FC Ajax
2004-09-26,FC Levadia II Tallinn,3:5,JK Tervis Pärnu
2004-05-27,Lasnamäe FC Ajax,2:2,FC Levadia II Tallinn
2004-08-27,Tallinna JK Dünamo,2:2,FC Levadia II Tallinn
2004-08-27,JK Tervis Pärnu,6:0,Tallinna JK Legion
2004-03-28,Tallinna JK Legion,0:2,JK Tervis Pärnu
2004-05-28,JK Tervis Pärnu,2:2,FC Kuressaare
2004-05-28,Tallinna JK Dünamo,0:2,Tallinna JK Legion
2004-08-29,Lasnamäe FC Ajax,2:1,Tallinna FC TVMK II
2004-04-30,FC Kuressaare,2:1,Tallinna JK Legion
2004-04-30,Tallinna FC TVMK II,4:1,Tallinna JK Dünamo
2004-04-30,Lasnamäe FC Ajax,3:4,JK Tammeka Tartu
2004-07-30,JK Tervis Pärnu,5:2,Lasnamäe FC Ajax
2004-07-30,Tallinna JK Legion,0:5,JK Tammeka Tartu
2004-07-30,Tallinna JK Dünamo,2:0,FC Kuressaare
2004-10-30,JK Tammeka Tartu,3:2,FC Levadia II Tallinn
2004-10-30,Tallinna FC TVMK II,5:0,Tallinna JK Legion
2004-10-30,FC Kuressaare,0:2,Lasnamäe FC Ajax
2004-10-30,Tallinna JK Dünamo,0:3,JK Tervis Pärnu
2004-07-31,FC Levadia II Tallinn,2:1,Tallinna FC TVMK II
