Date,Home,Result,Away
2019-03-08,Nõmme Kalju FC,0:2,Paide Linnameeskond
2019-03-09,Tallinna FCI Levadia,5:1,JK Tallinna Kalev
2019-03-09,JK Narva Trans,0:0,FC Kuressaare
2019-03-10,Tartu JK Tammeka,2:2,Maardu Linnameeskond
2019-03-10,Tallinna FC Flora,2:0,Viljandi JK Tulevik
2019-03-16,Viljandi JK Tulevik,0:4,Tartu JK Tammeka
2019-03-16,FC Kuressaare,0:1,Tallinna FCI Levadia
2019-03-16,JK Tallinna Kalev,0:4,JK Narva Trans
2019-03-17,Paide Linnameeskond,0:1,Tallinna FC Flora
2019-03-17,Maardu Linnameeskond,0:5,Nõmme Kalju FC
2019-03-30,Tallinna FC Flora,4:1,Tartu JK Tammeka
2019-03-30,Paide Linnameeskond,2:0,JK Tallinna Kalev
2019-03-30,JK Narva Trans,0:0,Nõmme Kalju FC
2019-03-31,Viljandi JK Tulevik,1:2,FC Kuressaare
2019-03-31,Tallinna FCI Levadia,8:0,Maardu Linnameeskond
2019-04-02,Tartu JK Tammeka,0:3,Paide Linnameeskond
2019-04-02,Nõmme Kalju FC,0:3,Tallinna FC Flora
2019-04-03,Maardu Linnameeskond,1:0,FC Kuressaare
2019-04-03,JK Narva Trans,1:2,Tallinna FCI Levadia
2019-04-03,JK Tallinna Kalev,0:2,Viljandi JK Tulevik
2019-04-06,Paide Linnameeskond,0:0,JK Narva Trans
2019-04-07,Viljandi JK Tulevik,2:3,Nõmme Kalju FC
2019-04-07,FC Kuressaare,2:0,JK Tallinna Kalev
2019-04-07,Tartu JK Tammeka,1:2,Tallinna FCI Levadia
2019-04-07,Tallinna FC Flora,6:0,Maardu Linnameeskond
2019-04-13,Tallinna FCI Levadia,5:2,Viljandi JK Tulevik
2019-04-13,JK Tallinna Kalev,2:0,Maardu Linnameeskond
2019-04-13,JK Narva Trans,0:1,Tallinna FC Flora
2019-04-14,FC Kuressaare,0:1,Paide Linnameeskond
2019-04-14,Nõmme Kalju FC,2:0,Tartu JK Tammeka
2019-04-20,Nõmme Kalju FC,2:2,JK Tallinna Kalev
2019-04-20,Maardu Linnameeskond,0:0,Viljandi JK Tulevik
2019-04-20,Tartu JK Tammeka,1:2,JK Narva Trans
2019-04-21,Paide Linnameeskond,0:2,Tallinna FCI Levadia
2019-04-21,Tallinna FC Flora,5:0,FC Kuressaare
2019-04-27,JK Tallinna Kalev,0:4,Tartu JK Tammeka
2019-04-27,FC Kuressaare,0:0,Nõmme Kalju FC
2019-04-27,Maardu Linnameeskond,0:1,JK Narva Trans
2019-04-28,Viljandi JK Tulevik,2:2,Paide Linnameeskond
2019-04-28,Tallinna FCI Levadia,1:2,Tallinna FC Flora
2019-05-03,Tartu JK Tammeka,1:1,FC Kuressaare
2019-05-03,Tallinna FC Flora,6:0,JK Tallinna Kalev
2019-05-04,Paide Linnameeskond,2:0,Maardu Linnameeskond
2019-05-04,JK Narva Trans,0:1,Viljandi JK Tulevik
2019-05-05,Nõmme Kalju FC,2:1,Tallinna FCI Levadia
2019-05-10,FC Kuressaare,1:0,Maardu Linnameeskond
2019-05-11,Tallinna FCI Levadia,7:0,Tartu JK Tammeka
2019-05-11,JK Narva Trans,0:1,Paide Linnameeskond
