Date,Home,Result,Away
2015-05-01,Tallinna FC Levadia II,5:0,Tartu FC Santos
2015-05-01,Tallinna FC Infonet II,2:1,Vändra JK Vaprus
2015-04-02,Tallinna FC Levadia II,2:2,Tallinna FC Infonet II
2015-05-03,Nõmme Kalju FC II,0:1,Tallinna FC Flora II
2015-04-04,Rakvere JK Tarvas,5:1,Kiviõli FC Irbis
2015-04-05,JK Tallinna Kalev,2:2,Tartu FC Santos
2015-04-05,Tallinna FC Flora II,1:0,FC Kuressaare
2015-04-05,Nõmme Kalju FC II,1:2,Vändra JK Vaprus
2015-03-08,Rakvere JK Tarvas,0:2,Vändra JK Vaprus
2015-03-08,Tallinna FC Infonet II,1:2,Tartu FC Santos
2015-03-08,Nõmme Kalju FC II,4:0,Kiviõli FC Irbis
2015-03-08,Tallinna FC Levadia II,3:3,FC Kuressaare
2015-03-08,JK Tallinna Kalev,1:0,Tallinna FC Flora II
2015-04-11,Rakvere JK Tarvas,4:3,Tallinna FC Levadia II
2015-04-12,Nõmme Kalju FC II,0:3,Tallinna FC Infonet II
2015-04-12,Tallinna FC Flora II,1:1,Kiviõli FC Irbis
2015-04-12,JK Tallinna Kalev,3:0,FC Kuressaare
2015-06-13,Tartu FC Santos,1:0,Vändra JK Vaprus
2015-03-14,Tallinna FC Infonet II,3:1,FC Kuressaare
2015-03-15,JK Tallinna Kalev,1:3,Nõmme Kalju FC II
2015-03-15,Rakvere JK Tarvas,1:1,Tartu FC Santos
2015-03-15,Tallinna FC Levadia II,6:1,Kiviõli FC Irbis
2015-03-15,Tallinna FC Flora II,3:0,Vändra JK Vaprus
2015-04-15,Vändra JK Vaprus,5:0,FC Kuressaare
2015-04-15,Tallinna FC Infonet II,1:1,Rakvere JK Tarvas
2015-04-15,Nõmme Kalju FC II,0:4,Tartu FC Santos
2015-04-15,Tallinna FC Levadia II,0:0,Tallinna FC Flora II
2015-04-15,JK Tallinna Kalev,3:0,Kiviõli FC Irbis
2015-04-19,Nõmme Kalju FC II,1:0,Rakvere JK Tarvas
2015-04-19,Tallinna FC Flora II,3:1,Tallinna FC Infonet II
