Date,Home,Result,Away
2013-03-02,Tallinna FC Levadia,3:1,Tartu JK Tammeka
2013-03-02,Tallinna FC Flora,4:1,JK Tallinna Kalev
2013-03-02,JK Narva Trans,1:2,JK Sillamäe Kalev
2013-03-02,Paide Linnameeskond,2:3,Nõmme JK Kalju
2013-03-02,Tallinna FC Infonet,0:0,FC Kuressaare
2013-07-02,FC Kuressaare,0:0,Tartu JK Tammeka
2013-05-03,JK Narva Trans,1:1,Tallinna FC Infonet
2013-05-03,Tallinna FC Levadia,2:1,FC Kuressaare
2013-05-04,JK Sillamäe Kalev,2:1,Tallinna FC Flora
2013-05-04,JK Tallinna Kalev,1:0,Paide Linnameeskond
2013-04-06,Tallinna FC Levadia,0:0,JK Sillamäe Kalev
2013-04-06,Tallinna FC Flora,1:0,Nõmme JK Kalju
2013-04-06,JK Narva Trans,1:1,JK Tallinna Kalev
2013-04-06,Paide Linnameeskond,4:0,Tallinna FC Infonet
2013-05-06,Nõmme JK Kalju,2:0,Tartu JK Tammeka
2013-06-08,Tartu JK Tammeka,3:0,JK Tallinna Kalev
2013-03-09,Nõmme JK Kalju,2:1,FC Kuressaare
2013-03-09,JK Sillamäe Kalev,3:0,Tallinna FC Infonet
2013-03-09,Paide Linnameeskond,0:6,Tallinna FC Flora
2013-03-09,JK Tallinna Kalev,0:1,Tallinna FC Levadia
2013-03-09,JK Narva Trans,1:2,Tartu JK Tammeka
2013-04-13,Tallinna FC Flora,0:3,Tallinna FC Levadia
2013-04-13,JK Sillamäe Kalev,4:0,FC Kuressaare
2013-04-13,Tallinna FC Infonet,2:0,JK Tallinna Kalev
2013-04-13,Nõmme JK Kalju,4:0,JK Narva Trans
2013-03-16,Tallinna FC Levadia,3:0,JK Narva Trans
2013-03-16,Tallinna FC Flora,1:1,Tallinna FC Infonet
2013-03-16,JK Sillamäe Kalev,1:1,Nõmme JK Kalju
2013-07-16,FC Kuressaare,0:1,Paide Linnameeskond
2013-04-20,Tallinna FC Levadia,2:1,Tallinna FC Infonet
2013-04-20,JK Narva Trans,0:1,Paide Linnameeskond
2013-04-20,FC Kuressaare,2:4,Tallinna FC Flora
2013-04-20,JK Tallinna Kalev,1:3,Nõmme JK Kalju
2013-10-22,Tartu JK Tammeka,0:2,JK Sillamäe Kalev
2013-07-23,Tartu JK Tammeka,0:1,Paide Linnameeskond
2013-04-26,Tallinna FC Flora,2:0,Tartu JK Tammeka
2013-04-27,JK Sillamäe Kalev,0:0,JK Tallinna Kalev
2013-04-27,Paide Linnameeskond,3:4,Tallinna FC Levadia
2013-04-27,Tallinna FC Infonet,0:3,Nõmme JK Kalju
2013-04-27,FC Kuressaare,2:0,JK Narva Trans
2013-03-30,Nõmme JK Kalju,1:0,Tallinna FC Levadia
2013-03-30,JK Narva Trans,0:3,Tallinna FC Flora
2013-03-30,Paide Linnameeskond,2:1,JK Sillamäe Kalev
2013-03-30,Tallinna FC Infonet,0:0,Tartu JK Tammeka
2013-03-30,JK Tallinna Kalev,1:0,FC Kuressaare
2013-06-01,Tallinna FC Infonet,1:2,Paide Linnameeskond
2013-07-06,JK Narva Trans,0:1,Tartu JK Tammeka
2013-07-06,FC Kuressaare,0:1,Nõmme JK Kalju
2013-08-06,Tartu JK Tammeka,2:1,Tallinna FC Levadia
2013-07-08,Tallinna FC Flora,1:0,Paide Linnameeskond
2013-05-10,Paide Linnameeskond,2:1,JK Tallinna Kalev
2013-05-10,Tallinna FC Infonet,1:0,JK Narva Trans
2013-05-10,FC Kuressaare,0:1,Tallinna FC Levadia
2013-05-10,Tartu JK Tammeka,0:3,Nõmme JK Kalju
2013-05-11,Tallinna FC Flora,3:0,JK Sillamäe Kalev
2013-07-12,FC Kuressaare,1:1,Tallinna FC Infonet
2013-07-13,Nõmme JK Kalju,1:0,Paide Linnameeskond
2013-05-14,Nõmme JK Kalju,2:0,Tallinna FC Infonet
2013-05-14,JK Narva Trans,2:0,FC Kuressaare
2013-05-14,JK Tallinna Kalev,1:0,JK Sillamäe Kalev
2013-05-14,Tartu JK Tammeka,1:4,Tallinna FC Flora
2013-06-14,Tartu JK Tammeka,0:3,Tallinna FC Infonet
2013-06-14,Tallinna FC Flora,1:0,JK Narva Trans
2013-06-14,JK Sillamäe Kalev,3:0,Paide Linnameeskond
2013-06-14,FC Kuressaare,1:3,JK Tallinna Kalev
2013-05-15,Tallinna FC Levadia,1:0,Paide Linnameeskond
2013-06-15,Tallinna FC Levadia,1:0,Nõmme JK Kalju
2013-07-15,JK Sillamäe Kalev,3:2,JK Narva Trans
2013-07-15,JK Tallinna Kalev,2:4,Tallinna FC Flora
2013-06-17,Tallinna FC Infonet,0:2,Tallinna FC Flora
2013-06-18,Nõmme JK Kalju,0:0,JK Sillamäe Kalev
2013-06-18,JK Narva Trans,1:0,Tallinna FC Levadia
2013-06-18,Paide Linnameeskond,3:0,FC Kuressaare
2013-06-18,JK Tallinna Kalev,0:2,Tartu JK Tammeka
2013-05-20,Tallinna FC Infonet,0:1,Tallinna FC Levadia
2013-05-21,Paide Linnameeskond,0:1,JK Narva Trans
2013-05-21,Nõmme JK Kalju,2:0,JK Tallinna Kalev
2013-05-21,Tallinna FC Flora,6:0,FC Kuressaare
2013-05-21,JK Sillamäe Kalev,1:1,Tartu JK Tammeka
2013-05-24,Tallinna FC Levadia,1:0,Tallinna FC Flora
2013-05-24,Paide Linnameeskond,6:2,Tartu JK Tammeka
2013-05-24,FC Kuressaare,1:4,JK Sillamäe Kalev
2013-05-25,JK Narva Trans,2:0,Nõmme JK Kalju
2013-05-25,JK Tallinna Kalev,1:4,Tallinna FC Infonet
2013-05-30,JK Tallinna Kalev,1:2,JK Narva Trans
2013-05-30,Tartu JK Tammeka,3:1,FC Kuressaare
2013-08-30,Tallinna FC Levadia,1:0,JK Tallinna Kalev
2013-05-31,Nõmme JK Kalju,4:3,Tallinna FC Flora
2013-05-31,JK Sillamäe Kalev,2:0,Tallinna FC Levadia
2013-08-02,Tallinna FC Levadia,3:0,Tallinna FC Infonet
2013-08-02,JK Narva Trans,2:0,Paide Linnameeskond
2013-08-02,FC Kuressaare,0:1,Tallinna FC Flora
2013-09-02,Nõmme JK Kalju,4:0,FC Kuressaare
2013-08-03,JK Tallinna Kalev,1:1,Nõmme JK Kalju
2013-08-03,Tartu JK Tammeka,0:3,JK Sillamäe Kalev
2013-08-09,Tallinna FC Flora,1:2,Tallinna FC Levadia
2013-08-09,JK Sillamäe Kalev,2:0,FC Kuressaare
2013-08-09,Tartu JK Tammeka,0:0,Paide Linnameeskond
2013-08-10,Tallinna FC Infonet,0:1,JK Tallinna Kalev
2013-08-10,Nõmme JK Kalju,3:1,JK Narva Trans
2013-09-10,JK Tallinna Kalev,3:1,FC Kuressaare
2013-09-13,Tallinna FC Flora,5:0,JK Tallinna Kalev
2013-09-14,Tallinna FC Levadia,2:0,Tartu JK Tammeka
2013-09-14,JK Narva Trans,0:2,JK Sillamäe Kalev
2013-09-14,Paide Linnameeskond,0:4,Nõmme JK Kalju
2013-09-14,Tallinna FC Infonet,1:1,FC Kuressaare
2013-08-17,Tallinna FC Levadia,1:0,JK Sillamäe Kalev
2013-08-17,Tallinna FC Flora,0:3,Nõmme JK Kalju
2013-08-17,JK Narva Trans,3:1,JK Tallinna Kalev
2013-08-17,Paide Linnameeskond,2:0,Tallinna FC Infonet
2013-08-17,FC Kuressaare,0:0,Tartu JK Tammeka
2013-07-19,Tallinna FC Levadia,2:1,FC Kuressaare
2013-07-19,JK Narva Trans,1:2,Tallinna FC Infonet
2013-07-20,Nõmme JK Kalju,3:0,Tartu JK Tammeka
2013-07-20,JK Sillamäe Kalev,2:1,Tallinna FC Flora
2013-07-20,JK Tallinna Kalev,1:2,Paide Linnameeskond
2013-08-20,JK Tallinna Kalev,1:4,Tallinna FC Levadia
2013-08-20,JK Narva Trans,1:4,Tallinna FC Flora
2013-08-20,Paide Linnameeskond,0:3,JK Sillamäe Kalev
2013-08-20,Tallinna FC Infonet,3:1,Tartu JK Tammeka
2013-08-23,Tartu JK Tammeka,0:1,JK Tallinna Kalev
2013-08-23,Tallinna FC Flora,2:3,Tallinna FC Infonet
2013-08-24,FC Kuressaare,1:2,Paide Linnameeskond
2013-08-24,Tallinna FC Levadia,2:1,JK Narva Trans
2013-09-24,Nõmme JK Kalju,2:1,Tallinna FC Levadia
2013-07-26,Tallinna FC Flora,2:2,Tartu JK Tammeka
