Date,Home,Result,Away
2017-04-01,JK Tallinna Kalev,4:1,Tartu FC Santos
2017-05-01,Maardu Linnameeskond,5:1,Tartu JK Welco
2017-05-01,FCI Tallinn U21,2:0,FC Elva
2017-05-01,Tallinna FC Flora U21,2:2,FC Kuressaare
2017-03-02,FC Kuressaare,1:2,Rakvere JK Tarvas
2017-03-02,Tallinna FC Flora U21,3:0,JK Tallinna Kalev
2017-04-02,FCI Tallinn U21,0:5,Tallinna FC Flora U21
2017-03-04,Tartu FC Santos,1:2,FCI Tallinn U21
2017-03-05,Maardu Linnameeskond,2:3,Tallinna FC Levadia U21
2017-03-05,Tartu JK Welco,1:0,FC Elva
2017-04-06,Tallinna FC Flora U21,6:2,FC Elva
2017-04-09,Tartu FC Santos,3:4,Maardu Linnameeskond
2017-04-13,FCI Tallinn U21,2:0,Tallinna FC Levadia U21
2017-04-14,Rakvere JK Tarvas,1:1,JK Tallinna Kalev
2017-03-16,JK Tallinna Kalev,2:0,FC Elva
2017-04-16,Tartu JK Welco,0:3,Tallinna FC Flora U21
2017-03-19,Tartu FC Santos,5:0,Tallinna FC Levadia U21
2017-04-19,Tallinna FC Flora U21,3:0,Tartu FC Santos
2017-04-20,JK Tallinna Kalev,3:0,FCI Tallinn U21
2017-04-23,Rakvere JK Tarvas,3:4,Maardu Linnameeskond
2017-04-26,Tartu JK Welco,1:5,JK Tallinna Kalev
2017-04-26,Maardu Linnameeskond,1:1,FCI Tallinn U21
2017-04-30,Tartu FC Santos,2:0,Rakvere JK Tarvas
2017-05-06,Tallinna FC Levadia U21,3:4,JK Tallinna Kalev
2017-03-09,Tartu FC Santos,0:0,Tartu JK Welco
2017-03-11,Rakvere JK Tarvas,0:6,Tallinna FC Flora U21
2017-03-11,JK Tallinna Kalev,0:1,Maardu Linnameeskond
2017-05-11,Tallinna FC Flora U21,0:2,Tallinna FC Levadia U21
2017-03-12,FC Kuressaare,5:0,FCI Tallinn U21
2017-03-12,Tallinna FC Levadia U21,2:1,FC Elva
2017-05-13,FC Elva,0:4,Rakvere JK Tarvas
2017-05-13,JK Tallinna Kalev,3:0,Tartu JK Welco
2017-05-14,FCI Tallinn U21,1:2,Maardu Linnameeskond
2017-03-18,Tartu JK Welco,1:3,FC Kuressaare
2017-03-19,Tallinna FC Flora U21,1:1,Maardu Linnameeskond
