Date,Home,Result,Away
1997-08-02,FC Pärnu Levadia,2:0,JK Sillamäe Kalev
1997-08-02,Tallinna JK Dünamo,0:0,JK Merkuur Tartu
1997-08-02,Dokker,5:2,Tallinna JK Legion
1997-09-03,Dokker,2:4,JK Vall
1997-08-04,JK Vall,3:0,PJK
1997-10-04,JK Vall,8:2,JK Sillamäe Kalev
1997-10-05,PJK,0:3,JK Merkuur Tartu
1997-10-05,Dokker,0:2,FC Pärnu Levadia
1997-10-06,Tallinna JK Dünamo,7:0,Tallinna JK Legion
1997-08-07,Tallinna JK Dünamo,0:2,JK Vall
1997-09-07,PJK,0:1,Dokker
1997-09-07,Tallinna JK Legion,0:3,JK Merkuur Tartu
1997-09-07,JK Vall,3:1,FC Pärnu Levadia
1997-09-07,Tallinna JK Dünamo,3:2,JK Sillamäe Kalev
1997-08-10,Tallinna JK Legion,0:2,PJK
1997-08-10,JK Sillamäe Kalev,1:4,Dokker
1997-08-10,JK Merkuur Tartu,1:4,FC Pärnu Levadia
1997-09-13,Tallinna JK Legion,1:0,Dokker
1997-09-14,JK Sillamäe Kalev,0:3,FC Pärnu Levadia
1997-09-14,JK Merkuur Tartu,5:0,Tallinna JK Dünamo
1997-08-17,JK Vall,6:1,Tallinna JK Legion
1997-08-17,Tallinna JK Dünamo,1:2,FC Pärnu Levadia
1997-08-17,Dokker,3:1,JK Merkuur Tartu
1997-10-19,FC Pärnu Levadia,4:2,PJK
1997-10-19,Dokker,4:5,Tallinna JK Dünamo
1997-10-19,JK Merkuur Tartu,2:1,JK Vall
1997-10-19,JK Sillamäe Kalev,4:2,Tallinna JK Legion
1997-07-20,JK Sillamäe Kalev,2:1,JK Merkuur Tartu
1997-07-20,Tallinna JK Legion,2:3,FC Pärnu Levadia
1997-07-20,PJK,1:1,Tallinna JK Dünamo
1997-07-20,JK Vall,3:1,Dokker
1997-09-21,PJK,1:2,Tallinna JK Legion
1997-09-21,Dokker,3:1,JK Sillamäe Kalev
1997-09-21,FC Pärnu Levadia,6:0,JK Merkuur Tartu
1997-09-21,JK Vall,4:1,Tallinna JK Dünamo
1997-08-23,JK Sillamäe Kalev,1:1,JK Vall
1997-08-24,JK Merkuur Tartu,0:0,PJK
1997-08-24,FC Pärnu Levadia,2:3,Dokker
1997-08-24,Tallinna JK Legion,1:5,Tallinna JK Dünamo
1997-07-26,FC Pärnu Levadia,2:3,JK Vall
1997-07-27,Dokker,2:2,PJK
1997-07-27,JK Sillamäe Kalev,2:2,Tallinna JK Dünamo
1997-07-27,JK Merkuur Tartu,2:1,Tallinna JK Legion
1997-08-27,Tallinna JK Legion,0:2,JK Sillamäe Kalev
1997-08-27,Tallinna JK Dünamo,1:1,Dokker
1997-08-27,PJK,1:2,FC Pärnu Levadia
1997-08-27,JK Vall,1:0,JK Merkuur Tartu
1997-09-27,Tallinna JK Legion,0:4,JK Vall
1997-09-28,JK Merkuur Tartu,1:1,Dokker
1997-09-28,JK Sillamäe Kalev,2:0,PJK
1997-09-28,FC Pärnu Levadia,2:5,Tallinna JK Dünamo
1997-08-31,FC Pärnu Levadia,8:0,Tallinna JK Legion
1997-08-31,Tallinna JK Dünamo,2:5,PJK
1997-08-31,JK Merkuur Tartu,4:2,JK Sillamäe Kalev
