Date,Home,Result,Away
2022-03-03,FC Tallinn,5:2,Tallinna JK Legion U21
2022-03-03,JK Tallinna Kalev U21,2:0,Nõmme Kalju FC U21
2022-03-03,Läänemaa JK,3:2,Raplamaa JK
2022-03-04,FA Tartu Kalev,1:1,Tartu JK Welco
2022-04-06,Tartu JK Tammeka U21,1:2,JK Tabasalu
2022-03-06,FC Tallinn,1:3,Tartu JK Tammeka U21
2022-03-06,JK Tabasalu,1:1,Raplamaa JK
2022-03-06,Tallinna JK Legion U21,1:2,Läänemaa JK
2022-03-07,Tartu JK Welco,2:1,Nõmme Kalju FC U21
2022-03-07,JK Tallinna Kalev U21,2:1,FA Tartu Kalev
2022-03-12,Raplamaa JK,2:2,Tartu JK Welco
2022-03-13,FA Tartu Kalev,0:3,FC Tallinn
2022-03-13,Läänemaa JK,0:2,JK Tallinna Kalev U21
2022-03-13,Tartu JK Tammeka U21,3:1,Tallinna JK Legion U21
2022-03-14,Nõmme Kalju FC U21,2:1,JK Tabasalu
2022-03-19,Raplamaa JK,0:4,FC Tallinn
2022-03-19,Tartu JK Welco,2:0,Tartu JK Tammeka U21
2022-03-19,JK Tabasalu,5:2,FA Tartu Kalev
2022-03-20,Nõmme Kalju FC U21,5:1,Läänemaa JK
2022-03-21,Tallinna JK Legion U21,0:2,JK Tallinna Kalev U21
2022-04-03,FA Tartu Kalev,2:1,Nõmme Kalju FC U21
2022-04-03,FC Tallinn,2:0,Läänemaa JK
2022-04-03,JK Tallinna Kalev U21,1:2,Tartu JK Welco
2022-04-03,Tallinna JK Legion U21,1:6,JK Tabasalu
2022-04-03,Tartu JK Tammeka U21,2:1,Raplamaa JK
2022-04-09,JK Tabasalu,0:0,FC Tallinn
2022-04-09,Läänemaa JK,2:2,FA Tartu Kalev
2022-04-10,Tartu JK Welco,5:1,Tallinna JK Legion U21
2022-04-11,JK Tallinna Kalev U21,4:0,Raplamaa JK
2022-04-11,Nõmme Kalju FC U21,0:1,Tartu JK Tammeka U21
2022-04-14,Läänemaa JK,1:3,JK Tabasalu
2022-04-14,Raplamaa JK,3:5,FA Tartu Kalev
2022-04-14,Tallinna JK Legion U21,1:0,Nõmme Kalju FC U21
2022-04-14,Tartu JK Tammeka U21,3:1,JK Tallinna Kalev U21
2022-04-14,FC Tallinn,4:1,Tartu JK Welco
