Date,Home,Result,Away
2018-06-09,Vändra JK Vaprus,0:6,Tallinna JK Legion
2018-06-09,Lasnamäe FC Ajax,1:1,Võru FC Helios
2018-06-10,Kohtla-Järve JK Järve,4:1,Paide Linnameeskond U21
2018-03-04,Tallinna JK Legion,5:1,Tallinna FC Flora U19
2018-03-04,Tartu JK Tammeka U21,3:1,Vändra JK Vaprus
2018-03-04,Võru FC Helios,2:0,Pärnu Jalgpalliklubi
2018-03-04,Lasnamäe FC Ajax,2:3,Paide Linnameeskond U21
2018-03-05,FC Nõmme United,6:0,Kohtla-Järve JK Järve
2018-08-29,Paide Linnameeskond U21,2:0,Lasnamäe FC Ajax
2018-03-10,Tallinna JK Legion,5:0,FC Nõmme United
2018-03-11,Tartu JK Tammeka U21,1:0,Kohtla-Järve JK Järve
2018-03-11,Tallinna FC Flora U19,3:2,Lasnamäe FC Ajax
2018-03-11,Vändra JK Vaprus,2:2,Võru FC Helios
2018-03-11,Pärnu Jalgpalliklubi,2:1,Paide Linnameeskond U21
2018-03-17,Paide Linnameeskond U21,0:2,Vändra JK Vaprus
2018-03-17,Tartu JK Tammeka U21,4:0,Võru FC Helios
2018-03-17,Pärnu Jalgpalliklubi,5:0,Tallinna FC Flora U19
2018-03-18,Kohtla-Järve JK Järve,0:1,Tallinna JK Legion
2018-03-18,Lasnamäe FC Ajax,3:5,FC Nõmme United
2018-04-01,Tallinna FC Flora U19,1:6,Tartu JK Tammeka U21
2018-05-16,FC Nõmme United,1:1,Paide Linnameeskond U21
2018-03-31,Vändra JK Vaprus,2:1,Pärnu Jalgpalliklubi
2018-03-31,Tallinna JK Legion,4:0,Lasnamäe FC Ajax
2018-03-31,Kohtla-Järve JK Järve,3:0,Võru FC Helios
2018-04-03,Tallinna JK Legion,3:0,Võru FC Helios
2018-04-03,Lasnamäe FC Ajax,0:4,Kohtla-Järve JK Järve
2018-04-03,Tallinna FC Flora U19,0:1,Vändra JK Vaprus
2018-04-05,FC Nõmme United,2:1,Pärnu Jalgpalliklubi
2018-04-05,Tartu JK Tammeka U21,0:0,Paide Linnameeskond U21
2018-04-08,Kohtla-Järve JK Järve,1:0,Tallinna FC Flora U19
2018-04-08,Paide Linnameeskond U21,0:2,Võru FC Helios
2018-04-08,Tartu JK Tammeka U21,12:0,Lasnamäe FC Ajax
2018-04-08,Vändra JK Vaprus,1:6,FC Nõmme United
2018-04-08,Pärnu Jalgpalliklubi,1:3,Tallinna JK Legion
2018-04-14,Tallinna JK Legion,3:1,Paide Linnameeskond U21
2018-04-14,Pärnu Jalgpalliklubi,1:1,Kohtla-Järve JK Järve
2018-04-14,Tallinna FC Flora U19,1:2,Võru FC Helios
2018-04-15,FC Nõmme United,1:2,Tartu JK Tammeka U21
2018-04-15,Lasnamäe FC Ajax,5:2,Vändra JK Vaprus
2018-04-20,Paide Linnameeskond U21,1:1,Tallinna FC Flora U19
2018-04-21,FC Nõmme United,1:1,Võru FC Helios
2018-04-21,Tartu JK Tammeka U21,1:2,Tallinna JK Legion
2018-04-22,Vändra JK Vaprus,1:3,Kohtla-Järve JK Järve
2018-04-22,Lasnamäe FC Ajax,0:3,Pärnu Jalgpalliklubi
2018-04-28,FC Nõmme United,5:0,Tallinna FC Flora U19
2018-04-28,Võru FC Helios,0:2,Lasnamäe FC Ajax
2018-04-28,Tallinna JK Legion,2:1,Vändra JK Vaprus
2018-04-29,Kohtla-Järve JK Järve,1:1,Tartu JK Tammeka U21
2018-04-29,Paide Linnameeskond U21,0:4,Pärnu Jalgpalliklubi
2018-05-01,Tallinna FC Flora U19,2:7,Tallinna JK Legion
2018-05-03,Võru FC Helios,4:1,Tartu JK Tammeka U21
2018-05-03,Kohtla-Järve JK Järve,0:0,Lasnamäe FC Ajax
2018-05-03,Vändra JK Vaprus,2:1,Paide Linnameeskond U21
2018-05-03,Pärnu Jalgpalliklubi,3:2,FC Nõmme United
2018-05-06,FC Nõmme United,3:0,Vändra JK Vaprus
2018-05-06,Tallinna JK Legion,3:2,Pärnu Jalgpalliklubi
2018-05-07,Võru FC Helios,2:0,Paide Linnameeskond U21
2018-05-07,Lasnamäe FC Ajax,2:2,Tartu JK Tammeka U21
2018-05-07,Tallinna FC Flora U19,1:2,Kohtla-Järve JK Järve
2018-05-11,Pärnu Jalgpalliklubi,1:1,Võru FC Helios
2018-05-12,FC Nõmme United,8:0,Lasnamäe FC Ajax
2018-05-12,Tallinna JK Legion,4:0,Kohtla-Järve JK Järve
2018-05-12,Paide Linnameeskond U21,2:5,Tartu JK Tammeka U21
2018-05-12,Vändra JK Vaprus,4:1,Tallinna FC Flora U19
2018-05-18,Lasnamäe FC Ajax,0:6,Tallinna JK Legion
2018-05-19,Kohtla-Järve JK Järve,2:2,FC Nõmme United
2018-05-20,Võru FC Helios,3:2,Vändra JK Vaprus
2018-05-20,Tallinna FC Flora U19,1:1,Paide Linnameeskond U21
2018-05-20,Tartu JK Tammeka U21,1:1,Pärnu Jalgpalliklubi
2018-05-24,Tallinna JK Legion,2:1,Võru FC Helios
2018-05-24,Kohtla-Järve JK Järve,5:0,Vändra JK Vaprus
2018-05-24,Pärnu Jalgpalliklubi,3:2,Lasnamäe FC Ajax
2018-05-24,Paide Linnameeskond U21,1:2,FC Nõmme United
2018-05-25,Tartu JK Tammeka U21,5:0,Tallinna FC Flora U19
2018-05-27,FC Nõmme United,0:3,Tallinna JK Legion
2018-05-27,Lasnamäe FC Ajax,0:3,Paide Linnameeskond U21
2018-05-27,Võru FC Helios,2:4,Kohtla-Järve JK Järve
2018-05-28,Vändra JK Vaprus,2:4,Tartu JK Tammeka U21
2018-05-28,Tallinna FC Flora U19,1:4,Pärnu Jalgpalliklubi
2018-06-12,Tallinna JK Legion,2:1,Tartu JK Tammeka U21
2018-06-12,FC Nõmme United,0:0,Võru FC Helios
2018-06-13,Vändra JK Vaprus,1:2,Pärnu Jalgpalliklubi
2018-06-13,Lasnamäe FC Ajax,5:0,Tallinna FC Flora U19
2018-06-13,Paide Linnameeskond U21,1:0,Kohtla-Järve JK Järve
2018-07-08,Paide Linnameeskond U21,0:1,Tallinna JK Legion
2018-07-08,Kohtla-Järve JK Järve,0:1,Pärnu Jalgpalliklubi
2018-07-08,Vändra JK Vaprus,2:0,Lasnamäe FC Ajax
2018-07-09,Võru FC Helios,8:0,Tallinna FC Flora U19
2018-07-11,Tartu JK Tammeka U21,0:0,FC Nõmme United
2018-07-13,Tallinna JK Legion,3:0,Kohtla-Järve JK Järve
2018-07-13,Tallinna FC Flora U19,2:2,Vändra JK Vaprus
2018-07-14,FC Nõmme United,6:1,Lasnamäe FC Ajax
2018-07-14,Pärnu Jalgpalliklubi,5:4,Paide Linnameeskond U21
2018-07-15,Tartu JK Tammeka U21,3:1,Võru FC Helios
2018-07-21,Tallinna FC Flora U19,0:3,Tartu JK Tammeka U21
2018-07-21,Lasnamäe FC Ajax,0:2,Pärnu Jalgpalliklubi
2018-07-21,Kohtla-Järve JK Järve,1:0,FC Nõmme United
2018-07-21,Võru FC Helios,5:0,Paide Linnameeskond U21
2018-07-25,Vändra JK Vaprus,4:6,Tallinna JK Legion
2018-07-27,Paide Linnameeskond U21,2:6,Tartu JK Tammeka U21
2018-07-28,Pärnu Jalgpalliklubi,6:2,Võru FC Helios
2018-07-28,Tallinna JK Legion,4:0,Lasnamäe FC Ajax
2018-07-28,Kohtla-Järve JK Järve,3:1,Tallinna FC Flora U19
2018-07-28,FC Nõmme United,1:1,Vändra JK Vaprus
2018-08-03,Tartu JK Tammeka U21,0:2,Tallinna JK Legion
2018-08-04,Võru FC Helios,1:2,Kohtla-Järve JK Järve
2018-08-04,Pärnu Jalgpalliklubi,1:1,Vändra JK Vaprus
2018-08-04,Lasnamäe FC Ajax,1:3,Tallinna FC Flora U19
2018-08-05,Paide Linnameeskond U21,0:2,FC Nõmme United
2018-08-08,FC Nõmme United,2:7,Tallinna JK Legion
2018-08-11,Vändra JK Vaprus,8:1,Lasnamäe FC Ajax
2018-08-11,Kohtla-Järve JK Järve,2:0,Paide Linnameeskond U21
2018-08-12,Tartu JK Tammeka U21,2:0,Pärnu Jalgpalliklubi
2018-08-12,Tallinna FC Flora U19,1:1,Võru FC Helios
2018-08-16,FC Nõmme United,1:4,Tartu JK Tammeka U21
2018-08-17,Võru FC Helios,3:4,Vändra JK Vaprus
2018-08-20,Paide Linnameeskond U21,0:4,Tallinna JK Legion
2018-08-20,Pärnu Jalgpalliklubi,4:0,Tallinna FC Flora U19
2018-08-20,Lasnamäe FC Ajax,0:3,Kohtla-Järve JK Järve
2018-08-24,Tallinna FC Flora U19,2:0,Paide Linnameeskond U21
2018-08-25,Vändra JK Vaprus,0:7,Kohtla-Järve JK Järve
2018-08-25,Tartu JK Tammeka U21,7:0,Lasnamäe FC Ajax
2018-08-25,Võru FC Helios,0:5,Tallinna JK Legion
2018-08-26,FC Nõmme United,3:1,Pärnu Jalgpalliklubi
2018-08-28,Tallinna JK Legion,3:1,Tallinna FC Flora U19
2018-08-30,Kohtla-Järve JK Järve,1:1,Pärnu Jalgpalliklubi
2018-08-30,Võru FC Helios,2:2,FC Nõmme United
2018-08-30,Vändra JK Vaprus,4:2,Tartu JK Tammeka U21
2018-09-02,Paide Linnameeskond U21,3:4,Vändra JK Vaprus
2018-09-02,Võru FC Helios,6:2,Lasnamäe FC Ajax
2018-09-02,Pärnu Jalgpalliklubi,2:2,Tallinna JK Legion
2018-09-02,Kohtla-Järve JK Järve,0:1,Tartu JK Tammeka U21
2018-09-02,Tallinna FC Flora U19,1:5,FC Nõmme United
2018-09-15,FC Nõmme United,2:2,Kohtla-Järve JK Järve
2018-09-15,Lasnamäe FC Ajax,0:3,Tallinna JK Legion
2018-09-15,Tartu JK Tammeka U21,4:1,Tallinna FC Flora U19
2018-09-16,Pärnu Jalgpalliklubi,3:1,Vändra JK Vaprus
2018-09-16,Paide Linnameeskond U21,0:2,Võru FC Helios
2018-10-13,Pärnu Jalgpalliklubi,6:0,Lasnamäe FC Ajax
2018-09-18,Tallinna FC Flora U19,0:9,Kohtla-Järve JK Järve
2018-09-19,Tallinna JK Legion,1:0,Vändra JK Vaprus
2018-09-20,Võru FC Helios,2:0,Tartu JK Tammeka U21
2018-09-20,FC Nõmme United,6:0,Paide Linnameeskond U21
2018-09-22,Kohtla-Järve JK Järve,2:0,Tallinna JK Legion
2018-09-23,Lasnamäe FC Ajax,0:5,FC Nõmme United
2018-09-23,Vändra JK Vaprus,1:2,Võru FC Helios
2018-09-23,Tallinna FC Flora U19,1:4,Pärnu Jalgpalliklubi
