Date,Home,Result,Away
2014-06-01,Vändra JK Vaprus,0:4,Pärnu Linnameeskond
2014-06-01,Kiviõli FC Irbis,3:2,Tallinna FC Levadia II
2014-03-02,Rakvere JK Tarvas,1:1,FC Kuressaare
2014-03-02,Viljandi JK Tulevik,2:0,Pärnu Linnameeskond
2014-03-02,Tallinna FC Levadia II,2:1,Vändra JK Vaprus
2014-03-02,Tallinna FC Flora II,6:0,Tallinna JK Puuma
2014-04-06,Tallinna FC Flora II,7:1,FC Kuressaare
2014-04-06,Tallinna JK Puuma,1:1,Kiviõli FC Irbis
2014-04-06,Tallinna FC Levadia II,0:0,Rakvere JK Tarvas
2014-04-06,Nõmme Kalju FC II,4:1,Viljandi JK Tulevik
2014-03-07,Tallinna JK Puuma,1:3,FC Kuressaare
2014-05-07,Vändra JK Vaprus,0:1,Kiviõli FC Irbis
2014-03-09,Viljandi JK Tulevik,3:1,Kiviõli FC Irbis
2014-03-09,Nõmme Kalju FC II,3:1,Vändra JK Vaprus
2014-03-09,Rakvere JK Tarvas,3:7,Pärnu Linnameeskond
2014-03-09,Tallinna FC Levadia II,4:2,Tallinna FC Flora II
2014-04-11,FC Kuressaare,2:0,Kiviõli FC Irbis
2014-04-12,Tallinna JK Puuma,1:1,Tallinna FC Levadia II
2014-04-13,Pärnu Linnameeskond,3:5,Tallinna FC Flora II
2014-04-13,Viljandi JK Tulevik,0:0,Vändra JK Vaprus
2014-04-13,Rakvere JK Tarvas,0:1,Nõmme Kalju FC II
2014-03-15,Tallinna FC Flora II,4:1,Nõmme Kalju FC II
2014-03-16,Viljandi JK Tulevik,2:2,Rakvere JK Tarvas
2014-03-16,Pärnu Linnameeskond,7:1,Tallinna JK Puuma
2014-03-16,Tallinna FC Levadia II,4:0,FC Kuressaare
2014-04-18,FC Kuressaare,5:4,Pärnu Linnameeskond
2014-04-18,Vändra JK Vaprus,0:1,Rakvere JK Tarvas
2014-05-18,FC Kuressaare,1:0,Vändra JK Vaprus
2014-05-18,Kiviõli FC Irbis,1:1,Nõmme Kalju FC II
2014-03-19,Tallinna JK Puuma,1:4,Viljandi JK Tulevik
2014-04-20,Tallinna FC Flora II,1:0,Viljandi JK Tulevik
2014-04-20,Nõmme Kalju FC II,5:0,Tallinna JK Puuma
2014-03-23,Tallinna FC Levadia II,6:2,Pärnu Linnameeskond
2014-03-23,Tallinna FC Flora II,3:2,Vändra JK Vaprus
2014-03-23,Rakvere JK Tarvas,2:2,Kiviõli FC Irbis
2014-03-23,Nõmme Kalju FC II,2:0,FC Kuressaare
2014-04-25,Viljandi JK Tulevik,1:0,FC Kuressaare
2014-04-26,Kiviõli FC Irbis,1:5,Pärnu Linnameeskond
2014-04-27,Tallinna JK Puuma,1:3,Vändra JK Vaprus
2014-04-27,Tallinna FC Levadia II,2:0,Nõmme Kalju FC II
2014-04-27,Rakvere JK Tarvas,1:3,Tallinna FC Flora II
2014-03-29,Tallinna FC Flora II,1:1,Kiviõli FC Irbis
2014-03-30,Pärnu Linnameeskond,1:1,Nõmme Kalju FC II
2014-03-30,Viljandi JK Tulevik,1:1,Tallinna FC Levadia II
2014-03-30,Rakvere JK Tarvas,3:1,Tallinna JK Puuma
2014-05-01,Pärnu Linnameeskond,3:1,Kiviõli FC Irbis
2014-05-02,FC Kuressaare,2:1,Viljandi JK Tulevik
2014-05-02,Vändra JK Vaprus,6:0,Tallinna JK Puuma
2014-07-02,Tallinna FC Flora II,1:2,Tallinna FC Levadia II
2014-07-02,Vändra JK Vaprus,2:0,Nõmme Kalju FC II
2014-07-02,FC Kuressaare,3:2,Tallinna JK Puuma
2014-07-02,Pärnu Linnameeskond,5:0,Rakvere JK Tarvas
2014-05-04,Nõmme Kalju FC II,3:1,Tallinna FC Levadia II
2014-05-04,Tallinna FC Flora II,0:0,Rakvere JK Tarvas
2014-07-05,Rakvere JK Tarvas,2:2,FC Kuressaare
2014-07-06,Tallinna JK Puuma,0:5,Tallinna FC Flora II
2014-07-06,Tallinna FC Levadia II,0:2,Vändra JK Vaprus
2014-07-06,Nõmme Kalju FC II,7:1,Kiviõli FC Irbis
2014-07-07,Pärnu Linnameeskond,2:3,Viljandi JK Tulevik
2014-05-09,Pärnu Linnameeskond,1:3,FC Kuressaare
2014-05-10,Viljandi JK Tulevik,0:1,Tallinna FC Flora II
2014-05-10,Rakvere JK Tarvas,1:2,Vändra JK Vaprus
2014-05-11,Tallinna JK Puuma,1:1,Nõmme Kalju FC II
2014-05-11,Tallinna FC Levadia II,2:1,Kiviõli FC Irbis
2014-06-11,Rakvere JK Tarvas,1:1,Kiviõli FC Irbis
2014-06-11,Tallinna FC Flora II,6:1,Vändra JK Vaprus
2014-06-11,FC Kuressaare,1:2,Nõmme Kalju FC II
2014-06-11,Pärnu Linnameeskond,5:2,Tallinna FC Levadia II
2014-05-14,Kiviõli FC Irbis,4:4,FC Kuressaare
2014-05-14,Nõmme Kalju FC II,2:2,Rakvere JK Tarvas
2014-05-14,Vändra JK Vaprus,3:4,Viljandi JK Tulevik
2014-05-14,Tallinna FC Flora II,7:1,Pärnu Linnameeskond
2014-05-14,Tallinna FC Levadia II,6:0,Tallinna JK Puuma
2014-06-14,Tallinna FC Levadia II,3:3,FC Kuressaare
2014-06-15,Tallinna JK Puuma,1:3,Pärnu Linnameeskond
2014-06-15,Nõmme Kalju FC II,0:0,Tallinna FC Flora II
2014-06-15,Kiviõli FC Irbis,2:2,Vändra JK Vaprus
2014-07-15,Viljandi JK Tulevik,1:1,Kiviõli FC Irbis
2014-05-21,FC Kuressaare,1:0,Tallinna FC Flora II
2014-05-21,Pärnu Linnameeskond,3:0,Vändra JK Vaprus
2014-05-21,Viljandi JK Tulevik,2:1,Nõmme Kalju FC II
2014-05-21,Tallinna JK Puuma,1:1,Kiviõli FC Irbis
2014-05-24,Nõmme Kalju FC II,3:6,Pärnu Linnameeskond
2014-05-24,Tallinna JK Puuma,1:4,Rakvere JK Tarvas
2014-05-24,Tallinna FC Levadia II,4:1,Viljandi JK Tulevik
2014-05-25,Vändra JK Vaprus,1:0,FC Kuressaare
2014-05-25,Kiviõli FC Irbis,0:1,Tallinna FC Flora II
2014-07-30,Rakvere JK Tarvas,1:5,Tallinna FC Levadia II
2014-08-01,Vändra JK Vaprus,0:4,Pärnu Linnameeskond
2014-08-03,Nõmme Kalju FC II,0:1,Viljandi JK Tulevik
2014-08-03,Tallinna FC Flora II,2:0,FC Kuressaare
2014-08-03,Tallinna FC Levadia II,1:2,Rakvere JK Tarvas
2014-08-03,Kiviõli FC Irbis,6:5,Tallinna JK Puuma
2014-09-05,Vändra JK Vaprus,1:5,Tallinna FC Levadia II
2014-08-08,FC Kuressaare,0:2,Vändra JK Vaprus
2014-08-09,Tallinna FC Flora II,2:2,Kiviõli FC Irbis
2014-08-10,Pärnu Linnameeskond,5:1,Nõmme Kalju FC II
2014-08-10,Viljandi JK Tulevik,1:4,Tallinna FC Levadia II
2014-07-11,Kiviõli FC Irbis,4:1,Pärnu Linnameeskond
2014-07-11,Viljandi JK Tulevik,2:0,FC Kuressaare
2014-07-11,Rakvere JK Tarvas,2:1,Tallinna FC Flora II
2014-07-11,Tallinna JK Puuma,2:2,Vändra JK Vaprus
2014-07-11,Tallinna FC Levadia II,0:1,Nõmme Kalju FC II
2014-08-11,Rakvere JK Tarvas,1:2,Tallinna JK Puuma
2014-09-14,Kiviõli FC Irbis,3:0,Nõmme Kalju FC II
2014-08-16,Tallinna FC Levadia II,3:0,Pärnu Linnameeskond
2014-08-17,Nõmme Kalju FC II,7:4,FC Kuressaare
2014-08-17,Vändra JK Vaprus,0:3,Tallinna FC Flora II
2014-08-17,Tallinna JK Puuma,0:0,Viljandi JK Tulevik
2014-08-17,Kiviõli FC Irbis,3:1,Rakvere JK Tarvas
2014-07-18,Vändra JK Vaprus,4:2,Rakvere JK Tarvas
2014-07-18,FC Kuressaare,4:3,Pärnu Linnameeskond
2014-07-19,Tallinna FC Flora II,1:0,Viljandi JK Tulevik
2014-07-20,Kiviõli FC Irbis,3:3,Tallinna FC Levadia II
2014-08-20,Pärnu Linnameeskond,3:0,Tallinna JK Puuma
2014-08-20,Viljandi JK Tulevik,4:1,Rakvere JK Tarvas
2014-08-20,FC Kuressaare,2:7,Tallinna FC Levadia II
2014-08-20,Tallinna FC Flora II,6:2,Nõmme Kalju FC II
2014-08-20,Vändra JK Vaprus,2:4,Kiviõli FC Irbis
2014-07-23,Nõmme Kalju FC II,1:1,Tallinna JK Puuma
2014-08-23,Kiviõli FC Irbis,1:2,Viljandi JK Tulevik
2014-08-24,Tallinna JK Puuma,2:3,FC Kuressaare
2014-08-24,Rakvere JK Tarvas,4:2,Pärnu Linnameeskond
2014-07-25,Viljandi JK Tulevik,2:0,Vändra JK Vaprus
2014-07-26,FC Kuressaare,7:0,Kiviõli FC Irbis
2014-07-27,Pärnu Linnameeskond,4:1,Tallinna FC Flora II
2014-07-27,Rakvere JK Tarvas,2:0,Nõmme Kalju FC II
2014-07-27,Tallinna JK Puuma,2:7,Tallinna FC Levadia II
2014-08-27,Tallinna FC Flora II,1:1,Tallinna FC Levadia II
2014-08-27,Nõmme Kalju FC II,2:3,Vändra JK Vaprus
2014-08-29,FC Kuressaare,1:5,Rakvere JK Tarvas
2014-08-29,Viljandi JK Tulevik,1:0,Pärnu Linnameeskond
2014-08-31,Tallinna FC Flora II,7:0,Tallinna JK Puuma
2014-11-01,Tallinna FC Levadia II,1:2,Kiviõli FC Irbis
2014-11-02,Pärnu Linnameeskond,1:1,FC Kuressaare
2014-11-02,Viljandi JK Tulevik,1:1,Tallinna FC Flora II
2014-11-02,Rakvere JK Tarvas,0:1,Vändra JK Vaprus
2014-11-02,Tallinna JK Puuma,0:5,Nõmme Kalju FC II
2014-10-03,Tallinna FC Levadia II,1:1,Viljandi JK Tulevik
2014-10-05,Vändra JK Vaprus,0:2,FC Kuressaare
2014-10-05,Tallinna JK Puuma,0:4,Rakvere JK Tarvas
2014-11-09,Nõmme Kalju FC II,2:3,Tallinna FC Levadia II
2014-11-09,Vändra JK Vaprus,13:1,Tallinna JK Puuma
2014-11-09,Tallinna FC Flora II,2:1,Rakvere JK Tarvas
2014-11-09,FC Kuressaare,5:3,Viljandi JK Tulevik
2014-11-09,Pärnu Linnameeskond,6:0,Kiviõli FC Irbis
2014-09-12,Pärnu Linnameeskond,3:0,Viljandi JK Tulevik
2014-09-12,FC Kuressaare,1:3,Rakvere JK Tarvas
2014-09-13,Vändra JK Vaprus,1:2,Tallinna FC Levadia II
2014-09-14,Tallinna JK Puuma,1:4,Tallinna FC Flora II
2014-10-15,Kiviõli FC Irbis,0:2,Tallinna FC Flora II
2014-09-17,FC Kuressaare,3:0,Tallinna JK Puuma
2014-09-17,Pärnu Linnameeskond,2:1,Rakvere JK Tarvas
2014-09-17,Vändra JK Vaprus,0:1,Nõmme Kalju FC II
2014-09-17,Tallinna FC Levadia II,0:3,Tallinna FC Flora II
2014-09-17,Kiviõli FC Irbis,4:2,Viljandi JK Tulevik
2014-10-19,Kiviõli FC Irbis,8:1,Tallinna JK Puuma
2014-10-19,FC Kuressaare,2:3,Tallinna FC Flora II
2014-10-19,Pärnu Linnameeskond,1:1,Vändra JK Vaprus
2014-10-19,Viljandi JK Tulevik,0:1,Nõmme Kalju FC II
2014-10-19,Rakvere JK Tarvas,2:2,Tallinna FC Levadia II
2014-09-20,FC Kuressaare,1:2,Tallinna FC Levadia II
2014-09-21,Nõmme Kalju FC II,3:1,Tallinna FC Flora II
2014-09-21,Rakvere JK Tarvas,0:0,Viljandi JK Tulevik
2014-09-21,Kiviõli FC Irbis,3:1,Vändra JK Vaprus
2014-09-21,Tallinna JK Puuma,1:6,Pärnu Linnameeskond
2014-10-22,Nõmme Kalju FC II,3:2,Kiviõli FC Irbis
2014-10-25,Kiviõli FC Irbis,2:1,FC Kuressaare
2014-10-26,Nõmme Kalju FC II,2:1,Rakvere JK Tarvas
2014-10-26,Vändra JK Vaprus,2:2,Viljandi JK Tulevik
2014-10-26,Tallinna FC Flora II,7:2,Pärnu Linnameeskond
2014-10-26,Tallinna FC Levadia II,8:0,Tallinna JK Puuma
2014-09-27,Pärnu Linnameeskond,0:5,Tallinna FC Levadia II
2014-09-27,Kiviõli FC Irbis,2:3,Rakvere JK Tarvas
2014-09-28,Viljandi JK Tulevik,5:0,Tallinna JK Puuma
2014-09-28,Vändra JK Vaprus,1:4,Tallinna FC Flora II
2014-09-28,FC Kuressaare,0:1,Nõmme Kalju FC II
