Date,Home,Result,Away
2014-08-02,JK Sillamäe Kalev U21,0:1,Ida-Virumaa FC Alliance
2014-09-06,Tallinna FC Infonet II,3:0,HÜJK Emmaste
2014-08-07,HÜJK Emmaste,4:3,Tallinna JK Legion
2014-09-07,FC Elva,3:2,Maardu FC Starbunker
2014-08-09,Tallinna FC Infonet II,4:0,Tallinna FC Flora III
2014-08-09,Maardu FC Starbunker,5:1,JK Sillamäe Kalev U21
2014-08-10,Tallinna FC Ararat,2:3,FC Elva
2014-08-10,Tartu FC Santos,3:1,Ida-Virumaa FC Alliance
2014-07-11,FC Elva,0:0,Tallinna JK Legion
2014-07-12,Tallinna FC Ararat,0:3,Tallinna FC Infonet II
2014-07-12,Ida-Virumaa FC Alliance,6:0,Tallinna FC Flora III
2014-07-13,JK Sillamäe Kalev U21,0:3,HÜJK Emmaste
2014-07-13,Tartu FC Santos,4:2,Maardu FC Starbunker
2014-08-14,Tallinna FC Flora III,2:0,Maardu FC Starbunker
2014-07-17,Tallinna FC Flora III,0:5,Tartu FC Santos
2014-08-17,FC Elva,0:3,HÜJK Emmaste
2014-08-17,JK Sillamäe Kalev U21,1:2,Tartu FC Santos
2014-08-17,Tallinna JK Legion,1:5,Tallinna FC Infonet II
2014-08-17,Ida-Virumaa FC Alliance,0:2,Tallinna FC Ararat
2014-07-19,Maardu FC Starbunker,2:1,Tallinna FC Ararat
2014-07-20,Tallinna JK Legion,0:2,Ida-Virumaa FC Alliance
2014-07-20,JK Sillamäe Kalev U21,1:0,FC Elva
2014-08-20,Tallinna FC Infonet II,2:0,FC Elva
2014-08-20,Maardu FC Starbunker,2:1,Tallinna JK Legion
2014-08-20,HÜJK Emmaste,1:0,Ida-Virumaa FC Alliance
2014-08-20,Tallinna FC Ararat,1:2,Tartu FC Santos
2014-08-23,Tallinna JK Legion,6:1,Tallinna FC Flora III
2014-08-23,Ida-Virumaa FC Alliance,2:6,Tallinna FC Infonet II
2014-07-24,Tallinna FC Ararat,3:0,Tallinna FC Flora III
2014-08-24,JK Sillamäe Kalev U21,3:1,Tallinna FC Ararat
2014-08-24,Tartu FC Santos,0:1,HÜJK Emmaste
2014-07-27,HÜJK Emmaste,2:2,Maardu FC Starbunker
2014-07-27,Tartu FC Santos,7:1,Tallinna JK Legion
2014-07-27,Ida-Virumaa FC Alliance,2:1,FC Elva
2014-08-27,Tallinna FC Flora III,0:4,JK Sillamäe Kalev U21
2014-08-28,Tallinna FC Ararat,1:2,HÜJK Emmaste
2014-07-31,Tallinna JK Legion,1:3,Tallinna FC Ararat
2014-08-31,Tallinna FC Flora III,1:3,FC Elva
2014-08-31,Maardu FC Starbunker,4:1,Ida-Virumaa FC Alliance
2014-08-31,Tallinna FC Infonet II,2:1,Tartu FC Santos
2014-08-31,JK Sillamäe Kalev U21,1:1,Tallinna JK Legion
2014-11-01,Ida-Virumaa FC Alliance,5:1,Tallinna JK Legion
2014-10-02,Tallinna JK Legion,2:4,HÜJK Emmaste
2014-11-02,FC Elva,0:1,JK Sillamäe Kalev U21
2014-11-02,Tallinna FC Ararat,1:2,Maardu FC Starbunker
2014-10-04,Tallinna FC Flora III,2:3,Tallinna FC Infonet II
2014-10-05,Tartu FC Santos,5:0,Ida-Virumaa FC Alliance
2014-10-05,FC Elva,3:1,Tallinna FC Ararat
2014-10-05,JK Sillamäe Kalev U21,1:2,Maardu FC Starbunker
2014-11-09,Tallinna JK Legion,1:1,FC Elva
2014-11-09,Tallinna FC Flora III,1:4,Ida-Virumaa FC Alliance
2014-11-09,Maardu FC Starbunker,2:8,Tartu FC Santos
2014-11-09,Tallinna FC Infonet II,3:3,Tallinna FC Ararat
