Date,Home,Result,Away
2020-03-05,Tartu JK Tammeka U21,2:0,Tallinna FCI Levadia U21
2020-03-05,FC Elva,2:2,Pärnu JK Vaprus
2020-03-07,Pärnu Jalgpalliklubi,1:1,Tallinna FC Flora U21
2020-03-08,Vändra JK Vaprus,3:1,Kohtla-Järve JK Järve
2020-05-24,FC Nõmme United,5:0,Maardu Linnameeskond
2020-03-12,Tallinna FC Flora U21,2:1,Tallinna FCI Levadia U21
2020-05-30,FC Nõmme United,0:0,FC Elva
2020-05-30,Pärnu JK Vaprus,4:1,Vändra JK Vaprus
2020-05-31,Maardu Linnameeskond,5:0,Tartu JK Tammeka U21
2020-05-31,Pärnu Jalgpalliklubi,2:0,Kohtla-Järve JK Järve
2020-06-04,Maardu Linnameeskond,3:1,Vändra JK Vaprus
2020-06-04,Tallinna FCI Levadia U21,1:4,FC Nõmme United
2020-06-04,Kohtla-Järve JK Järve,0:1,Tartu JK Tammeka U21
2020-06-04,Tallinna FC Flora U21,0:1,Pärnu JK Vaprus
2020-06-04,FC Elva,4:2,Pärnu Jalgpalliklubi
2020-06-07,FC Elva,0:2,Maardu Linnameeskond
2020-06-07,Vändra JK Vaprus,3:3,FC Nõmme United
2020-06-08,Kohtla-Järve JK Järve,0:2,Tallinna FCI Levadia U21
2020-06-08,Pärnu JK Vaprus,1:1,Pärnu Jalgpalliklubi
2020-06-08,Tartu JK Tammeka U21,0:2,Tallinna FC Flora U21
2020-06-11,Maardu Linnameeskond,1:0,Tallinna FC Flora U21
2020-06-13,Pärnu JK Vaprus,7:0,Kohtla-Järve JK Järve
2020-06-13,Pärnu Jalgpalliklubi,0:2,Vändra JK Vaprus
2020-06-14,FC Nõmme United,3:1,Tartu JK Tammeka U21
2020-06-14,Tallinna FCI Levadia U21,1:1,FC Elva
2020-06-17,Kohtla-Järve JK Järve,0:1,FC Elva
2020-06-18,Tartu JK Tammeka U21,6:1,Pärnu Jalgpalliklubi
2020-06-18,Maardu Linnameeskond,2:1,Pärnu JK Vaprus
2020-06-18,Tallinna FC Flora U21,2:3,FC Nõmme United
2020-06-18,Vändra JK Vaprus,3:2,Tallinna FCI Levadia U21
2020-06-21,FC Nõmme United,0:0,Kohtla-Järve JK Järve
2020-06-21,Pärnu Jalgpalliklubi,0:1,Maardu Linnameeskond
2020-06-21,Tallinna FCI Levadia U21,2:1,Pärnu JK Vaprus
2020-06-21,Tartu JK Tammeka U21,1:0,Vändra JK Vaprus
2020-06-23,FC Elva,0:1,Tallinna FC Flora U21
2020-06-27,Pärnu JK Vaprus,3:0,Tartu JK Tammeka U21
2020-06-28,Maardu Linnameeskond,1:0,Tallinna FCI Levadia U21
2020-06-28,Pärnu Jalgpalliklubi,1:3,FC Nõmme United
2020-06-28,Tallinna FC Flora U21,0:0,Kohtla-Järve JK Järve
2020-06-28,Vändra JK Vaprus,2:3,FC Elva
2020-07-02,Tallinna FCI Levadia U21,3:1,Pärnu Jalgpalliklubi
2020-07-02,Kohtla-Järve JK Järve,0:4,Maardu Linnameeskond
2020-07-02,Tallinna FC Flora U21,1:2,Vändra JK Vaprus
2020-07-02,FC Nõmme United,2:2,Pärnu JK Vaprus
2020-07-29,FC Elva,2:1,Tartu JK Tammeka U21
2020-07-05,Pärnu Jalgpalliklubi,3:2,FC Elva
2020-07-05,Maardu Linnameeskond,3:1,Vändra JK Vaprus
2020-07-05,Tallinna FCI Levadia U21,1:0,Kohtla-Järve JK Järve
2020-07-06,Pärnu JK Vaprus,2:2,Tallinna FC Flora U21
2020-07-07,Tartu JK Tammeka U21,0:4,FC Nõmme United
2020-07-09,Vändra JK Vaprus,3:2,Pärnu Jalgpalliklubi
2020-07-10,FC Elva,4:0,Tallinna FCI Levadia U21
2020-07-10,FC Nõmme United,2:1,Tallinna FC Flora U21
2020-07-10,Tartu JK Tammeka U21,1:2,Maardu Linnameeskond
2020-07-11,Kohtla-Järve JK Järve,0:5,Pärnu JK Vaprus
2020-07-16,Tallinna FCI Levadia U21,3:1,Vändra JK Vaprus
2020-07-16,Pärnu JK Vaprus,3:2,Maardu Linnameeskond
2020-07-16,Tallinna FC Flora U21,2:0,Tartu JK Tammeka U21
2020-07-16,FC Elva,2:1,Kohtla-Järve JK Järve
2020-07-16,FC Nõmme United,4:0,Pärnu Jalgpalliklubi
2020-07-19,Maardu Linnameeskond,1:1,FC Elva
2020-07-19,Kohtla-Järve JK Järve,1:1,FC Nõmme United
2020-07-19,Pärnu Jalgpalliklubi,2:0,Tallinna FCI Levadia U21
2020-07-19,Tartu JK Tammeka U21,1:2,Pärnu JK Vaprus
2020-07-19,Vändra JK Vaprus,1:3,Tallinna FC Flora U21
2020-07-23,FC Elva,2:4,FC Nõmme United
2020-07-24,Pärnu JK Vaprus,0:0,Tallinna FCI Levadia U21
2020-07-25,Kohtla-Järve JK Järve,1:2,Pärnu Jalgpalliklubi
2020-07-25,Tallinna FC Flora U21,5:0,Maardu Linnameeskond
2020-07-25,Vändra JK Vaprus,2:0,Tartu JK Tammeka U21
2020-08-01,FC Nõmme United,1:1,Vändra JK Vaprus
2020-08-01,Maardu Linnameeskond,2:0,Kohtla-Järve JK Järve
2020-08-01,Tallinna FCI Levadia U21,1:1,Tallinna FC Flora U21
2020-08-01,Tartu JK Tammeka U21,5:1,FC Elva
2020-07-30,Pärnu Jalgpalliklubi,1:1,Pärnu JK Vaprus
2020-08-06,Pärnu JK Vaprus,1:0,FC Nõmme United
2020-08-07,Pärnu Jalgpalliklubi,3:2,Tartu JK Tammeka U21
2020-08-08,FC Elva,3:2,Vändra JK Vaprus
2020-08-08,Kohtla-Järve JK Järve,2:1,Tallinna FC Flora U21
2020-08-08,Tallinna FCI Levadia U21,2:1,Maardu Linnameeskond
2020-08-13,Tartu JK Tammeka U21,5:2,Kohtla-Järve JK Järve
2020-08-14,Maardu Linnameeskond,5:1,Pärnu Jalgpalliklubi
2020-08-15,FC Nõmme United,1:0,Tallinna FCI Levadia U21
2020-08-15,Tallinna FC Flora U21,5:1,FC Elva
2020-08-15,Vändra JK Vaprus,2:3,Pärnu JK Vaprus
2020-08-20,Kohtla-Järve JK Järve,2:3,Vändra JK Vaprus
2020-08-20,Pärnu JK Vaprus,2:1,FC Elva
2020-08-20,Tallinna FC Flora U21,0:0,Pärnu Jalgpalliklubi
2020-08-20,Maardu Linnameeskond,3:0,FC Nõmme United
2020-08-20,Tallinna FCI Levadia U21,2:3,Tartu JK Tammeka U21
2020-08-23,Vändra JK Vaprus,1:2,Maardu Linnameeskond
2020-08-23,FC Nõmme United,0:3,Pärnu JK Vaprus
2020-08-23,Pärnu Jalgpalliklubi,11:0,Kohtla-Järve JK Järve
2020-08-24,FC Elva,2:0,Tallinna FCI Levadia U21
2020-08-24,Tartu JK Tammeka U21,3:2,Tallinna FC Flora U21
2020-08-27,Pärnu Jalgpalliklubi,4:2,Vändra JK Vaprus
2020-08-28,Tallinna FC Flora U21,0:4,Maardu Linnameeskond
2020-08-29,FC Elva,4:1,FC Nõmme United
2020-08-29,Kohtla-Järve JK Järve,0:1,Tartu JK Tammeka U21
2020-09-30,Tallinna FCI Levadia U21,0:2,Pärnu JK Vaprus
2020-09-10,Maardu Linnameeskond,4:1,Pärnu Jalgpalliklubi
2020-09-12,Pärnu JK Vaprus,6:0,FC Elva
2020-09-12,Tartu JK Tammeka U21,1:1,Tallinna FCI Levadia U21
2020-09-13,Kohtla-Järve JK Järve,0:1,Tallinna FC Flora U21
2020-09-13,Vändra JK Vaprus,1:6,FC Nõmme United
2020-10-06,Tallinna FCI Levadia U21,1:1,Pärnu Jalgpalliklubi
2020-10-11,Maardu Linnameeskond,0:0,FC Elva
2020-09-16,Tallinna FC Flora U21,4:1,Vändra JK Vaprus
2020-09-17,Pärnu JK Vaprus,1:0,Kohtla-Järve JK Järve
2020-09-17,FC Nõmme United,1:2,Tartu JK Tammeka U21
2020-10-06,FC Nõmme United,6:0,Maardu Linnameeskond
2020-10-11,Kohtla-Järve JK Järve,0:6,Tallinna FCI Levadia U21
2020-10-11,Pärnu Jalgpalliklubi,2:3,Tallinna FC Flora U21
2020-09-20,FC Elva,2:0,Vändra JK Vaprus
2020-09-21,Tartu JK Tammeka U21,2:1,Pärnu JK Vaprus
2020-10-08,FC Elva,1:1,Tallinna FC Flora U21
2020-10-08,Vändra JK Vaprus,1:0,Kohtla-Järve JK Järve
2020-09-26,Tallinna FCI Levadia U21,1:0,FC Nõmme United
2020-09-26,Pärnu JK Vaprus,1:0,Maardu Linnameeskond
2020-09-26,Tartu JK Tammeka U21,1:5,Pärnu Jalgpalliklubi
2020-10-01,Pärnu Jalgpalliklubi,0:3,FC Elva
2020-10-03,Tallinna FC Flora U21,0:1,Pärnu JK Vaprus
2020-10-03,Kohtla-Järve JK Järve,1:8,FC Nõmme United
2020-10-03,Maardu Linnameeskond,3:1,Tallinna FCI Levadia U21
2020-10-04,Vändra JK Vaprus,1:0,Tartu JK Tammeka U21
2020-10-15,Tallinna FC Flora U21,2:3,Tallinna FCI Levadia U21
2020-10-16,Pärnu JK Vaprus,6:2,Vändra JK Vaprus
2020-10-17,Kohtla-Järve JK Järve,2:3,FC Elva
2020-10-17,FC Nõmme United,1:1,Pärnu Jalgpalliklubi
2020-10-17,Tartu JK Tammeka U21,3:3,Maardu Linnameeskond
2020-10-22,Pärnu Jalgpalliklubi,1:1,Pärnu JK Vaprus
2020-10-24,FC Nõmme United,3:4,Tallinna FC Flora U21
2020-10-25,FC Elva,0:1,Tartu JK Tammeka U21
2020-10-25,Maardu Linnameeskond,5:0,Kohtla-Järve JK Järve
2020-10-25,Tallinna FCI Levadia U21,2:0,Vändra JK Vaprus
2020-11-01,Tallinna FCI Levadia U21,2:0,Kohtla-Järve JK Järve
2020-11-01,FC Elva,1:2,Maardu Linnameeskond
2020-10-29,Tallinna FC Flora U21,3:1,FC Nõmme United
2020-10-30,Pärnu JK Vaprus,4:0,Tartu JK Tammeka U21
2020-10-31,Vändra JK Vaprus,1:4,Pärnu Jalgpalliklubi
2020-11-05,Maardu Linnameeskond,0:2,FC Nõmme United
2020-11-07,Tartu JK Tammeka U21,1:3,FC Elva
2020-11-07,Pärnu JK Vaprus,0:3,Tallinna FC Flora U21
2020-11-08,Kohtla-Järve JK Järve,0:6,Pärnu Jalgpalliklubi
2020-11-15,Vändra JK Vaprus,0:4,Tallinna FCI Levadia U21
2020-11-20,Kohtla-Järve JK Järve,0:4,Vändra JK Vaprus
2020-11-20,Tartu JK Tammeka U21,0:5,FC Nõmme United
2020-11-21,Pärnu Jalgpalliklubi,2:0,Tallinna FCI Levadia U21
2020-11-21,FC Elva,0:0,Pärnu JK Vaprus
2020-11-21,Maardu Linnameeskond,3:5,Tallinna FC Flora U21
2020-11-25,Pärnu JK Vaprus,4:1,FC Nõmme United
2020-11-25,Tallinna FC Flora U21,3:5,FC Elva
2020-11-25,Maardu Linnameeskond,2:2,Tartu JK Tammeka U21
2020-11-28,Tallinna FC Flora U21,4:1,Tartu JK Tammeka U21
2020-11-29,Maardu Linnameeskond,2:1,Pärnu JK Vaprus
