Date,Home,Result,Away
2020-03-06,Tallinna FC Flora,3:1,Tallinna JK Legion
2020-03-07,JK Narva Trans,0:1,Nõmme Kalju FC
2020-03-07,Tallinna FCI Levadia,1:0,FC Kuressaare
2020-03-07,JK Tallinna Kalev,1:8,Paide Linnameeskond
2020-03-08,Tartu JK Tammeka,2:1,Viljandi JK Tulevik
2020-05-19,Tallinna JK Legion,0:2,Tallinna FCI Levadia
2020-05-19,FC Kuressaare,0:2,Nõmme Kalju FC
2020-05-19,Paide Linnameeskond,1:2,Viljandi JK Tulevik
2020-05-20,JK Tallinna Kalev,1:1,JK Narva Trans
2020-05-20,Tallinna FC Flora,0:0,Tartu JK Tammeka
2020-05-23,Paide Linnameeskond,2:0,FC Kuressaare
2020-05-23,Nõmme Kalju FC,1:2,Tallinna JK Legion
2020-05-24,Tartu JK Tammeka,0:2,JK Tallinna Kalev
2020-05-24,Viljandi JK Tulevik,1:3,Tallinna FCI Levadia
2020-05-24,JK Narva Trans,2:3,Tallinna FC Flora
2020-05-30,Tallinna FC Flora,3:0,JK Tallinna Kalev
2020-05-30,FC Kuressaare,3:2,JK Narva Trans
2020-05-30,Tallinna JK Legion,0:1,Tartu JK Tammeka
2020-05-31,Viljandi JK Tulevik,0:6,Nõmme Kalju FC
2020-05-31,Tallinna FCI Levadia,4:1,Paide Linnameeskond
2020-06-02,JK Tallinna Kalev,1:0,Tallinna JK Legion
2020-06-02,Tartu JK Tammeka,1:2,FC Kuressaare
2020-06-03,Nõmme Kalju FC,2:0,Tallinna FCI Levadia
2020-06-03,JK Narva Trans,0:2,Viljandi JK Tulevik
2020-06-03,Paide Linnameeskond,1:3,Tallinna FC Flora
2020-06-06,Tallinna JK Legion,0:0,JK Narva Trans
2020-06-06,Tallinna FCI Levadia,4:0,JK Tallinna Kalev
2020-06-07,Tartu JK Tammeka,0:2,Paide Linnameeskond
2020-06-07,Viljandi JK Tulevik,5:0,FC Kuressaare
2020-06-07,Nõmme Kalju FC,1:2,Tallinna FC Flora
2020-06-12,Tallinna FC Flora,3:0,Viljandi JK Tulevik
2020-06-13,Tallinna FCI Levadia,2:2,Tartu JK Tammeka
2020-06-13,FC Kuressaare,0:0,Tallinna JK Legion
2020-06-14,JK Tallinna Kalev,0:4,Nõmme Kalju FC
2020-06-14,Paide Linnameeskond,2:1,JK Narva Trans
2020-06-16,Tallinna JK Legion,0:2,Viljandi JK Tulevik
2020-06-17,JK Narva Trans,0:1,Tartu JK Tammeka
2020-06-17,JK Tallinna Kalev,0:2,FC Kuressaare
2020-06-17,Nõmme Kalju FC,0:1,Paide Linnameeskond
2020-06-17,Tallinna FC Flora,4:0,Tallinna FCI Levadia
2020-06-26,Tartu JK Tammeka,0:2,Nõmme Kalju FC
2020-06-27,FC Kuressaare,0:4,Tallinna FC Flora
2020-06-27,Viljandi JK Tulevik,2:1,JK Tallinna Kalev
2020-06-27,Paide Linnameeskond,2:0,Tallinna JK Legion
2020-06-27,JK Narva Trans,4:4,Tallinna FCI Levadia
2020-07-01,FC Kuressaare,3:0,Viljandi JK Tulevik
2020-07-01,Paide Linnameeskond,3:0,Tartu JK Tammeka
2020-07-01,Tallinna FCI Levadia,1:1,Nõmme Kalju FC
2020-06-30,Tallinna JK Legion,0:0,JK Tallinna Kalev
2020-06-30,Tallinna FC Flora,3:1,JK Narva Trans
2020-07-07,Nõmme Kalju FC,1:0,FC Kuressaare
2020-07-08,Tartu JK Tammeka,1:3,Tallinna JK Legion
2020-07-08,Viljandi JK Tulevik,2:1,Tallinna FC Flora
2020-07-08,JK Tallinna Kalev,0:4,Tallinna FCI Levadia
2020-07-08,JK Narva Trans,1:0,Paide Linnameeskond
2020-07-11,Viljandi JK Tulevik,0:1,JK Narva Trans
2020-07-11,Tallinna FC Flora,3:1,Paide Linnameeskond
2020-07-11,FC Kuressaare,2:4,Tartu JK Tammeka
2020-07-12,Tallinna FCI Levadia,4:0,Tallinna JK Legion
2020-07-12,Nõmme Kalju FC,2:0,JK Tallinna Kalev
2020-07-17,Paide Linnameeskond,1:3,Nõmme Kalju FC
2020-07-17,Tallinna JK Legion,1:1,FC Kuressaare
2020-07-18,JK Tallinna Kalev,0:2,Viljandi JK Tulevik
2020-07-18,Tallinna FCI Levadia,1:3,Tallinna FC Flora
2020-07-18,Tartu JK Tammeka,2:2,JK Narva Trans
2020-07-24,Viljandi JK Tulevik,2:0,Tartu JK Tammeka
2020-07-24,Tallinna FC Flora,2:1,Nõmme Kalju FC
2020-07-25,Paide Linnameeskond,4:2,Tallinna FCI Levadia
2020-07-25,JK Narva Trans,2:0,Tallinna JK Legion
2020-07-27,FC Kuressaare,2:2,JK Tallinna Kalev
2020-08-01,Tallinna JK Legion,0:3,Paide Linnameeskond
2020-08-01,JK Narva Trans,1:0,FC Kuressaare
2020-08-02,Tallinna FCI Levadia,5:1,Viljandi JK Tulevik
2020-07-31,JK Tallinna Kalev,0:3,Tallinna FC Flora
2020-07-31,Nõmme Kalju FC,1:1,Tartu JK Tammeka
2020-08-07,Tallinna FC Flora,3:0,FC Kuressaare
2020-08-08,Viljandi JK Tulevik,0:2,Tallinna JK Legion
2020-08-09,Tartu JK Tammeka,1:1,Tallinna FCI Levadia
2020-08-09,Nõmme Kalju FC,3:0,JK Narva Trans
2020-08-09,Paide Linnameeskond,4:0,JK Tallinna Kalev
2020-08-14,FC Kuressaare,2:2,Tallinna FCI Levadia
2020-08-14,Tartu JK Tammeka,1:3,Tallinna FC Flora
2020-08-15,Viljandi JK Tulevik,1:3,Paide Linnameeskond
2020-08-15,Tallinna JK Legion,0:6,Nõmme Kalju FC
2020-08-16,JK Narva Trans,1:0,JK Tallinna Kalev
2020-08-21,Tallinna FCI Levadia,3:0,JK Narva Trans
2020-08-22,Viljandi JK Tulevik,0:1,Nõmme Kalju FC
2020-08-22,JK Tallinna Kalev,0:2,Tartu JK Tammeka
2020-08-22,FC Kuressaare,0:4,Paide Linnameeskond
2020-08-23,Tallinna JK Legion,1:3,Tallinna FC Flora
2020-10-04,Tallinna FC Flora,2:1,Viljandi JK Tulevik
2020-10-04,Nõmme Kalju FC,1:1,Tallinna JK Legion
2020-08-30,Paide Linnameeskond,3:1,Tartu JK Tammeka
2020-08-30,JK Narva Trans,0:0,FC Kuressaare
2020-08-30,Tallinna FCI Levadia,3:0,JK Tallinna Kalev
2020-09-12,JK Tallinna Kalev,1:4,Tallinna FC Flora
2020-09-12,Viljandi JK Tulevik,1:4,Paide Linnameeskond
2020-09-13,Tallinna JK Legion,2:1,JK Narva Trans
2020-09-13,FC Kuressaare,1:5,Tallinna FCI Levadia
2020-09-23,Tartu JK Tammeka,0:0,Nõmme Kalju FC
2020-09-19,JK Narva Trans,0:1,Viljandi JK Tulevik
2020-09-19,JK Tallinna Kalev,1:2,Tartu JK Tammeka
2020-09-19,FC Kuressaare,2:2,Tallinna JK Legion
2020-09-20,Tallinna FCI Levadia,2:1,Nõmme Kalju FC
2020-10-28,Tallinna FC Flora,1:0,Paide Linnameeskond
2020-12-02,Tallinna FCI Levadia,0:2,Tallinna FC Flora
2020-09-26,Viljandi JK Tulevik,1:1,FC Kuressaare
2020-09-26,Paide Linnameeskond,4:1,JK Tallinna Kalev
2020-09-27,Tallinna JK Legion,3:1,Tartu JK Tammeka
2020-09-27,Nõmme Kalju FC,2:1,JK Narva Trans
2020-10-03,Tartu JK Tammeka,0:0,JK Narva Trans
2020-10-03,FC Kuressaare,0:1,JK Tallinna Kalev
2020-10-04,Paide Linnameeskond,1:0,Tallinna FCI Levadia
2020-08-29,Tallinna FC Flora,1:0,Tallinna JK Legion
2020-09-30,Nõmme Kalju FC,0:0,Viljandi JK Tulevik
2020-10-17,Tallinna FCI Levadia,2:0,Viljandi JK Tulevik
2020-10-17,JK Tallinna Kalev,1:4,Nõmme Kalju FC
2020-10-18,Tallinna JK Legion,0:2,Paide Linnameeskond
2020-10-18,Tartu JK Tammeka,4:2,FC Kuressaare
2020-10-21,JK Narva Trans,1:2,Tallinna FC Flora
2020-10-24,Viljandi JK Tulevik,0:1,Tartu JK Tammeka
2020-10-24,Tallinna JK Legion,2:0,JK Tallinna Kalev
2020-10-25,JK Narva Trans,1:2,Tallinna FCI Levadia
2020-10-25,FC Kuressaare,0:4,Tallinna FC Flora
2020-10-25,Nõmme Kalju FC,1:3,Paide Linnameeskond
2020-11-01,Paide Linnameeskond,6:2,FC Kuressaare
