Date,Home,Result,Away
1998-05-01,Viljandi JK Tulevik,2:3,FC Lantana
1998-05-01,Tallinna Sadam,5:1,JK Narva Trans
1998-08-01,Tallinna FC TVMK,2:2,Viljandi JK Tulevik
1998-08-01,JK Narva Trans,1:3,FC Lantana
1998-09-01,Tallinna FC Flora,3:0,FC Lantana
1998-05-02,Tallinna FC Flora,4:0,Tallinna FC TVMK
1998-06-02,JK Narva Trans,2:1,Tallinna FC TVMK
1998-08-02,Tallinna FC Flora,6:0,Eesti Põlevkivi
1998-08-02,Lelle SK,0:7,Tallinna Sadam
1998-10-02,Tallinna FC Flora,6:1,Lelle SK
1998-10-03,Viljandi JK Tulevik,0:0,JK Narva Trans
1998-10-03,Eesti Põlevkivi,0:3,Tallinna Sadam
1998-10-05,Tallinna FC TVMK,1:2,FC Lantana
1998-06-07,JK Narva Trans,2:1,Tallinna Sadam
1998-08-07,Tallinna FC TVMK,0:5,Tallinna Sadam
1998-06-08,Tallinna FC Flora,4:0,Tallinna FC TVMK
1998-06-08,FC Lantana,1:1,Viljandi JK Tulevik
1998-08-08,JK Narva Trans,0:1,Tallinna FC Flora
1998-08-08,Eesti Põlevkivi,1:2,FC Lantana
1998-09-09,Tallinna Sadam,5:0,JK Narva Trans
1998-09-09,FC Lantana,1:1,Lelle SK
1998-09-09,Tallinna FC TVMK,0:2,Tallinna FC Flora
1998-09-09,Eesti Põlevkivi,0:2,Viljandi JK Tulevik
1998-05-10,JK Narva Trans,0:2,Viljandi JK Tulevik
1998-05-10,FC Lantana,2:0,Tallinna FC TVMK
1998-04-11,Tallinna FC TVMK,1:0,Viljandi JK Tulevik
1998-08-11,Viljandi JK Tulevik,3:0,Lelle SK
1998-04-12,Tallinna FC Flora,6:2,JK Narva Trans
1998-05-12,Tallinna FC Flora,5:0,Tallinna Sadam
1998-06-12,Tallinna FC Flora,2:3,FC Lantana
1998-09-13,Lelle SK,1:1,Tallinna FC TVMK
1998-09-13,JK Narva Trans,5:1,Eesti Põlevkivi
1998-09-13,Viljandi JK Tulevik,0:3,FC Lantana
1998-09-13,Tallinna FC Flora,0:3,Tallinna Sadam
1998-04-14,FC Lantana,3:3,Tallinna Sadam
1998-08-15,JK Narva Trans,4:1,Viljandi JK Tulevik
1998-08-15,Tallinna Sadam,6:2,Eesti Põlevkivi
1998-08-16,Lelle SK,2:5,Tallinna FC Flora
1998-10-16,Tallinna Sadam,5:1,FC Lantana
1998-05-17,Viljandi JK Tulevik,0:1,Tallinna FC TVMK
1998-05-17,Tallinna Sadam,4:1,FC Lantana
1998-06-17,Tallinna Sadam,2:5,Tallinna FC Flora
1998-06-17,Viljandi JK Tulevik,0:4,JK Narva Trans
1998-06-17,Tallinna FC TVMK,1:3,FC Lantana
1998-07-17,JK Narva Trans,0:0,Tallinna Sadam
1998-07-17,Tallinna FC Flora,3:0,Tallinna FC TVMK
1998-08-17,FC Lantana,0:0,Tallinna FC TVMK
1998-10-17,Tallinna FC Flora,1:0,Viljandi JK Tulevik
1998-10-17,Tallinna FC TVMK,0:3,JK Narva Trans
1998-10-17,Lelle SK,1:2,Eesti Põlevkivi
1998-04-18,FC Lantana,1:3,Tallinna FC Flora
1998-04-18,Viljandi JK Tulevik,2:3,Tallinna Sadam
1998-07-18,Lelle SK,0:2,FC Lantana
1998-07-18,Viljandi JK Tulevik,1:0,Eesti Põlevkivi
1998-04-19,Tallinna FC TVMK,0:1,JK Narva Trans
1998-09-19,Tallinna Sadam,3:2,Lelle SK
1998-09-19,Viljandi JK Tulevik,2:1,Tallinna FC TVMK
1998-09-19,Eesti Põlevkivi,2:7,Tallinna FC Flora
1998-06-20,Tallinna FC Flora,3:2,FC Lantana
1998-08-21,FC Lantana,0:1,Tallinna Sadam
1998-09-21,FC Lantana,3:3,JK Narva Trans
1998-10-21,Tallinna Sadam,0:1,Tallinna FC Flora
1998-08-22,Eesti Põlevkivi,1:0,Lelle SK
1998-08-22,JK Narva Trans,2:2,Tallinna FC TVMK
1998-08-24,Viljandi JK Tulevik,0:5,Tallinna FC Flora
1998-07-25,Eesti Põlevkivi,0:1,JK Narva Trans
1998-07-25,FC Lantana,3:0,Viljandi JK Tulevik
1998-07-25,Tallinna FC TVMK,2:1,Lelle SK
1998-10-25,FC Lantana,3:3,Tallinna FC Flora
1998-10-25,Eesti Põlevkivi,0:2,Tallinna FC TVMK
1998-10-25,JK Narva Trans,1:0,Lelle SK
1998-10-25,Tallinna Sadam,3:0,Viljandi JK Tulevik
1998-04-26,Tallinna Sadam,5:0,Tallinna FC TVMK
1998-04-26,FC Lantana,0:0,JK Narva Trans
1998-09-26,FC Lantana,4:1,Eesti Põlevkivi
1998-04-27,Tallinna FC Flora,0:0,Viljandi JK Tulevik
1998-05-27,JK Narva Trans,1:4,Tallinna FC Flora
1998-05-27,Tallinna Sadam,1:3,Viljandi JK Tulevik
1998-09-27,Lelle SK,0:0,Viljandi JK Tulevik
1998-09-27,Tallinna FC Flora,3:3,JK Narva Trans
1998-09-28,Tallinna Sadam,4:0,Tallinna FC TVMK
1998-08-29,Lelle SK,1:5,JK Narva Trans
1998-08-29,Tallinna FC TVMK,4:0,Eesti Põlevkivi
1998-05-30,Viljandi JK Tulevik,1:1,Tallinna FC Flora
1998-05-30,JK Narva Trans,1:0,FC Lantana
1998-05-30,Tallinna FC TVMK,0:2,Tallinna Sadam
1998-08-30,Viljandi JK Tulevik,4:3,Tallinna Sadam
