Date,Home,Result,Away
2022-07-04,Tallinna FC Flora U21,4:0,Viljandi JK Tulevik
2022-07-04,FC Elva,3:1,FC Nõmme United
2022-07-04,Harju JK Laagri,4:1,Paide Linnameeskond U21
2022-07-04,Ida-Virumaa FC Alliance,2:1,Pärnu Jalgpalliklubi
2022-07-16,Pärnu Jalgpalliklubi,0:1,FC Elva
2022-07-16,Viimsi JK,6:1,Ida-Virumaa FC Alliance
2022-07-18,FC Nõmme United,4:0,Viljandi JK Tulevik
2022-07-18,Paide Linnameeskond U21,1:4,Tallinna FCI Levadia U21
2022-07-18,Harju JK Laagri,3:4,Tallinna FC Flora U21
2022-08-01,Tallinna FC Flora U21,4:1,Viimsi JK
2022-08-01,FC Elva,4:3,Harju JK Laagri
2022-08-01,Ida-Virumaa FC Alliance,1:3,Paide Linnameeskond U21
2022-07-29,Viljandi JK Tulevik,0:0,Pärnu Jalgpalliklubi
2022-07-30,Tallinna FCI Levadia U21,2:4,FC Nõmme United
2022-08-06,FC Nõmme United,3:0,Pärnu Jalgpalliklubi
2022-08-06,FC Elva,9:0,Viljandi JK Tulevik
2022-08-06,Viimsi JK,0:1,Harju JK Laagri
2022-08-06,Ida-Virumaa FC Alliance,0:4,Tallinna FCI Levadia U21
2022-08-08,Paide Linnameeskond U21,1:2,Tallinna FC Flora U21
2022-08-12,Pärnu Jalgpalliklubi,3:2,Tallinna FC Flora U21
2022-08-13,Tallinna FCI Levadia U21,1:1,FC Elva
2022-08-13,Harju JK Laagri,3:0,Ida-Virumaa FC Alliance
2022-08-15,Viljandi JK Tulevik,1:0,Viimsi JK
2022-08-15,FC Nõmme United,4:1,Paide Linnameeskond U21
2022-08-20,FC Elva,4:0,Ida-Virumaa FC Alliance
2022-08-20,Viljandi JK Tulevik,1:1,Tallinna FCI Levadia U21
2022-08-22,Pärnu Jalgpalliklubi,1:2,Harju JK Laagri
2022-08-22,Viimsi JK,5:0,Paide Linnameeskond U21
2022-08-22,Tallinna FC Flora U21,3:0,FC Nõmme United
2022-08-27,Paide Linnameeskond U21,2:0,FC Elva
2022-08-27,FC Nõmme United,1:1,Viimsi JK
2022-08-27,Tallinna FCI Levadia U21,7:1,Pärnu Jalgpalliklubi
2022-08-27,Ida-Virumaa FC Alliance,2:2,Tallinna FC Flora U21
2022-08-29,Harju JK Laagri,2:0,Viljandi JK Tulevik
2022-09-01,Ida-Virumaa FC Alliance,0:4,FC Nõmme United
2022-09-01,Paide Linnameeskond U21,3:2,Viljandi JK Tulevik
2022-09-01,Tallinna FC Flora U21,1:4,FC Elva
2022-09-01,Viimsi JK,2:0,Pärnu Jalgpalliklubi
2022-09-01,Harju JK Laagri,1:0,Tallinna FCI Levadia U21
2022-09-04,FC Elva,2:1,Viimsi JK
2022-09-04,Viljandi JK Tulevik,5:0,Ida-Virumaa FC Alliance
