Date,Home,Result,Away
2005-10-01,Lelle SK,0:1,Tallinna JK Legion
2005-10-01,JK Tervis Pärnu,4:2,JK Merkuur-Juunior
2005-10-01,Tallinna FC TVMK II,0:2,FC Elva
2005-10-01,JK Tallinna Kalev,0:7,Lasnamäe FC Ajax
2005-10-01,Tallinna FC Levadia II,5:0,Pärnu JK Vaprus
2005-04-02,JK Tervis Pärnu,2:2,JK Tallinna Kalev
2005-04-02,Tallinna JK Legion,0:3,Lasnamäe FC Ajax
2005-04-02,Tallinna FC TVMK II,1:0,JK Merkuur-Juunior
2005-04-02,Lelle SK,0:2,Pärnu JK Vaprus
2005-04-02,Tallinna FC Levadia II,4:0,FC Elva
2005-03-05,FC Elva,0:5,Lasnamäe FC Ajax
2005-03-05,Pärnu JK Vaprus,4:0,JK Merkuur-Juunior
2005-03-05,Tallinna FC Levadia II,3:0,Tallinna FC TVMK II
2005-03-05,Lelle SK,1:3,JK Tervis Pärnu
2005-07-05,Pärnu JK Vaprus,4:1,FC Elva
2005-07-05,Tallinna FC Levadia II,4:1,JK Tervis Pärnu
2005-07-05,Lelle SK,1:3,JK Tallinna Kalev
2005-07-05,Tallinna FC TVMK II,0:3,Lasnamäe FC Ajax
2005-11-05,Lasnamäe FC Ajax,3:0,FC Elva
2005-11-05,Tallinna FC TVMK II,1:3,Tallinna FC Levadia II
2005-11-05,JK Merkuur-Juunior,0:7,Pärnu JK Vaprus
2005-11-05,JK Tallinna Kalev,3:3,Tallinna JK Legion
2005-11-05,JK Tervis Pärnu,1:3,Lelle SK
2005-08-06,FC Elva,3:0,Lelle SK
2005-08-06,Lasnamäe FC Ajax,1:1,JK Tervis Pärnu
2005-08-06,JK Tallinna Kalev,2:0,Tallinna FC TVMK II
2005-08-06,Pärnu JK Vaprus,4:1,Tallinna JK Legion
2005-08-06,JK Merkuur-Juunior,0:4,Tallinna FC Levadia II
2005-05-07,Tallinna JK Legion,3:3,JK Tervis Pärnu
2005-05-07,Pärnu JK Vaprus,5:4,JK Tallinna Kalev
2005-05-07,FC Elva,1:1,JK Merkuur-Juunior
2005-05-07,Lasnamäe FC Ajax,3:0,Tallinna FC Levadia II
2005-05-07,Lelle SK,3:2,Tallinna FC TVMK II
2005-10-08,Tallinna JK Legion,0:6,JK Tervis Pärnu
2005-04-09,Lasnamäe FC Ajax,1:2,JK Tallinna Kalev
2005-04-09,JK Merkuur-Juunior,1:3,JK Tervis Pärnu
2005-04-09,FC Elva,2:1,Tallinna FC TVMK II
2005-04-09,Pärnu JK Vaprus,2:2,Tallinna FC Levadia II
2005-04-09,Tallinna JK Legion,0:3,Lelle SK
2005-07-09,Tallinna FC TVMK II,3:2,Tallinna FC Levadia II
2005-07-09,JK Tervis Pärnu,3:0,Lelle SK
2005-07-09,JK Tallinna Kalev,6:1,Tallinna JK Legion
2005-07-09,Lasnamäe FC Ajax,3:1,FC Elva
2005-07-09,JK Merkuur-Juunior,0:0,Pärnu JK Vaprus
2005-09-10,Lasnamäe FC Ajax,4:1,JK Merkuur-Juunior
2005-09-10,FC Elva,3:3,JK Tallinna Kalev
2005-09-10,Tallinna JK Legion,0:2,Tallinna FC TVMK II
2005-09-10,Lelle SK,1:6,Tallinna FC Levadia II
2005-09-10,Pärnu JK Vaprus,1:0,JK Tervis Pärnu
2005-06-11,FC Elva,0:1,Tallinna FC Levadia II
2005-06-11,Lasnamäe FC Ajax,10:1,Tallinna JK Legion
2005-06-11,Pärnu JK Vaprus,3:0,Lelle SK
2005-06-11,JK Tallinna Kalev,3:1,JK Tervis Pärnu
2005-06-11,JK Merkuur-Juunior,1:3,Tallinna FC TVMK II
2005-03-12,Lasnamäe FC Ajax,4:1,Tallinna FC TVMK II
2005-03-12,JK Tervis Pärnu,0:1,Tallinna FC Levadia II
2005-03-12,JK Tallinna Kalev,3:2,Lelle SK
2005-03-12,FC Elva,1:2,Pärnu JK Vaprus
2005-03-12,JK Merkuur-Juunior,0:2,Tallinna JK Legion
2005-08-13,Lelle SK,1:2,Pärnu JK Vaprus
2005-08-13,Tallinna FC TVMK II,5:0,JK Merkuur-Juunior
2005-08-13,Tallinna FC Levadia II,0:2,FC Elva
2005-08-13,Tallinna JK Legion,2:1,Lasnamäe FC Ajax
2005-08-13,JK Tervis Pärnu,4:0,JK Tallinna Kalev
2005-09-13,JK Tallinna Kalev,1:1,Pärnu JK Vaprus
2005-09-13,Tallinna FC TVMK II,1:2,Lelle SK
2005-09-13,JK Merkuur-Juunior,0:2,FC Elva
2005-05-14,Tallinna FC Levadia II,7:1,Lelle SK
2005-05-14,Tallinna FC TVMK II,4:1,Tallinna JK Legion
2005-05-14,JK Merkuur-Juunior,0:5,Lasnamäe FC Ajax
2005-05-14,JK Tervis Pärnu,0:1,Pärnu JK Vaprus
2005-05-14,JK Tallinna Kalev,5:0,FC Elva
2005-03-15,Tallinna FC Levadia II,2:1,JK Tallinna Kalev
2005-03-15,Pärnu JK Vaprus,2:1,Lasnamäe FC Ajax
2005-03-15,Lelle SK,1:3,JK Merkuur-Juunior
2005-03-15,Tallinna FC TVMK II,1:0,JK Tervis Pärnu
2005-10-15,JK Merkuur-Juunior,1:2,Tallinna FC TVMK II
2005-10-15,JK Tallinna Kalev,2:1,JK Tervis Pärnu
2005-10-15,FC Elva,0:4,Tallinna FC Levadia II
2005-10-15,Pärnu JK Vaprus,4:0,Lelle SK
2005-10-15,Lasnamäe FC Ajax,3:0,Tallinna JK Legion
2005-04-16,Tallinna FC TVMK II,3:2,Pärnu JK Vaprus
2005-04-16,Tallinna FC Levadia II,5:0,Tallinna JK Legion
2005-04-16,JK Tervis Pärnu,5:2,FC Elva
2005-04-16,Lelle SK,1:2,Lasnamäe FC Ajax
2005-04-16,JK Tallinna Kalev,2:2,JK Merkuur-Juunior
2005-07-16,Tallinna JK Legion,1:2,JK Tallinna Kalev
2005-07-16,Lelle SK,0:3,JK Tervis Pärnu
2005-07-16,Tallinna FC Levadia II,6:0,Tallinna FC TVMK II
2005-07-16,FC Elva,1:1,Lasnamäe FC Ajax
2005-07-16,Pärnu JK Vaprus,2:1,JK Merkuur-Juunior
2005-09-17,Lasnamäe FC Ajax,1:0,Tallinna FC Levadia II
2005-09-17,Lelle SK,0:2,Tallinna FC TVMK II
2005-09-17,Pärnu JK Vaprus,1:3,JK Tallinna Kalev
2005-09-17,FC Elva,0:0,JK Merkuur-Juunior
2005-06-18,Lelle SK,2:1,FC Elva
2005-06-18,JK Tervis Pärnu,2:2,Lasnamäe FC Ajax
2005-06-18,Tallinna FC Levadia II,2:0,JK Merkuur-Juunior
2005-06-18,Tallinna JK Legion,2:4,Pärnu JK Vaprus
2005-06-18,Tallinna FC TVMK II,1:5,JK Tallinna Kalev
2005-03-19,Lasnamäe FC Ajax,1:1,JK Tervis Pärnu
2005-03-19,Pärnu JK Vaprus,3:1,Tallinna JK Legion
2005-03-19,JK Merkuur-Juunior,3:5,Tallinna FC Levadia II
2005-03-19,FC Elva,2:3,Lelle SK
2005-03-19,JK Tallinna Kalev,2:2,Tallinna FC TVMK II
2005-08-20,FC Elva,0:1,Tallinna FC TVMK II
2005-08-20,Tallinna JK Legion,1:2,Lelle SK
2005-08-20,JK Merkuur-Juunior,0:3,JK Tervis Pärnu
2005-08-20,Lasnamäe FC Ajax,8:0,JK Tallinna Kalev
2005-08-20,Pärnu JK Vaprus,3:2,Tallinna FC Levadia II
2005-09-20,Tallinna FC TVMK II,2:2,Tallinna JK Legion
2005-09-20,JK Tervis Pärnu,3:4,Pärnu JK Vaprus
2005-09-20,JK Merkuur-Juunior,1:2,Lasnamäe FC Ajax
2005-09-20,Tallinna FC Levadia II,5:0,Lelle SK
2005-05-21,Lasnamäe FC Ajax,4:1,Lelle SK
2005-05-21,Tallinna JK Legion,1:2,Tallinna FC Levadia II
2005-05-21,Pärnu JK Vaprus,3:0,Tallinna FC TVMK II
2005-05-21,FC Elva,3:1,JK Tervis Pärnu
2005-05-21,JK Merkuur-Juunior,3:1,JK Tallinna Kalev
2005-06-21,Lasnamäe FC Ajax,2:2,Pärnu JK Vaprus
2005-06-21,FC Elva,3:0,Tallinna JK Legion
2005-06-21,JK Tervis Pärnu,3:2,Tallinna FC TVMK II
2005-06-21,JK Tallinna Kalev,1:5,Tallinna FC Levadia II
2005-06-21,JK Merkuur-Juunior,1:1,Lelle SK
2005-10-22,Tallinna FC TVMK II,3:3,JK Tallinna Kalev
2005-10-22,Tallinna FC Levadia II,5:0,JK Merkuur-Juunior
2005-10-22,JK Tervis Pärnu,2:1,Lasnamäe FC Ajax
2005-10-22,Lelle SK,2:1,FC Elva
2005-10-22,Tallinna JK Legion,1:3,Pärnu JK Vaprus
2005-04-23,Tallinna JK Legion,0:5,Tallinna FC TVMK II
2005-04-23,Pärnu JK Vaprus,4:0,JK Tervis Pärnu
2005-04-23,Lelle SK,2:4,Tallinna FC Levadia II
2005-04-23,Lasnamäe FC Ajax,3:2,JK Merkuur-Juunior
2005-04-23,FC Elva,0:2,JK Tallinna Kalev
2005-07-23,Lasnamäe FC Ajax,6:1,Tallinna FC TVMK II
2005-07-23,JK Tallinna Kalev,4:0,Lelle SK
2005-07-23,FC Elva,0:3,Pärnu JK Vaprus
2005-07-23,JK Tervis Pärnu,0:3,Tallinna FC Levadia II
2005-07-23,JK Merkuur-Juunior,1:2,Tallinna JK Legion
2005-09-24,FC Elva,0:0,JK Tervis Pärnu
2005-09-24,Pärnu JK Vaprus,4:0,Tallinna FC TVMK II
2005-09-24,Lasnamäe FC Ajax,7:1,Lelle SK
2005-09-24,JK Merkuur-Juunior,0:3,JK Tallinna Kalev
2005-10-25,JK Tervis Pärnu,5:0,Tallinna FC TVMK II
2005-10-25,FC Elva,1:2,Tallinna JK Legion
2005-10-25,JK Merkuur-Juunior,0:4,Lelle SK
2005-10-25,Lasnamäe FC Ajax,0:1,Pärnu JK Vaprus
2005-10-25,JK Tallinna Kalev,0:2,Tallinna FC Levadia II
2005-08-27,Tallinna FC TVMK II,0:2,Pärnu JK Vaprus
2005-08-27,JK Tervis Pärnu,3:2,FC Elva
2005-08-27,Tallinna FC Levadia II,2:3,Tallinna JK Legion
2005-08-27,JK Tallinna Kalev,5:0,JK Merkuur-Juunior
2005-08-27,Lelle SK,1:5,Lasnamäe FC Ajax
2005-09-27,JK Tallinna Kalev,2:1,FC Elva
2005-09-27,JK Tervis Pärnu,1:1,Tallinna JK Legion
2005-09-27,Tallinna FC Levadia II,0:0,Lasnamäe FC Ajax
2005-05-28,JK Tallinna Kalev,1:3,Lasnamäe FC Ajax
2005-05-28,Tallinna FC TVMK II,1:1,FC Elva
2005-05-28,Tallinna FC Levadia II,1:0,Pärnu JK Vaprus
2005-05-28,Lelle SK,2:1,Tallinna JK Legion
2005-10-29,Pärnu JK Vaprus,5:1,FC Elva
2005-10-29,Tallinna JK Legion,3:1,JK Merkuur-Juunior
2005-10-29,Tallinna FC Levadia II,1:0,JK Tervis Pärnu
2005-10-29,Tallinna FC TVMK II,0:5,Lasnamäe FC Ajax
2005-10-29,Lelle SK,3:4,JK Tallinna Kalev
2005-04-30,JK Tallinna Kalev,1:1,Pärnu JK Vaprus
2005-04-30,JK Merkuur-Juunior,1:2,FC Elva
2005-04-30,Tallinna FC Levadia II,0:0,Lasnamäe FC Ajax
2005-04-30,Tallinna FC TVMK II,1:2,Lelle SK
2005-04-30,JK Tervis Pärnu,6:0,Tallinna JK Legion
2005-07-30,Pärnu JK Vaprus,1:1,Lasnamäe FC Ajax
2005-07-30,Tallinna JK Legion,1:2,FC Elva
2005-07-30,Tallinna FC TVMK II,0:0,JK Tervis Pärnu
2005-07-30,Lelle SK,2:3,JK Merkuur-Juunior
2005-07-30,Tallinna FC Levadia II,2:2,JK Tallinna Kalev
