Date,Home,Result,Away
2004-03-13,Viljandi JK Tulevik,2:0,FC Valga
2004-03-14,JK Merkuur Tartu,1:1,FC Lootus Alutaguse
2004-03-14,Tallinna FC TVMK,2:0,JK Narva Trans
2004-03-14,Tallinna FC Flora,0:2,Tallinna FC Levadia
2004-03-22,JK Merkuur Tartu,0:1,Tallinna FC Flora
2004-03-27,JK Narva Trans,2:1,FC Valga
2004-03-27,Tallinna FC TVMK,5:0,FC Lootus Alutaguse
2004-03-28,Tallinna FC Levadia,6:1,Viljandi JK Tulevik
2004-04-04,FC Lootus Alutaguse,1:8,Tallinna FC Flora
2004-04-04,FC Valga,1:5,Tallinna FC Levadia
2004-04-04,Viljandi JK Tulevik,0:3,Tallinna FC TVMK
2004-04-04,JK Narva Trans,1:2,JK Merkuur Tartu
2004-04-10,Viljandi JK Tulevik,0:3,JK Narva Trans
2004-04-10,Tallinna FC Levadia,4:0,FC Lootus Alutaguse
2004-04-10,FC Valga,2:0,JK Merkuur Tartu
2004-04-11,Tallinna FC Flora,2:2,Tallinna FC TVMK
2004-04-19,Tallinna FC TVMK,0:0,Tallinna FC Levadia
2004-04-19,FC Lootus Alutaguse,2:6,JK Narva Trans
2004-04-20,JK Merkuur Tartu,2:1,Viljandi JK Tulevik
2004-04-20,Tallinna FC Flora,1:0,FC Valga
2004-04-24,Viljandi JK Tulevik,1:5,Tallinna FC Flora
2004-04-24,JK Merkuur Tartu,0:2,Tallinna FC TVMK
2004-04-24,FC Valga,0:1,FC Lootus Alutaguse
2004-04-24,JK Narva Trans,1:1,Tallinna FC Levadia
2004-05-02,FC Valga,2:5,Tallinna FC TVMK
2004-05-03,Tallinna FC Levadia,6:0,JK Merkuur Tartu
2004-05-03,JK Narva Trans,0:2,Tallinna FC Flora
2004-05-03,FC Lootus Alutaguse,0:1,Viljandi JK Tulevik
2004-05-07,Tallinna FC TVMK,3:1,Viljandi JK Tulevik
2004-05-08,JK Merkuur Tartu,0:2,JK Narva Trans
2004-05-08,Tallinna FC Flora,6:0,FC Lootus Alutaguse
2004-05-08,Tallinna FC Levadia,3:0,FC Valga
2004-05-16,FC Valga,0:2,JK Narva Trans
2004-05-16,Tallinna FC Flora,3:0,JK Merkuur Tartu
2004-05-16,FC Lootus Alutaguse,0:2,Tallinna FC TVMK
2004-05-16,Viljandi JK Tulevik,0:1,Tallinna FC Levadia
2004-05-22,FC Valga,0:6,Tallinna FC Flora
2004-05-24,Viljandi JK Tulevik,1:4,JK Merkuur Tartu
2004-05-24,Tallinna FC Levadia,3:0,Tallinna FC TVMK
2004-05-24,JK Narva Trans,1:0,FC Lootus Alutaguse
2004-06-26,Tallinna FC TVMK,1:4,Tallinna FC Flora
2004-05-28,JK Merkuur Tartu,4:0,FC Valga
2004-05-28,FC Lootus Alutaguse,0:5,Tallinna FC Levadia
2004-05-28,JK Narva Trans,1:0,Viljandi JK Tulevik
2004-06-04,Tallinna FC TVMK,3:1,FC Valga
