Date,Home,Result,Away
2012-04-01,Tartu JK Tammeka  II,4:1,Kohtla-Järve FC Lootus
2012-04-01,Pärnu Linnameeskond,2:2,Kiviõli Tamme Auto
2012-04-01,Tallinna JK Puuma,2:1,Tallinna FC Levadia II
2012-04-01,Tallinna FC Flora II,4:0,Tallinna FC Infonet
2012-04-01,Rakvere JK Tarvas,1:3,Tartu SK 10
2012-06-02,Kiviõli Tamme Auto,3:4,Kohtla-Järve FC Lootus
2012-04-08,Tallinna FC Levadia II,0:0,Tallinna FC Flora II
2012-04-08,Tartu JK Tammeka  II,0:0,Pärnu Linnameeskond
2012-04-08,Tallinna FC Infonet,2:1,Rakvere JK Tarvas
2012-04-08,Kohtla-Järve FC Lootus,0:4,Tartu SK 10
2012-09-08,Kiviõli Tamme Auto,8:0,Tallinna JK Puuma
2012-06-10,Kiviõli Tamme Auto,2:4,Tartu JK Tammeka  II
2012-03-11,Tallinna FC Levadia II,2:1,Kohtla-Järve FC Lootus
2012-03-11,Tartu JK Tammeka  II,1:1,Tartu SK 10
2012-03-11,Pärnu Linnameeskond,1:2,Rakvere JK Tarvas
2012-03-11,Tallinna JK Puuma,1:2,Tallinna FC Flora II
2012-04-11,Pärnu Linnameeskond,2:0,Kohtla-Järve FC Lootus
2012-04-11,Tallinna JK Puuma,1:1,Tartu JK Tammeka  II
2012-04-11,Tallinna FC Flora II,4:0,Kiviõli Tamme Auto
2012-04-11,Rakvere JK Tarvas,2:1,Tallinna FC Levadia II
2012-04-11,Tartu SK 10,1:2,Tallinna FC Infonet
2012-10-13,Kiviõli Tamme Auto,3:0,Rakvere JK Tarvas
2012-04-15,Tallinna FC Levadia II,4:1,Tartu SK 10
2012-04-15,Tartu JK Tammeka  II,1:1,Tallinna FC Flora II
2012-04-15,Pärnu Linnameeskond,1:0,Tallinna JK Puuma
2012-04-15,Kohtla-Järve FC Lootus,1:3,Tallinna FC Infonet
2012-03-18,Tallinna FC Levadia II,2:2,Kiviõli Tamme Auto
2012-03-18,Rakvere JK Tarvas,1:1,Tallinna JK Puuma
2012-03-18,Tartu SK 10,1:1,Pärnu Linnameeskond
2012-03-18,Tallinna FC Infonet,2:1,Tartu JK Tammeka  II
2012-03-18,Kohtla-Järve FC Lootus,1:2,Tallinna FC Flora II
2012-04-22,Tallinna JK Puuma,3:0,Kohtla-Järve FC Lootus
2012-04-22,Tallinna FC Flora II,2:1,Pärnu Linnameeskond
2012-04-22,Rakvere JK Tarvas,2:0,Tartu JK Tammeka  II
2012-04-22,Tartu SK 10,5:2,Kiviõli Tamme Auto
2012-04-22,Tallinna FC Infonet,4:1,Tallinna FC Levadia II
2012-03-25,Tallinna FC Flora II,1:1,Rakvere JK Tarvas
2012-03-25,Tartu JK Tammeka  II,3:1,Tallinna FC Levadia II
2012-03-25,Pärnu Linnameeskond,0:3,Tallinna FC Infonet
2012-03-25,Tallinna JK Puuma,0:2,Tartu SK 10
2012-05-27,Kiviõli Tamme Auto,3:3,Tallinna FC Infonet
2012-03-28,Tallinna FC Levadia II,1:2,Pärnu Linnameeskond
2012-03-28,Tartu SK 10,0:1,Tallinna FC Flora II
2012-03-28,Tallinna FC Infonet,0:0,Tallinna JK Puuma
2012-03-28,Kohtla-Järve FC Lootus,0:2,Rakvere JK Tarvas
2012-07-01,Tallinna FC Flora II,2:1,Tallinna JK Puuma
2012-07-01,Rakvere JK Tarvas,3:0,Pärnu Linnameeskond
2012-07-01,Tartu SK 10,1:1,Tartu JK Tammeka  II
2012-07-01,Tallinna FC Infonet,5:0,Kiviõli Tamme Auto
2012-08-01,Pärnu Linnameeskond,1:1,Tartu SK 10
2012-08-01,Tallinna JK Puuma,0:0,Rakvere JK Tarvas
2012-08-01,Tallinna FC Infonet,3:1,Tallinna FC Flora II
2012-08-01,Tartu JK Tammeka  II,3:5,Kiviõli Tamme Auto
2012-06-02,Tallinna JK Puuma,0:2,Tallinna FC Infonet
2012-05-06,Tallinna JK Puuma,1:1,Pärnu Linnameeskond
2012-05-06,Tallinna FC Flora II,3:1,Tartu JK Tammeka  II
2012-05-06,Rakvere JK Tarvas,1:3,Kiviõli Tamme Auto
