Date,Home,Result,Away
2018-06-05,JK Tallinna Kalev,0:4,Tallinna FCI Levadia
2018-06-05,Paide Linnameeskond,4:0,Viljandi JK Tulevik
2018-06-06,Nõmme Kalju FC,8:3,FC Kuressaare
2018-06-06,JK Narva Trans,6:0,Pärnu JK Vaprus
2018-06-06,Tallinna FC Flora,3:1,Tartu JK Tammeka
2018-03-03,FC Kuressaare,0:5,JK Narva Trans
2018-03-03,Tallinna FCI Levadia,1:1,Paide Linnameeskond
2018-03-03,Tallinna FC Flora,1:0,Viljandi JK Tulevik
2018-03-03,JK Tallinna Kalev,0:1,Tartu JK Tammeka
2018-03-04,Nõmme Kalju FC,7:0,Pärnu JK Vaprus
2018-03-09,Tallinna FC Flora,6:0,Paide Linnameeskond
2018-03-10,Pärnu JK Vaprus,0:1,Tartu JK Tammeka
2018-03-10,Viljandi JK Tulevik,1:0,JK Tallinna Kalev
2018-03-10,JK Narva Trans,2:2,Nõmme Kalju FC
2018-03-11,Tallinna FCI Levadia,4:0,FC Kuressaare
2018-03-13,Paide Linnameeskond,2:2,Pärnu JK Vaprus
2018-03-13,JK Tallinna Kalev,1:2,JK Narva Trans
2018-03-14,Tartu JK Tammeka,0:3,Tallinna FCI Levadia
2018-03-14,Nõmme Kalju FC,2:0,Tallinna FC Flora
2018-03-14,FC Kuressaare,3:1,Viljandi JK Tulevik
2018-03-16,JK Narva Trans,1:0,Paide Linnameeskond
2018-03-17,JK Tallinna Kalev,5:0,FC Kuressaare
2018-03-17,Tallinna FC Flora,5:0,Pärnu JK Vaprus
2018-03-17,Viljandi JK Tulevik,0:7,Tallinna FCI Levadia
2018-03-18,Nõmme Kalju FC,1:0,Tartu JK Tammeka
2018-04-01,Tallinna FC Flora,1:0,JK Tallinna Kalev
2018-03-30,FC Kuressaare,0:4,Tartu JK Tammeka
2018-03-31,Paide Linnameeskond,1:4,Nõmme Kalju FC
2018-03-31,Pärnu JK Vaprus,1:1,Viljandi JK Tulevik
2018-03-31,Tallinna FCI Levadia,5:0,JK Narva Trans
2018-04-03,Tartu JK Tammeka,5:2,Paide Linnameeskond
2018-04-03,JK Narva Trans,2:0,Viljandi JK Tulevik
2018-04-04,FC Kuressaare,0:7,Tallinna FC Flora
