Date,Home,Result,Away
2002-06-02,FC Elva,1:4,FC Valga
2002-06-02,JK Sillamäe Kalev,4:2,JK Tammeka Tartu
2002-06-02,JK Merkuur Tartu,0:7,FS Junior Maardu
2002-06-02,FC Kuressaare,0:3,Tallinna JK Legion
2002-11-02,JK Tammeka Tartu,3:2,FC Kuressaare
2002-11-02,FC Elva,2:3,JK Merkuur Tartu
2002-11-02,FC Valga,2:2,FS Junior Maardu
2002-11-02,JK Sillamäe Kalev,3:2,Tallinna JK Legion
2002-05-04,FC Kuressaare,0:4,FS Junior Maardu
2002-05-04,FC Elva,0:1,JK Tammeka Tartu
2002-05-04,Tallinna JK Legion,0:4,FC Valga
2002-05-04,JK Merkuur Tartu,1:0,JK Sillamäe Kalev
2002-08-04,FC Valga,5:0,JK Tammeka Tartu
2002-08-04,FC Kuressaare,2:0,FC Elva
2002-08-04,JK Merkuur Tartu,7:0,JK Sillamäe Kalev
2002-08-04,Tallinna JK Legion,3:3,FS Junior Maardu
2002-10-05,JK Merkuur Tartu,2:4,FS Junior Maardu
2002-10-05,FC Valga,2:0,JK Sillamäe Kalev
2002-10-05,FC Kuressaare,3:6,Tallinna JK Legion
2002-10-05,FC Elva,2:2,JK Tammeka Tartu
2002-04-06,JK Merkuur Tartu,3:1,FC Elva
2002-04-06,FC Kuressaare,4:0,JK Tammeka Tartu
2002-04-06,Tallinna JK Legion,1:1,JK Sillamäe Kalev
2002-04-06,FS Junior Maardu,1:5,FC Valga
2002-07-07,JK Sillamäe Kalev,0:1,FC Valga
2002-07-07,FC Kuressaare,3:1,FC Elva
2002-07-07,JK Merkuur Tartu,4:1,Tallinna JK Legion
2002-07-07,FS Junior Maardu,2:2,JK Tammeka Tartu
2002-06-08,FC Valga,5:0,Tallinna JK Legion
2002-06-08,JK Tammeka Tartu,2:1,FC Elva
2002-06-08,FS Junior Maardu,2:4,FC Kuressaare
2002-06-08,JK Sillamäe Kalev,1:1,JK Merkuur Tartu
2002-08-10,JK Tammeka Tartu,2:1,FC Elva
2002-08-10,Tallinna JK Legion,2:0,FC Kuressaare
2002-08-10,FS Junior Maardu,8:2,JK Merkuur Tartu
2002-09-10,JK Sillamäe Kalev,4:2,FC Valga
2002-05-12,FS Junior Maardu,2:3,JK Merkuur Tartu
2002-05-12,Tallinna JK Legion,3:8,FC Kuressaare
2002-05-12,JK Tammeka Tartu,3:1,JK Sillamäe Kalev
2002-05-12,FC Valga,4:0,FC Elva
2002-04-14,FC Elva,1:2,FC Kuressaare
2002-04-14,JK Tammeka Tartu,1:6,FS Junior Maardu
2002-04-14,Tallinna JK Legion,3:1,JK Merkuur Tartu
