Date,Home,Result,Away
2017-03-01,Nõmme Kalju FC U21,0:1,Raasiku FC Joker
2017-05-01,Paide Linnameeskond U21,3:1,Vändra JK Vaprus
2017-05-01,Kohtla-Järve JK Järve,3:1,Nõmme Kalju FC U21
2017-03-05,Kohtla-Järve JK Järve,1:0,Vändra JK Vaprus
2017-03-05,Paide Linnameeskond U21,1:1,JK Tallinna Kalev U21
2017-03-05,Keila JK,3:2,Tartu JK Tammeka U21
2017-03-05,JK Sillamäe Kalev U21,4:0,Viimsi JK
2017-04-09,Keila JK,2:1,Paide Linnameeskond U21
2017-04-09,Viimsi JK,0:2,Nõmme Kalju FC U21
2017-04-16,Viimsi JK,1:0,Vändra JK Vaprus
2017-04-16,Nõmme Kalju FC U21,1:0,Tartu JK Tammeka U21
2017-03-19,Kohtla-Järve JK Järve,2:0,Viimsi JK
2017-04-23,Nõmme Kalju FC U21,3:0,JK Sillamäe Kalev U21
2017-04-23,Tartu JK Tammeka U21,2:3,Vändra JK Vaprus
2017-04-26,Paide Linnameeskond U21,1:1,Nõmme Kalju FC U21
2017-04-26,Viimsi JK,1:2,Keila JK
2017-04-27,JK Tallinna Kalev U21,2:1,Tartu JK Tammeka U21
2017-03-29,Raasiku FC Joker,2:0,Viimsi JK
2017-04-30,Tartu JK Tammeka U21,0:1,Viimsi JK
2017-04-30,JK Sillamäe Kalev U21,0:1,JK Tallinna Kalev U21
2017-05-03,Raasiku FC Joker,4:1,Keila JK
2017-05-07,Vändra JK Vaprus,3:0,Paide Linnameeskond U21
2017-05-07,JK Tallinna Kalev U21,3:2,JK Sillamäe Kalev U21
2017-05-07,Viimsi JK,0:1,Tartu JK Tammeka U21
2017-03-08,Viimsi JK,4:1,Paide Linnameeskond U21
2017-03-11,Nõmme Kalju FC U21,3:2,Keila JK
2017-03-12,Tartu JK Tammeka U21,4:0,JK Sillamäe Kalev U21
2017-03-12,Raasiku FC Joker,1:2,Vändra JK Vaprus
2017-03-12,Kohtla-Järve JK Järve,0:0,JK Tallinna Kalev U21
2017-03-15,JK Tallinna Kalev U21,0:1,Raasiku FC Joker
2017-03-19,Nõmme Kalju FC U21,4:2,Vändra JK Vaprus
2017-03-19,Paide Linnameeskond U21,0:6,Tartu JK Tammeka U21
2017-03-19,Keila JK,2:0,JK Sillamäe Kalev U21
2017-04-02,Tartu JK Tammeka U21,1:2,Kohtla-Järve JK Järve
2017-04-02,JK Sillamäe Kalev U21,0:5,Paide Linnameeskond U21
2017-04-02,Keila JK,3:0,Vändra JK Vaprus
2017-04-02,Nõmme Kalju FC U21,4:2,JK Tallinna Kalev U21
2017-04-05,Kohtla-Järve JK Järve,3:0,JK Sillamäe Kalev U21
2017-04-08,Raasiku FC Joker,6:1,Tartu JK Tammeka U21
2017-04-09,JK Tallinna Kalev U21,0:4,Vändra JK Vaprus
2017-04-12,JK Tallinna Kalev U21,0:0,Keila JK
2017-04-15,Paide Linnameeskond U21,0:0,Kohtla-Järve JK Järve
2017-04-15,JK Sillamäe Kalev U21,2:3,Raasiku FC Joker
2017-04-19,Viimsi JK,1:1,JK Tallinna Kalev U21
2017-04-22,Raasiku FC Joker,1:0,Paide Linnameeskond U21
2017-04-23,Keila JK,1:0,Kohtla-Järve JK Järve
2017-04-26,JK Sillamäe Kalev U21,2:1,Vändra JK Vaprus
