Date,Home,Result,Away
2025-07-11,FC Kuressaare,0:2,Tartu JK Tammeka
2025-07-12,Pärnu JK Vaprus,0:0,JK Narva Trans
2025-07-13,JK Tallinna Kalev,3:1,Harju JK Laagri
2025-06-21,Tallinna FCI Levadia,3:1,Nõmme Kalju FC
2025-06-21,Paide Linnameeskond,2:1,Tallinna FC Flora
2025-07-19,Tallinna FCI Levadia,3:0,Harju JK Laagri
2025-07-20,Nõmme Kalju FC,6:2,JK Tallinna Kalev
2025-07-20,FC Kuressaare,2:1,Pärnu JK Vaprus
2025-07-20,Paide Linnameeskond,2:0,JK Narva Trans
2025-07-20,Tartu JK Tammeka,1:2,Tallinna FC Flora
2025-08-01,Tallinna FCI Levadia,2:0,FC Kuressaare
2025-08-02,JK Narva Trans,1:1,Tallinna FC Flora
2025-08-03,Tartu JK Tammeka,1:3,Nõmme Kalju FC
2025-08-03,Paide Linnameeskond,2:0,Harju JK Laagri
2025-08-05,JK Tallinna Kalev,0:2,Pärnu JK Vaprus
2025-08-09,JK Narva Trans,4:1,Tartu JK Tammeka
2025-08-09,Paide Linnameeskond,2:2,JK Tallinna Kalev
2025-08-09,FC Kuressaare,1:3,Harju JK Laagri
2025-08-10,Nõmme Kalju FC,1:2,Pärnu JK Vaprus
2025-09-24,Tallinna FC Flora,2:3,Tallinna FCI Levadia
2025-08-15,Pärnu JK Vaprus,8:1,Tartu JK Tammeka
2025-08-16,Paide Linnameeskond,5:1,FC Kuressaare
2025-08-16,Tallinna FC Flora,3:1,Harju JK Laagri
2025-08-17,Nõmme Kalju FC,1:2,JK Narva Trans
2025-08-17,JK Tallinna Kalev,1:6,Tallinna FCI Levadia
2025-08-22,Tallinna FCI Levadia,1:3,Pärnu JK Vaprus
2025-08-23,JK Narva Trans,2:0,JK Tallinna Kalev
2025-08-23,Tartu JK Tammeka,0:1,Paide Linnameeskond
2025-08-24,FC Kuressaare,1:2,Tallinna FC Flora
2025-09-24,Harju JK Laagri,2:3,Nõmme Kalju FC
2025-08-29,Tallinna FCI Levadia,3:1,JK Narva Trans
2025-08-30,JK Tallinna Kalev,0:4,Tallinna FC Flora
2025-08-30,Pärnu JK Vaprus,1:0,Paide Linnameeskond
2025-08-31,Nõmme Kalju FC,2:0,FC Kuressaare
2025-08-31,Tartu JK Tammeka,3:0,Harju JK Laagri
2025-09-13,Tallinna FC Flora,3:0,Pärnu JK Vaprus
2025-09-13,Tartu JK Tammeka,2:2,Tallinna FCI Levadia
2025-09-14,FC Kuressaare,2:1,JK Tallinna Kalev
