Date,Home,Result,Away
2015-04-01,Maardu FC Starbunker,3:1,Raasiku FC Joker
2015-05-01,Tallinna JK Puuma,2:4,Maardu FC Starbunker
2015-05-01,FC Elva,5:0,JK Tallinna Kalev U21
2015-04-02,Tallinna FC Flora III,0:1,FC Elva
2015-04-02,JK Tallinna Kalev U21,1:2,JK Sillamäe Kalev U21
2015-05-03,Ida-Virumaa FC Alliance,3:0,HÜJK Emmaste
2015-05-03,JK Sillamäe Kalev U21,2:2,Tallinna FC Ararat
2015-03-04,Tallinna FC Flora III,4:7,Tallinna FC Ararat
2015-03-05,HÜJK Emmaste,1:2,JK Tallinna Kalev U21
2015-04-05,Tallinna JK Puuma,2:2,HÜJK Emmaste
2015-04-05,Tallinna FC Ararat,0:6,Ida-Virumaa FC Alliance
2015-05-07,HÜJK Emmaste,0:3,Tallinna FC Ararat
2015-03-08,Raasiku FC Joker,1:3,FC Elva
2015-03-08,Tallinna JK Puuma,1:0,JK Sillamäe Kalev U21
2015-04-08,Tallinna FC Ararat,3:3,JK Tallinna Kalev U21
2015-04-09,HÜJK Emmaste,2:1,Raasiku FC Joker
2015-05-09,Raasiku FC Joker,6:5,Tallinna JK Puuma
2015-04-10,Ida-Virumaa FC Alliance,2:1,Tallinna FC Flora III
2015-05-10,JK Tallinna Kalev U21,0:0,Ida-Virumaa FC Alliance
2015-05-10,JK Sillamäe Kalev U21,4:2,Tallinna FC Flora III
2015-05-10,Maardu FC Starbunker,0:1,FC Elva
2015-03-11,Tallinna FC Flora III,0:3,HÜJK Emmaste
2015-03-12,Tallinna FC Ararat,0:2,Tallinna JK Puuma
2015-04-12,Tallinna JK Puuma,3:2,FC Elva
2015-04-12,JK Sillamäe Kalev U21,0:3,Maardu FC Starbunker
2015-03-13,JK Tallinna Kalev U21,1:3,Maardu FC Starbunker
2015-03-14,Ida-Virumaa FC Alliance,2:0,Raasiku FC Joker
2015-03-15,JK Sillamäe Kalev U21,1:5,FC Elva
2015-04-15,Maardu FC Starbunker,4:0,Tallinna FC Ararat
2015-04-16,Tallinna FC Flora III,3:0,JK Tallinna Kalev U21
2015-04-18,Raasiku FC Joker,1:1,JK Sillamäe Kalev U21
2015-04-18,Tallinna JK Puuma,1:1,Ida-Virumaa FC Alliance
2015-03-19,HÜJK Emmaste,0:2,Maardu FC Starbunker
2015-04-19,FC Elva,2:0,HÜJK Emmaste
2015-03-20,Tallinna JK Puuma,2:0,Tallinna FC Flora III
2015-03-21,Raasiku FC Joker,4:2,JK Tallinna Kalev U21
2015-03-22,JK Sillamäe Kalev U21,3:2,Ida-Virumaa FC Alliance
2015-03-22,Tallinna FC Ararat,0:3,FC Elva
2015-04-23,JK Tallinna Kalev U21,3:3,Tallinna JK Puuma
2015-04-23,Tallinna FC Flora III,1:2,Maardu FC Starbunker
2015-04-25,Ida-Virumaa FC Alliance,0:0,FC Elva
2015-04-26,Tallinna FC Ararat,0:3,Raasiku FC Joker
2015-04-26,HÜJK Emmaste,1:2,JK Sillamäe Kalev U21
2015-04-29,Raasiku FC Joker,2:1,Tallinna FC Flora III
2015-07-01,Maardu FC Starbunker,5:0,JK Tallinna Kalev U21
2015-06-03,Maardu FC Starbunker,3:0,JK Sillamäe Kalev U21
