Date,Home,Result,Away
2021-03-06,FC Tallinn,3:0,Ida-Virumaa FC Alliance
2021-03-07,Harju JK Laagri,5:2,Nõmme Kalju FC U21
2021-06-12,JK Tallinna Kalev U21,5:2,JK Tabasalu
2021-06-12,Vändra JK Vaprus,2:6,Viimsi JK
2021-06-12,Läänemaa JK,6:2,Tallinna JK Legion U21
2021-05-06,Viimsi JK,3:0,Ida-Virumaa FC Alliance
2021-05-06,Nõmme Kalju FC U21,3:1,Tallinna JK Legion U21
2021-05-06,FC Tallinn,2:0,Vändra JK Vaprus
2021-05-06,JK Tabasalu,3:2,Harju JK Laagri
2021-05-07,JK Tallinna Kalev U21,0:4,Läänemaa JK
2021-05-09,Harju JK Laagri,5:1,Vändra JK Vaprus
2021-05-09,FC Tallinn,0:3,Viimsi JK
2021-05-09,Ida-Virumaa FC Alliance,2:1,Nõmme Kalju FC U21
2021-05-10,JK Tabasalu,6:0,Läänemaa JK
2021-05-10,Tallinna JK Legion U21,0:2,JK Tallinna Kalev U21
2021-05-15,Nõmme Kalju FC U21,1:5,Viimsi JK
2021-05-16,Tallinna JK Legion U21,5:3,Harju JK Laagri
2021-05-16,Ida-Virumaa FC Alliance,1:4,JK Tabasalu
2021-05-16,JK Tallinna Kalev U21,1:2,Vändra JK Vaprus
2021-05-16,Läänemaa JK,5:3,FC Tallinn
2021-05-22,JK Tallinna Kalev U21,0:5,Nõmme Kalju FC U21
2021-05-23,JK Tabasalu,0:1,FC Tallinn
2021-05-23,Vändra JK Vaprus,1:4,Tallinna JK Legion U21
2021-05-23,Harju JK Laagri,4:1,Ida-Virumaa FC Alliance
2021-05-23,Viimsi JK,7:0,Läänemaa JK
2021-05-26,FC Tallinn,4:2,Tallinna JK Legion U21
2021-05-27,Vändra JK Vaprus,1:1,Ida-Virumaa FC Alliance
2021-05-27,JK Tabasalu,1:1,Nõmme Kalju FC U21
2021-05-27,Läänemaa JK,1:4,Harju JK Laagri
2021-05-28,Viimsi JK,6:0,JK Tallinna Kalev U21
2021-05-30,Harju JK Laagri,3:1,FC Tallinn
2021-05-30,Vändra JK Vaprus,3:1,JK Tabasalu
2021-05-31,Tallinna JK Legion U21,2:3,Viimsi JK
2021-05-31,Ida-Virumaa FC Alliance,6:3,JK Tallinna Kalev U21
2021-05-31,Nõmme Kalju FC U21,4:5,Läänemaa JK
2021-06-19,Nõmme Kalju FC U21,2:4,FC Tallinn
2021-06-19,Viimsi JK,3:0,JK Tabasalu
2021-07-19,Tallinna JK Legion U21,3:1,Ida-Virumaa FC Alliance
2021-06-20,JK Tallinna Kalev U21,1:2,Harju JK Laagri
2021-06-20,Läänemaa JK,6:1,Vändra JK Vaprus
2021-06-26,Viimsi JK,1:2,Harju JK Laagri
2021-06-26,FC Tallinn,1:2,JK Tallinna Kalev U21
2021-06-26,JK Tabasalu,4:2,Tallinna JK Legion U21
2021-06-26,Vändra JK Vaprus,2:4,Nõmme Kalju FC U21
2021-06-26,Ida-Virumaa FC Alliance,3:2,Läänemaa JK
2021-07-01,FC Tallinn,1:4,JK Tabasalu
2021-07-06,Nõmme Kalju FC U21,1:2,Ida-Virumaa FC Alliance
2021-06-30,JK Tallinna Kalev U21,2:2,Viimsi JK
2021-06-30,Tallinna JK Legion U21,1:2,Vändra JK Vaprus
2021-06-30,Harju JK Laagri,7:0,Läänemaa JK
2021-07-13,Nõmme Kalju FC U21,2:1,JK Tallinna Kalev U21
2021-07-14,Tallinna JK Legion U21,3:2,FC Tallinn
2021-07-14,JK Tabasalu,0:2,Vändra JK Vaprus
2021-07-14,Ida-Virumaa FC Alliance,1:3,Harju JK Laagri
2021-07-14,Läänemaa JK,4:3,Viimsi JK
2021-07-17,Viimsi JK,2:0,FC Tallinn
2021-07-17,Harju JK Laagri,1:1,JK Tabasalu
2021-07-17,Vändra JK Vaprus,1:1,JK Tallinna Kalev U21
2021-07-17,Läänemaa JK,0:5,Nõmme Kalju FC U21
2021-06-22,Ida-Virumaa FC Alliance,1:0,Tallinna JK Legion U21
2021-07-27,JK Tallinna Kalev U21,6:2,Tallinna JK Legion U21
2021-07-28,Ida-Virumaa FC Alliance,3:2,Vändra JK Vaprus
