Date,Home,Result,Away
2023-03-05,Viljandi JK Tulevik,2:2,Nõmme Kalju FC U21
2023-03-05,Tartu JK Tammeka U21,4:3,Läänemaa JK
2023-03-05,FC Kuressaare U21,3:3,FA Tartu Kalev
2023-03-06,JK Tallinna Kalev U21,1:0,JK Narva Trans U21
2023-06-17,Pärnu Jalgpalliklubi,0:1,Tartu JK Welco
2023-04-06,Tartu JK Tammeka U21,1:2,JK Narva Trans U21
2023-03-09,Läänemaa JK,4:1,Tartu JK Welco
2023-03-09,FA Tartu Kalev,1:3,Viljandi JK Tulevik
2023-03-10,JK Tallinna Kalev U21,3:4,Nõmme Kalju FC U21
2023-03-25,FC Kuressaare U21,3:0,Pärnu Jalgpalliklubi
2023-03-12,FA Tartu Kalev,7:0,Pärnu Jalgpalliklubi
2023-03-12,Viljandi JK Tulevik,4:0,JK Narva Trans U21
2023-03-13,Nõmme Kalju FC U21,5:2,Tartu JK Tammeka U21
2023-03-13,Läänemaa JK,0:3,FC Kuressaare U21
2023-03-13,Tartu JK Welco,4:4,JK Tallinna Kalev U21
2023-03-17,Tartu JK Tammeka U21,0:1,FC Kuressaare U21
2023-03-18,Viljandi JK Tulevik,0:1,Tartu JK Welco
2023-03-18,Pärnu Jalgpalliklubi,0:7,Nõmme Kalju FC U21
2023-03-19,JK Tallinna Kalev U21,3:3,FA Tartu Kalev
2023-03-19,JK Narva Trans U21,3:0,Läänemaa JK
2023-04-01,Viljandi JK Tulevik,2:0,JK Tallinna Kalev U21
2023-04-01,Läänemaa JK,3:2,Pärnu Jalgpalliklubi
2023-04-02,Nõmme Kalju FC U21,0:4,Tartu JK Welco
2023-04-02,FA Tartu Kalev,2:1,Tartu JK Tammeka U21
2023-03-31,FC Kuressaare U21,2:0,JK Narva Trans U21
2023-04-08,Viljandi JK Tulevik,3:2,Läänemaa JK
2023-04-08,Tartu JK Welco,2:0,FA Tartu Kalev
2023-04-09,Pärnu Jalgpalliklubi,3:4,Tartu JK Tammeka U21
2023-04-10,JK Narva Trans U21,1:1,Nõmme Kalju FC U21
2023-04-10,JK Tallinna Kalev U21,3:3,FC Kuressaare U21
2023-04-15,FA Tartu Kalev,5:2,Nõmme Kalju FC U21
2023-04-15,Pärnu Jalgpalliklubi,0:2,JK Narva Trans U21
2023-04-15,Tartu JK Tammeka U21,0:1,Tartu JK Welco
2023-04-15,FC Kuressaare U21,0:1,Viljandi JK Tulevik
2023-04-16,Läänemaa JK,3:5,JK Tallinna Kalev U21
2023-04-22,Viljandi JK Tulevik,3:1,Pärnu Jalgpalliklubi
2023-04-22,Nõmme Kalju FC U21,0:1,Läänemaa JK
2023-04-22,Tartu JK Welco,2:2,FC Kuressaare U21
2023-04-23,JK Narva Trans U21,2:0,FA Tartu Kalev
2023-04-24,JK Tallinna Kalev U21,2:1,Tartu JK Tammeka U21
2023-04-27,Tartu JK Tammeka U21,1:1,Viljandi JK Tulevik
2023-04-27,JK Tallinna Kalev U21,6:0,Pärnu Jalgpalliklubi
2023-04-27,Tartu JK Welco,0:2,JK Narva Trans U21
2023-04-27,Läänemaa JK,2:3,FA Tartu Kalev
2023-04-27,FC Kuressaare U21,5:4,Nõmme Kalju FC U21
2023-05-01,Pärnu Jalgpalliklubi,0:2,Läänemaa JK
2023-05-01,FA Tartu Kalev,5:4,FC Kuressaare U21
2023-05-01,JK Narva Trans U21,1:3,Tartu JK Tammeka U21
2023-05-02,Tartu JK Welco,1:1,Viljandi JK Tulevik
2023-04-30,Nõmme Kalju FC U21,1:4,JK Tallinna Kalev U21
2023-05-06,Tartu JK Welco,5:0,Pärnu Jalgpalliklubi
2023-05-06,JK Narva Trans U21,2:1,Viljandi JK Tulevik
2023-05-06,FA Tartu Kalev,0:3,JK Tallinna Kalev U21
2023-05-06,FC Kuressaare U21,2:2,Läänemaa JK
2023-05-08,Tartu JK Tammeka U21,0:2,Nõmme Kalju FC U21
2023-05-13,Viljandi JK Tulevik,4:1,FC Kuressaare U21
2023-05-13,Nõmme Kalju FC U21,1:3,JK Narva Trans U21
2023-05-14,Pärnu Jalgpalliklubi,2:2,FA Tartu Kalev
2023-05-14,JK Tallinna Kalev U21,1:0,Tartu JK Welco
2023-05-14,Läänemaa JK,2:2,Tartu JK Tammeka U21
2023-05-19,Nõmme Kalju FC U21,7:2,Viljandi JK Tulevik
2023-05-19,Pärnu Jalgpalliklubi,0:1,JK Tallinna Kalev U21
2023-05-20,Tartu JK Welco,4:0,Läänemaa JK
2023-05-20,Tartu JK Tammeka U21,3:3,FA Tartu Kalev
2023-05-21,JK Narva Trans U21,5:1,FC Kuressaare U21
2023-05-23,Nõmme Kalju FC U21,2:0,Pärnu Jalgpalliklubi
2023-05-24,Läänemaa JK,1:4,JK Narva Trans U21
2023-05-25,JK Tallinna Kalev U21,3:0,Viljandi JK Tulevik
2023-05-25,FC Kuressaare U21,4:0,Tartu JK Tammeka U21
2023-05-25,FA Tartu Kalev,0:2,Tartu JK Welco
2023-05-27,JK Narva Trans U21,1:1,Pärnu Jalgpalliklubi
2023-05-28,Viljandi JK Tulevik,0:1,Tartu JK Tammeka U21
2023-05-28,FA Tartu Kalev,2:1,Läänemaa JK
2023-05-28,FC Kuressaare U21,2:1,JK Tallinna Kalev U21
2023-05-29,Tartu JK Welco,5:2,Nõmme Kalju FC U21
2023-06-04,Nõmme Kalju FC U21,4:5,FA Tartu Kalev
2023-06-04,Läänemaa JK,1:2,Viljandi JK Tulevik
2023-06-04,JK Narva Trans U21,2:1,Tartu JK Welco
2023-06-04,Pärnu Jalgpalliklubi,0:6,FC Kuressaare U21
2023-07-14,Tartu JK Tammeka U21,1:1,JK Tallinna Kalev U21
2023-06-09,Nõmme Kalju FC U21,1:2,FC Kuressaare U21
2023-06-10,FA Tartu Kalev,4:1,JK Narva Trans U21
2023-06-10,Tartu JK Welco,1:2,Tartu JK Tammeka U21
2023-06-10,JK Tallinna Kalev U21,6:0,Läänemaa JK
2023-06-12,Pärnu Jalgpalliklubi,1:1,Viljandi JK Tulevik
2023-06-28,Viljandi JK Tulevik,0:3,FA Tartu Kalev
2023-06-29,JK Narva Trans U21,0:0,JK Tallinna Kalev U21
2023-06-29,FC Kuressaare U21,3:3,Tartu JK Welco
2023-06-29,Tartu JK Tammeka U21,1:1,Pärnu Jalgpalliklubi
2023-06-29,Läänemaa JK,8:6,Nõmme Kalju FC U21
2023-07-02,Viljandi JK Tulevik,0:3,FC Kuressaare U21
2023-07-03,FA Tartu Kalev,2:3,JK Tallinna Kalev U21
2023-07-03,JK Narva Trans U21,3:0,Tartu JK Tammeka U21
2023-07-03,Tartu JK Welco,4:2,Nõmme Kalju FC U21
2023-07-04,Pärnu Jalgpalliklubi,0:1,Läänemaa JK
2023-07-07,Nõmme Kalju FC U21,1:2,JK Narva Trans U21
2023-07-08,Tartu JK Tammeka U21,0:3,FA Tartu Kalev
2023-07-09,JK Tallinna Kalev U21,7:2,Pärnu Jalgpalliklubi
2023-07-09,Läänemaa JK,2:4,FC Kuressaare U21
2023-07-28,Viljandi JK Tulevik,0:2,Tartu JK Welco
2023-07-22,Pärnu Jalgpalliklubi,2:4,FC Kuressaare U21
2023-07-22,Tartu JK Tammeka U21,1:0,Viljandi JK Tulevik
2023-07-22,FA Tartu Kalev,5:2,Läänemaa JK
2023-07-22,JK Narva Trans U21,4:3,Tartu JK Welco
2023-07-23,Nõmme Kalju FC U21,3:3,JK Tallinna Kalev U21
2023-08-04,Tartu JK Welco,3:1,Pärnu Jalgpalliklubi
2023-08-05,FC Kuressaare U21,5:2,FA Tartu Kalev
2023-08-06,Läänemaa JK,2:3,Tartu JK Tammeka U21
2023-08-06,Viljandi JK Tulevik,5:1,Nõmme Kalju FC U21
2023-08-06,JK Tallinna Kalev U21,2:1,JK Narva Trans U21
2023-08-12,Nõmme Kalju FC U21,1:2,Pärnu Jalgpalliklubi
2023-08-12,FA Tartu Kalev,1:0,Tartu JK Welco
2023-08-12,JK Narva Trans U21,0:1,Viljandi JK Tulevik
2023-08-12,Tartu JK Tammeka U21,1:1,FC Kuressaare U21
2023-08-13,Läänemaa JK,2:5,JK Tallinna Kalev U21
2023-08-19,Tartu JK Welco,3:0,Läänemaa JK
2023-08-19,FA Tartu Kalev,2:2,Viljandi JK Tulevik
2023-08-20,Pärnu Jalgpalliklubi,1:4,JK Narva Trans U21
2023-08-21,JK Tallinna Kalev U21,3:1,Tartu JK Tammeka U21
2023-08-21,FC Kuressaare U21,4:3,Nõmme Kalju FC U21
2023-08-26,Nõmme Kalju FC U21,5:3,FA Tartu Kalev
2023-08-26,Viljandi JK Tulevik,4:1,Läänemaa JK
2023-08-26,JK Narva Trans U21,1:1,FC Kuressaare U21
2023-08-27,JK Tallinna Kalev U21,3:2,Tartu JK Welco
2023-08-27,Tartu JK Tammeka U21,3:0,Pärnu Jalgpalliklubi
2023-09-02,Viljandi JK Tulevik,1:1,JK Tallinna Kalev U21
2023-09-02,Pärnu Jalgpalliklubi,3:3,FA Tartu Kalev
2023-09-02,Läänemaa JK,3:4,JK Narva Trans U21
2023-09-03,Tartu JK Welco,5:0,FC Kuressaare U21
2023-09-04,Tartu JK Tammeka U21,7:0,Nõmme Kalju FC U21
2023-09-16,Tartu JK Welco,3:0,Tartu JK Tammeka U21
2023-09-16,Pärnu Jalgpalliklubi,1:3,Viljandi JK Tulevik
